AccX [mg],AccY [mg],AccZ [mg],State
337,-397,826,0
6,-536,1112,0
-25,-759,981,0
-363,-602,963,0
-78,-547,666,0
69,-425,664,0
231,-495,987,0
10,-751,1205,0
-169,-834,1008,0
-182,-819,644,0
-7,-675,526,0
98,-460,769,0
183,-517,937,0
187,-663,864,0
10,-839,712,0
-19,-952,603,0
-103,-896,681,0
-27,-830,660,0
124,-539,752,0
110,-735,633,0
50,-719,825,0
82,-417,599,0
-18,-121,343,0
117,-222,-45,0
140,-492,337,0
-243,-580,329,0
-1049,-636,438,0
-459,-586,-186,0
-731,-1045,-200,0
-1170,-1866,-497,0
-490,-1234,-447,0
-608,-1517,-656,0
-236,-987,35,0
-388,-979,-45,0
-666,-1155,-272,0
-687,-1037,-253,0
-376,-739,-145,0
-355,-614,-132,0
-271,-521,-121,0
-311,-564,-146,0
-535,-822,-276,0
-639,-901,-283,0
-532,-843,-205,0
-365,-947,-237,0
-339,-1168,-290,0
-767,-1530,-305,0
-873,-1461,-309,0
-883,-1402,-415,0
-867,-1313,-457,0
-776,-1099,-448,0
-629,-923,-386,0
-391,-799,-181,0
-407,-1016,-291,0
-668,-1226,-378,0
-734,-1209,-334,0
-663,-1115,-312,0
-533,-971,-282,0
-505,-861,-281,0
-516,-738,-279,0
-412,-543,-232,0
-328,-414,-185,0
-307,-410,-183,0
-361,-547,-223,0
-438,-795,-277,0
-544,-1134,-344,0
-423,-1128,-215,0
-548,-1307,-289,0
-795,-1457,-372,0
-768,-1232,-375,0
-406,-665,-215,0
-329,-529,-167,0
-248,-454,-158,0
-216,-354,-140,0
-268,-535,-238,0
-300,-807,-150,0
-651,-1786,-388,0
-1168,-1998,-295,0
-1908,-1998,-1104,0
-999,-1716,-512,0
-592,-944,-311,0
-274,-603,-158,0
-202,-604,-145,0
-207,-610,-153,0
-87,-539,-54,0
-73,-461,-4,0
-247,-635,-126,0
-342,-876,-191,0
-578,-1439,-372,0
-1444,-1998,-858,0
-1571,-1998,-790,0
-863,-1998,-440,0
-866,-1998,-406,0
-588,-1398,-288,0
-571,-1131,-292,0
-486,-983,-256,0
-531,-1083,-279,0
-582,-1373,-311,0
-724,-1971,-343,0
-1166,-1998,-508,0
-1211,-1998,-669,0
285,-1051,-566,1
704,-1524,-806,1
1229,-1998,-706,1
953,-1998,-267,1
541,-1809,-581,1
285,-1051,-566,1
704,-1524,-806,1
1229,-1998,-706,1
953,-1998,-267,1
541,-1809,-581,1
285,-1051,-566,1
704,-1524,-806,1
1229,-1998,-706,1
953,-1998,-267,1
541,-1809,-581,1
315,-1222,-415,1
238,-851,-256,1
276,-872,-218,1
481,-1329,-374,1
1025,-1998,-848,1
1712,-1998,-756,1
834,-1969,-480,1
386,-1657,-510,1
372,-1546,-546,1
562,-1495,-574,1
854,-1556,-421,1
895,-1809,-428,1
779,-1998,-1038,1
471,-1931,-936,1
369,-1307,-411,1
399,-902,-271,1
359,-833,-438,1
275,-924,-610,1
206,-1095,-728,1
173,-1199,-667,1
188,-1091,-424,1
282,-898,-558,1
225,-791,-703,1
76,-632,-620,1
-55,-553,-560,1
-99,-633,-736,1
-109,-506,-748,1
-183,-291,-596,1
-232,-117,-350,1
-254,-185,-381,1
-211,-294,-541,1
-210,-312,-560,1
-191,-232,-475,1
-185,-153,-373,1
-139,-139,-399,1
-131,-140,-428,1
-129,-158,-466,1
-151,-281,-523,1
-148,-467,-510,1
4,-828,-567,1
258,-1407,-298,1
1243,-1998,-1160,1
862,-1957,-440,1
431,-1410,-758,1
94,-1178,-500,1
23,-1129,-365,1
168,-1343,-334,1
509,-1388,-350,1
762,-1759,-569,1
938,-1998,-796,1
602,-1998,-885,1
459,-1929,-545,1
465,-1628,-421,1
581,-1713,-611,1
684,-1667,-406,1
718,-1890,-447,1
780,-1998,-611,1
845,-1998,-825,1
666,-1717,-576,1
386,-1389,45,1
523,-1455,-201,1
610,-1613,-679,1
501,-1344,-387,1
417,-1136,-200,1
316,-1161,-340,1
264,-1139,-378,1
249,-947,-201,1
250,-805,-240,1
252,-661,-247,1
160,-613,-221,1
51,-623,-215,1
-3,-516,-143,1
11,-489,-283,1
16,-441,-299,1
7,-383,-260,1
24,-373,-274,1
41,-406,-308,1
37,-385,-317,1
11,-404,-338,1
-30,-392,-311,1
-44,-338,-277,1
-25,-378,-321,1
-11,-482,-382,1
-39,-537,-344,1
-43,-601,-272,1
