AccX [mg],AccY [mg],AccZ [mg],State
-501.5530063478286,-1117.7301578580536,-225.09887385481323,1
-557.9944521306845,-1193.713623553325,-253.9851101715306,1
-667.7902995273726,-1392.8338190310292,-301.1975501454027,1
-805.1082408597842,-1651.0116963204478,-362.31892865749006,1
-900.2617946687251,-1848.1026112691288,-422.0606190801865,1
-900.5195626634356,-1902.5067784724606,-434.62148436106634,1
-841.500516263401,-1824.206886201276,-406.02372114801426,1
-797.321527624945,-1725.1996598487913,-395.1952853539124,1
-799.8837751279273,-1712.8520625529118,-409.2565115894895,1
-837.4032179001465,-1771.912646155903,-422.7394131432153,1
-874.9345951223506,-1824.357382575165,-430.0977010394553,1
-880.9311038089243,-1827.2210831332113,-445.9995476096945,1
-841.3167543716393,-1764.146112048113,-455.9764290222564,1
-767.6953515785702,-1629.3620282494817,-437.44332750261634,1
-670.6839440480599,-1446.9398926259848,-388.80640563255326,1
-578.9028228933698,-1284.872419639737,-326.9647392487434,1
-528.1155195563764,-1203.7634230571496,-297.67782521386414,1
-517.2095225197672,-1187.639730808216,-305.3481463315223,1
-523.7054500238789,-1175.6559479269617,-309.6935129359624,1
-510.8029764358462,-1124.7647462913924,-299.01443658944703,1
-440.4701149376807,-1025.2447741837484,-269.5293882104759,1
-331.60476636061696,-903.8969822772908,-224.01167558738774,1
-251.84672912243465,-799.0634016950107,-182.9557415619522,1
-237.10071372574828,-720.516576503806,-167.16872980373986,1
-265.15647798012594,-649.5293279276364,-178.5219569672331,1
-284.64091216137354,-586.4517297167642,-185.58240904701847,1
-272.133506462824,-533.8556740812733,-169.45808188920364,1
-251.68353159318536,-482.2712236863314,-140.5586628778504,1
-232.43979003434467,-448.89241475821484,-126.58370066904388,1
-217.6907958495794,-421.79765321816143,-124.99675937006623,1
-211.7947201891219,-388.2463986246321,-125.25004122748436,1
-213.01583578428887,-383.32503905910085,-125.40467375791191,1
-226.59455460546548,-412.3502656908646,-130.87148601869012,1
-245.87332449691365,-440.6370077510405,-142.92607036838965,1
-267.21669091716376,-456.61722944469443,-156.07443401746485,1
-309.08855100619144,-490.9588473322326,-167.25979078260747,1
-367.6479931651336,-566.9039466310414,-193.43728773237203,1
-434.28862174765476,-670.9254537085919,-239.25305614093224,1
-494.9096137223135,-781.1196800069781,-278.42455239922845,1
-534.1556815328813,-883.3656270885034,-298.9191386734681,1
-557.1185110986503,-989.7769881010379,-318.51051545603013,1
-592.5622262468016,-1124.9360390065297,-351.4587737117512,1
-654.6601162174757,-1272.347201429532,-398.86250620357293,1
-706.0732857844815,-1359.6314366501447,-425.553299664984,1
-718.06587630032,-1360.533142465417,-410.0712354369672,1
-707.9161577244538,-1347.8702528491567,-378.9887797923061,1
-698.6840077667246,-1402.5710752829682,-363.2584026910843,1
-715.8781350737821,-1522.3584330894564,-359.94111516496855,1
-787.3190575713795,-1693.7936471148287,-379.99504306609,1
-857.027153480471,-1847.8671081066968,-399.14603496524967,1
-847.3388002464642,-1870.3040994044336,-376.4942266014409,1
-801.844264215202,-1790.1594986604225,-336.1239631010766,1
-783.2010913600984,-1738.6316775181385,-319.6446732951691,1
-793.0022566052253,-1762.8623735389313,-333.17367386240346,1
-812.4662387838241,-1817.7268819620215,-348.07601313261625,1
-821.5073109464962,-1831.6689321169624,-339.72949820830013,1
-785.0416090959379,-1760.8532833006548,-305.0453051784117,1
-727.7205428643167,-1642.6472183815372,-265.0794504046354,1
-711.8785895464273,-1548.2564112943915,-245.6564148523167,1
-705.6022396577999,-1467.1754668926433,-241.25068534515907,1
-653.3722239168758,-1357.0168452228288,-220.92505524643502,1
-571.8956303627118,-1240.7993127652542,-199.94008352145357,1
-518.7638151232418,-1158.5714325524582,-197.1921380735601,1
-506.23645128287467,-1096.7259993465718,-205.55759225633363,1
-499.1497834404282,-1017.7711215486584,-216.38139471533677,1
-474.95292067522314,-915.4836321690357,-207.62247923036924,1
-443.7007941130582,-808.6082699742419,-181.7286178687945,1
-402.98964772753925,-712.4891975883576,-166.50846365490509,1
-372.12295410568396,-623.3104479741492,-161.21715094170935,1
-353.72400903287405,-538.9452718095756,-158.1660925017685,1
-329.6391107800907,-466.904013177969,-157.087307985795,1
-303.5397284383238,-406.3984143467548,-144.23283285003993,1
-276.9304127739691,-355.39203578380443,-123.96357223645046,1
-252.11039506702963,-321.12472193514645,-114.12175444725143,1
-232.20767955606112,-303.35776340357154,-107.67232111276142,1
-227.58501532255912,-293.90283090958724,-90.3949294463794,1
-233.8459389857209,-285.35175907251687,-87.99705506849676,1
-229.6123818081172,-276.71992312882594,-96.4266309768288,1
-224.5457988303131,-282.1729555676676,-102.78604804782205,1
-241.48526460998966,-322.22900224906016,-124.61755188206779,1
