AccX [mg],AccY [mg],AccZ [mg],State
-479.0045810684034,-1116.031291973806,-203.45349216513628,1
-502.70790054395326,-1106.1549088589934,-211.35459865698624,1
-671.594051807246,-1373.8048912704105,-296.29149344437326,1
-831.5914582672076,-1710.589555485515,-357.5250687562104,1
-965.9102686286568,-1973.3013463395257,-443.44960185507864,1
-949.1204173334756,-1973.3013463395257,-458.2641765272973,1
-784.1848193161079,-1831.0814294862266,-399.00587783842263,1
-754.5556699716706,-1643.4301503047902,-394.0676862810164,1
-786.1600959390703,-1628.6155756325716,-408.88226095323506,1
-850.3565861853513,-1740.2187048299522,-441.47432523211614,1
-866.1587991690511,-1847.871280781408,-450.3630700354473,1
-872.0846290379386,-1919.9688775195386,-467.1529213306285,1
-837.5172881360951,-1835.0319827321516,-467.1529213306285,1
-756.5309465946331,-1659.2323632884902,-435.54849536322865,1
-635.05143428244,-1433.0631899592852,-372.33964342842904,1
-527.3988583309844,-1236.5231659745177,-312.0937064280732,1
-506.65845378987825,-1172.3266757282368,-298.26677006733576,1
-499.7449856095095,-1172.3266757282368,-310.1184298051107,1
-532.3370498883905,-1201.955825072674,-310.1184298051107,1
-542.213433003203,-1146.6480796297244,-298.26677006733576,1
-469.128197953591,-1043.933695235675,-270.6128973458609,1
-304.1925999362232,-864.1835225460886,-179.75017268958644,1
-254.810684362161,-792.0859258079578,-179.75017268958644,1
-242.95902462438605,-716.037775823902,-178.7625343781052,1
-253.82304605067975,-647.8907323316962,-177.77489606662394,1
-270.6128973458609,-585.6695187083777,-171.84906619773648,1
-278.51400383771085,-546.163986249128,-173.82434282069897,1
-269.62525903437967,-507.6460921013595,-167.8985129518115,1
-242.95902462438605,-450.3630700354473,-155.05921490255534,1
-217.2804285258737,-404.9317077073101,-138.26936360737417,1
-196.54002398476757,-372.33964342842904,-118.51659737774929,1
-208.39168372254252,-383.2036648547227,-123.45478893515552,1
-239.00847137846108,-415.7957291336038,-142.21991685329917,1
-262.7117908540109,-442.4619635435974,-154.0715765910741,1
-259.7488759195672,-437.52377198619115,-143.2075551647804,1
-289.3780252640045,-479.0045810684034,-153.08393827959284,1
-333.8217492806605,-542.213433003203,-175.79961944366147,1
-433.57321874026616,-680.4827966105772,-235.05791813253612,1
-517.522475216172,-802.9499472342515,-286.4151103295608,1
-539.2505180687593,-882.9486504642323,-316.0442596739981,1
-541.2257946917218,-963.9349920056943,-323.9453661658481,1
-566.9043907902342,-1114.0560153508434,-334.8093875921418,1
-640.9772641513274,-1327.3858906307921,-380.240749920279,1
-702.2108394631646,-1397.5082107459605,-403.9440693958289,1
-715.0501375124207,-1352.0768484178232,-420.73392069101,1
-659.7423920694711,-1247.3871874008114,-362.4632603136166,1
-706.1613927090896,-1388.6194659426292,-386.16657978916646,1
-672.5816901187272,-1468.6181691726101,-344.6857707069542,1
-765.4196913979642,-1679.9727678295963,-359.50034537917287,1
-969.8608218745818,-1965.400239847676,-453.32598496989107,1
-862.2082459231261,-1896.2655580439887,-372.33964342842904,1
-777.2713511357391,-1761.9467476825396,-332.8341109691793,1
-739.7410952994519,-1661.2076399114526,-296.29149344437326,1
-856.2824160542386,-1777.7489606662396,-340.7352174610292,1
-853.319501119795,-1830.0937911747453,-336.78466421510427,1
-891.8373952675635,-1891.3273664865826,-332.8341109691793,1
-787.1477342505516,-1811.3286632566017,-307.15551487066693,1
-651.8412855776212,-1588.1224048618406,-240.98374800142358,1
-702.2108394631646,-1515.0371698122285,-255.79832267364225,1
-738.7534569879706,-1474.5439990414975,-282.46455708363584,1
-647.8907323316962,-1354.0521250407858,-244.93430124734854,1
-566.9043907902342,-1238.49844259748,-206.41640709958003,1
-536.2876031343155,-1142.6975263837994,-194.5647473618051,1
-543.2010713146843,-1086.4021426293687,-212.3422369684675,1
-523.4483050850594,-999.489971219019,-215.30515190291123,1
-484.9304109372909,-898.7508634479321,-198.51530060773007,1
-440.4866869206349,-798.0117556768453,-182.71308762403018,1
-393.08004796953514,-698.2602862172396,-167.8985129518115,1
-364.4385369365791,-610.3604764954089,-159.0097681484803,1
-338.75994083806677,-541.2257946917218,-152.0962999681116,1
-316.0442596739981,-473.0787511995159,-143.2075551647804,1
-298.26677006733576,-423.69683562545373,-138.26936360737417,1
-272.5881739688234,-366.41381355954155,-126.41770386959925,1
-249.87249280475476,-321.9700895428856,-112.59076750886183,1
-241.97138631290483,-292.34094019844827,-108.64021426293685,1
-234.07027982105487,-274.56345059178585,-109.6278525744181,1
-225.18153501772366,-257.77359929660474,-110.61549088589935,1
-222.21862008327994,-272.5881739688234,-111.60312919738058,1
-204.44113047661753,-269.62525903437967,-110.61549088589935,1
-217.2804285258737,-311.1060681165919,-118.51659737774929,1
-256.7859609851235,-401.9687927728664,-146.17047009922413,1
