AccX [mg],AccY [mg],AccZ [mg],State
-485.0,-1130.0,-206.0,1
-509.0,-1120.0,-214.0,1
-680.0,-1391.0,-300.0,1
-842.0,-1732.0,-362.0,1
-978.0,-1998.0,-449.0,1
-961.0,-1998.0,-464.0,1
-794.0,-1854.0,-404.0,1
-764.0,-1664.0,-399.0,1
-796.0,-1649.0,-414.0,1
-861.0,-1762.0,-447.0,1
-877.0,-1871.0,-456.0,1
-883.0,-1944.0,-473.0,1
-848.0,-1858.0,-473.0,1
-766.0,-1680.0,-441.0,1
-643.0,-1451.0,-377.0,1
-534.0,-1252.0,-316.0,1
-513.0,-1187.0,-302.0,1
-506.0,-1187.0,-314.0,1
-539.0,-1217.0,-314.0,1
-549.0,-1161.0,-302.0,1
-475.0,-1057.0,-274.0,1
-308.0,-875.0,-182.0,1
-258.0,-802.0,-182.0,1
-246.0,-725.0,-181.0,1
-257.0,-656.0,-180.0,1
-274.0,-593.0,-174.0,1
-282.0,-553.0,-176.0,1
-273.0,-514.0,-170.0,1
-246.0,-456.0,-157.0,1
-220.0,-410.0,-140.0,1
-199.0,-377.0,-120.0,1
-211.0,-388.0,-125.0,1
-242.0,-421.0,-144.0,1
-266.0,-448.0,-156.0,1
-263.0,-443.0,-145.0,1
-293.0,-485.0,-155.0,1
-338.0,-549.0,-178.0,1
-439.0,-689.0,-238.0,1
-524.0,-813.0,-290.0,1
-546.0,-894.0,-320.0,1
-548.0,-976.0,-328.0,1
-574.0,-1128.0,-339.0,1
-649.0,-1344.0,-385.0,1
-711.0,-1415.0,-409.0,1
-724.0,-1369.0,-426.0,1
-668.0,-1263.0,-367.0,1
-715.0,-1406.0,-391.0,1
-681.0,-1487.0,-349.0,1
-775.0,-1701.0,-364.0,1
-982.0,-1990.0,-459.0,1
-873.0,-1920.0,-377.0,1
-787.0,-1784.0,-337.0,1
-749.0,-1682.0,-300.0,1
-867.0,-1800.0,-345.0,1
-864.0,-1853.0,-341.0,1
-903.0,-1915.0,-337.0,1
-797.0,-1834.0,-311.0,1
-660.0,-1608.0,-244.0,1
-711.0,-1534.0,-259.0,1
-748.0,-1493.0,-286.0,1
-656.0,-1371.0,-248.0,1
-574.0,-1254.0,-209.0,1
-543.0,-1157.0,-197.0,1
-550.0,-1100.0,-215.0,1
-530.0,-1012.0,-218.0,1
-491.0,-910.0,-201.0,1
-446.0,-808.0,-185.0,1
-398.0,-707.0,-170.0,1
-369.0,-618.0,-161.0,1
-343.0,-548.0,-154.0,1
-320.0,-479.0,-145.0,1
-302.0,-429.0,-140.0,1
-276.0,-371.0,-128.0,1
-253.0,-326.0,-114.0,1
-245.0,-296.0,-110.0,1
-237.0,-278.0,-111.0,1
-228.0,-261.0,-112.0,1
-225.0,-276.0,-113.0,1
-207.0,-273.0,-112.0,1
-220.0,-315.0,-120.0,1
-260.0,-407.0,-148.0,1
-328.0,-543.0,-190.0,1
-433.0,-754.0,-234.0,1
-543.0,-1027.0,-269.0,1
-769.0,-1508.0,-360.0,1
-1089.0,-1998.0,-542.0,1
-1006.0,-1820.0,-525.0,1
-699.0,-1241.0,-393.0,1
-575.0,-988.0,-347.0,1
-605.0,-1009.0,-375.0,1
-749.0,-1284.0,-435.0,1
-969.0,-1807.0,-513.0,1
-1137.0,-1998.0,-588.0,1
-937.0,-1998.0,-489.0,1
-765.0,-1569.0,-375.0,1
-737.0,-1375.0,-351.0,1
-802.0,-1483.0,-376.0,1
-824.0,-1722.0,-385.0,1
-829.0,-1961.0,-392.0,1
-706.0,-1799.0,-323.0,1
-697.0,-1589.0,-325.0,1
-615.0,-1381.0,-293.0,1
-569.0,-1294.0,-282.0,1
-562.0,-1288.0,-278.0,1
-540.0,-1287.0,-278.0,1
-508.0,-1277.0,-271.0,1
-470.0,-1198.0,-255.0,1
-410.0,-1072.0,-233.0,1
-390.0,-953.0,-228.0,1
-403.0,-882.0,-242.0,1
-394.0,-799.0,-240.0,1
-347.0,-683.0,-223.0,1
-301.0,-579.0,-206.0,1
-254.0,-475.0,-188.0,1
-215.0,-398.0,-169.0,1
-198.0,-339.0,-160.0,1
-215.0,-315.0,-174.0,1
-250.0,-307.0,-193.0,1
-281.0,-307.0,-208.0,1
-299.0,-306.0,-214.0,1
-317.0,-307.0,-218.0,1
-347.0,-327.0,-226.0,1
-381.0,-368.0,-232.0,1
-437.0,-449.0,-259.0,1
-531.0,-587.0,-305.0,1
-674.0,-808.0,-381.0,1
-790.0,-1072.0,-449.0,1
-829.0,-1312.0,-481.0,1
-871.0,-1555.0,-506.0,1
-926.0,-1557.0,-528.0,1
-827.0,-1230.0,-498.0,1
-670.0,-938.0,-416.0,1
-589.0,-848.0,-357.0,1
-647.0,-1046.0,-356.0,1
-831.0,-1499.0,-413.0,1
-1098.0,-1998.0,-523.0,1
-1029.0,-1978.0,-460.0,1
-883.0,-1646.0,-363.0,1
-896.0,-1602.0,-389.0,1
-770.0,-1519.0,-315.0,1
-771.0,-1608.0,-277.0,1
-979.0,-1944.0,-416.0,1
-921.0,-1864.0,-368.0,1
-771.0,-1566.0,-272.0,1
-677.0,-1418.0,-230.0,1
-667.0,-1394.0,-224.0,1
-697.0,-1411.0,-239.0,1
-681.0,-1358.0,-231.0,1
-555.0,-1212.0,-175.0,1
-470.0,-1072.0,-149.0,1
-455.0,-974.0,-145.0,1
-434.0,-894.0,-147.0,1
-449.0,-856.0,-161.0,1
-425.0,-769.0,-162.0,1
-380.0,-659.0,-145.0,1
-345.0,-576.0,-137.0,1
-325.0,-522.0,-132.0,1
-294.0,-472.0,-132.0,1
-289.0,-429.0,-129.0,1
-302.0,-404.0,-149.0,1
-311.0,-374.0,-159.0,1
-313.0,-336.0,-166.0,1
-328.0,-327.0,-166.0,1
-310.0,-286.0,-158.0,1
-292.0,-247.0,-141.0,1
-314.0,-293.0,-145.0,1
-349.0,-377.0,-174.0,1
-386.0,-470.0,-192.0,1
-425.0,-593.0,-195.0,1
-538.0,-866.0,-262.0,1
-726.0,-1348.0,-369.0,1
-979.0,-1785.0,-474.0,1
-902.0,-1634.0,-450.0,1
-787.0,-1260.0,-401.0,1
-740.0,-1092.0,-405.0,1
-748.0,-1081.0,-426.0,1
-798.0,-1255.0,-477.0,1
-923.0,-1612.0,-548.0,1
-1150.0,-1998.0,-643.0,1
-1183.0,-1998.0,-623.0,1
-1041.0,-1757.0,-578.0,1
-896.0,-1467.0,-536.0,1
-835.0,-1344.0,-511.0,1
-749.0,-1317.0,-425.0,1
-831.0,-1607.0,-425.0,1
-873.0,-1792.0,-445.0,1
-853.0,-1732.0,-437.0,1
-737.0,-1490.0,-380.0,1
-607.0,-1247.0,-314.0,1
-521.0,-1109.0,-281.0,1
-449.0,-1055.0,-263.0,1
-436.0,-1065.0,-263.0,1
-410.0,-1068.0,-258.0,1
-413.0,-1060.0,-256.0,1
-391.0,-981.0,-240.0,1
-380.0,-918.0,-235.0,1
-336.0,-832.0,-223.0,1
-289.0,-728.0,-203.0,1
