AccX [mg],AccY [mg],AccZ [mg],State
-509.0,-1120.0,-214.0,1
-656.0,-1401.0,-292.0,1
-671.0,-1461.0,-276.0,1
-816.0,-1657.0,-387.0,1
-825.0,-1732.0,-377.0,1
-811.0,-1854.0,-389.0,1
-931.0,-1808.0,-459.0,1
-826.0,-1839.0,-419.0,1
-829.0,-1777.0,-432.0,1
-812.0,-1758.0,-423.0,1
-867.0,-1835.0,-464.0,1
-842.0,-1785.0,-456.0,1
-801.0,-1766.0,-441.0,1
-725.0,-1629.0,-409.0,1
-657.0,-1481.0,-380.0,1
-622.0,-1386.0,-363.0,1
-527.0,-1252.0,-328.0,1
-546.0,-1217.0,-302.0,1
-516.0,-1131.0,-302.0,1
-465.0,-1113.0,-286.0,1
-382.0,-979.0,-210.0,1
-425.0,-984.0,-274.0,1
-296.0,-798.0,-181.0,1
-269.0,-733.0,-181.0,1
-263.0,-662.0,-175.0,1
-265.0,-616.0,-182.0,1
-265.0,-554.0,-168.0,1
-255.0,-495.0,-163.0,1
-247.0,-468.0,-153.0,1
-225.0,-423.0,-137.0,1
-232.0,-421.0,-145.0,1
-230.0,-410.0,-139.0,1
-235.0,-415.0,-137.0,1
-239.0,-416.0,-133.0,1
-296.0,-490.0,-166.0,1
-308.0,-507.0,-168.0,1
-394.0,-625.0,-215.0,1
-423.0,-673.0,-230.0,1
-461.0,-770.0,-268.0,1
-526.0,-895.0,-298.0,1
-572.0,-1046.0,-331.0,1
-623.0,-1192.0,-374.0,1
-636.0,-1199.0,-363.0,1
-662.0,-1298.0,-402.0,1
-655.0,-1309.0,-350.0,1
-771.0,-1512.0,-450.0,1
-634.0,-1344.0,-325.0,1
-809.0,-1620.0,-406.0,1
-888.0,-1776.0,-444.0,1
-666.0,-1631.0,-282.0,1
-896.0,-1854.0,-419.0,1
-835.0,-1818.0,-340.0,1
-905.0,-1902.0,-382.0,1
-746.0,-1735.0,-296.0,1
-906.0,-1862.0,-341.0,1
-758.0,-1772.0,-315.0,1
-766.0,-1689.0,-270.0,1
-848.0,-1760.0,-326.0,1
-697.0,-1567.0,-271.0,1
-619.0,-1412.0,-221.0,1
-666.0,-1376.0,-247.0,1
-625.0,-1274.0,-236.0,1
-581.0,-1197.0,-227.0,1
-523.0,-1069.0,-200.0,1
-511.0,-998.0,-198.0,1
-485.0,-910.0,-202.0,1
-443.0,-809.0,-186.0,1
-417.0,-719.0,-176.0,1
-372.0,-637.0,-163.0,1
-346.0,-549.0,-152.0,1
-325.0,-498.0,-149.0,1
-294.0,-421.0,-133.0,1
-279.0,-384.0,-126.0,1
-268.0,-341.0,-124.0,1
-245.0,-308.0,-115.0,1
-236.0,-279.0,-111.0,1
-234.0,-293.0,-112.0,1
-210.0,-258.0,-111.0,1
-238.0,-318.0,-121.0,1
-247.0,-365.0,-140.0,1
-288.0,-451.0,-162.0,1
-365.0,-618.0,-192.0,1
-438.0,-816.0,-225.0,1
-659.0,-1235.0,-325.0,1
-863.0,-1517.0,-451.0,1
-686.0,-1330.0,-343.0,1
-782.0,-1419.0,-410.0,1
-882.0,-1567.0,-479.0,1
-729.0,-1262.0,-421.0,1
-719.0,-1263.0,-407.0,1
-825.0,-1532.0,-453.0,1
-917.0,-1475.0,-510.0,1
-769.0,-1807.0,-414.0,1
-965.0,-1569.0,-474.0,1
-909.0,-1804.0,-465.0,1
-830.0,-1677.0,-400.0,1
-759.0,-1614.0,-360.0,1
-807.0,-1722.0,-383.0,1
-701.0,-1560.0,-316.0,1
-820.0,-1751.0,-394.0,1
-624.0,-1591.0,-291.0,1
-651.0,-1502.0,-314.0,1
-608.0,-1375.0,-289.0,1
-547.0,-1293.0,-282.0,1
-530.0,-1278.0,-271.0,1
-502.0,-1208.0,-262.0,1
-448.0,-1151.0,-249.0,1
-450.0,-1079.0,-250.0,1
-423.0,-1001.0,-247.0,1
-381.0,-870.0,-226.0,1
-356.0,-766.0,-225.0,1
-348.0,-695.0,-223.0,1
-300.0,-579.0,-205.0,1
-262.0,-502.0,-187.0,1
-237.0,-416.0,-179.0,1
-232.0,-374.0,-183.0,1
-233.0,-331.0,-179.0,1
-246.0,-315.0,-189.0,1
-268.0,-306.0,-199.0,1
-299.0,-308.0,-212.0,1
-329.0,-326.0,-222.0,1
-351.0,-348.0,-224.0,1
-403.0,-408.0,-253.0,1
-475.0,-506.0,-278.0,1
-580.0,-670.0,-335.0,1
-647.0,-851.0,-373.0,1
-713.0,-1048.0,-413.0,1
-832.0,-1315.0,-474.0,1
-884.0,-1314.0,-503.0,1
-772.0,-1228.0,-476.0,1
-769.0,-1265.0,-446.0,1
-746.0,-1140.0,-439.0,1
-728.0,-1136.0,-415.0,1
