AccX [mg],AccY [mg],AccZ [mg],State
-505,-1145,-214,1
-563,-1225,-241,1
-683,-1428,-297,1
-822,-1692,-365,1
-911,-1887,-419,1
-905,-1926,-435,1
-837,-1838,-420,1
-796,-1732,-410,1
-809,-1705,-420,1
-844,-1766,-439,1
-867,-1847,-456,1
-864,-1877,-465,1
-825,-1811,-458,1
-749,-1657,-427,1
-650,-1467,-379,1
-567,-1306,-334,1
-526,-1220,-313,1
-519,-1196,-310,1
-527,-1184,-307,1
-511,-1133,-291,1
-443,-1032,-255,1
-346,-909,-211,1
-280,-807,-187,1
-257,-728,-181,1
-260,-660,-178,1
-270,-601,-176,1
-274,-553,-173,1
-265,-508,-166,1
-245,-460,-154,1
-223,-418,-140,1
-212,-395,-129,1
-219,-398,-131,1
-239,-418,-141,1
-257,-439,-148,1
-274,-459,-152,1
-303,-500,-163,1
-358,-577,-191,1
-432,-685,-235,1
-499,-797,-280,1
-536,-896,-310,1
-558,-1004,-329,1
-592,-1145,-350,1
-644,-1287,-378,1
-688,-1360,-400,1
-701,-1354,-402,1
-696,-1345,-388,1
-700,-1407,-375,1
-728,-1535,-370,1
-803,-1713,-385,1
-876,-1860,-402,1
-865,-1876,-382,1
-813,-1804,-344,1
-801,-1759,-327,1
-835,-1790,-332,1
-863,-1843,-336,1
-851,-1854,-326,1
-788,-1781,-299,1
-724,-1655,-271,1
-709,-1549,-264,1
-701,-1466,-263,1
-654,-1369,-245,1
-594,-1263,-220,1
-558,-1170,-208,1
-541,-1090,-210,1
-521,-1005,-209,1
-487,-909,-200,1
-445,-809,-185,1
-404,-712,-172,1
-371,-625,-162,1
-344,-550,-153,1
-321,-485,-145,1
-299,-428,-137,1
-277,-376,-127,1
-258,-333,-117,1
-245,-301,-112,1
-237,-281,-111,1
-229,-271,-111,1
-222,-274,-112,1
-219,-291,-116,1
-233,-339,-128,1
-274,-431,-154,1
-344,-578,-191,1
-445,-794,-234,1
-589,-1104,-293,1
-784,-1480,-383,1
-935,-1732,-468,1
-911,-1653,-476,1
-759,-1349,-420,1
-649,-1123,-380,1
-661,-1134,-392,1
-779,-1369,-442,1
-932,-1689,-502,1
-1002,-1882,-524,1
-933,-1844,-478,1
-823,-1646,-408,1
-777,-1505,-373,1
-791,-1548,-373,1
-807,-1706,-379,1
-788,-1812,-368,1
-734,-1756,-341,1
-679,-1592,-318,1
-626,-1430,-299,1
-584,-1331,-285,1
-558,-1294,-279,1
-535,-1279,-275,1
-503,-1248,-267,1
-464,-1177,-253,1
-425,-1074,-239,1
-402,-969,-234,1
-394,-878,-236,1
-379,-787,-233,1
-344,-685,-221,1
-301,-581,-205,1
-258,-486,-188,1
-225,-408,-174,1
-212,-354,-169,1
-223,-323,-177,1
-249,-311,-191,1
-276,-307,-204,1
-298,-308,-212,1
-321,-315,-219,1
-350,-338,-226,1
-391,-387,-240,1
-455,-477,-269,1
-549,-623,-316,1
-662,-827,-377,1
-760,-1065,-435,1
-825,-1295,-475,1
-865,-1446,-500,1
-867,-1425,-505,1
-801,-1234,-477,1
-702,-1031,-424,1
-652,-981,-383,1
-705,-1158,-383,1
-848,-1498,-425,1
-977,-1794,-462,1
-989,-1849,-444,1
-926,-1726,-398,1
-864,-1616,-363,1
-819,-1594,-332,1
-836,-1681,-331,1
-890,-1796,-356,1
-875,-1769,-343,1
-789,-1612,-290,1
-712,-1473,-247,1
-683,-1412,-232,1
-676,-1382,-229,1
-641,-1320,-214,1
-567,-1210,-184,1
-497,-1088,-159,1
-459,-985,-149,1
-444,-907,-150,1
-435,-839,-155,1
-415,-759,-155,1
-383,-668,-147,1
-350,-588,-138,1
-323,-525,-133,1
-303,-476,-132,1
-296,-435,-136,1
-301,-402,-146,1
-308,-372,-156,1
-315,-344,-162,1
-316,-317,-162,1
-310,-290,-155,1
-307,-280,-149,1
-321,-312,-154,1
-351,-385,-171,1
-391,-492,-190,1
-457,-662,-219,1
-572,-946,-279,1
-733,-1307,-362,1
-861,-1556,-425,1
-872,-1529,-436,1
-811,-1328,-419,1
-767,-1173,-416,1
-772,-1170,-439,1
-833,-1334,-487,1
-951,-1609,-550,1
-1075,-1844,-601,1
-1107,-1883,-607,1
-1033,-1733,-577,1
-924,-1531,-538,1
-841,-1408,-495,1
-806,-1431,-453,1
-822,-1572,-435,1
-842,-1686,-433,1
-813,-1650,-417,1
-728,-1484,-375,1
-622,-1289,-326,1
-532,-1150,-289,1
-470,-1083,-270,1
-436,-1065,-262,1
-418,-1059,-258,1
-406,-1034,-251,1
-391,-980,-242,1
-368,-909,-232,1
-333,-824,-220,1
-293,-732,-204,1
-258,-642,-190,1
-233,-563,-180,1
-219,-496,-175,1
-210,-439,-175,1
-207,-394,-176,1
-210,-360,-180,1
-221,-339,-187,1
-240,-332,-197,1
-266,-340,-207,1
-297,-366,-219,1
-339,-420,-235,1
-404,-520,-262,1
-506,-685,-305,1
-641,-914,-364,1
-784,-1168,-426,1
-879,-1352,-466,1
-894,-1378,-470,1
-856,-1271,-458,1
-817,-1146,-459,1
-799,-1089,-474,1
-811,-1147,-497,1
-872,-1345,-526,1
-957,-1611,-551,1
-989,-1756,-550,1
-931,-1662,-508,1
-838,-1444,-447,1
-800,-1329,-403,1
-842,-1423,-397,1
-883,-1602,-394,1
-877,-1699,-370,1
-872,-1688,-357,1
-849,-1590,-344,1
-777,-1442,-306,1
-698,-1323,-267,1
-644,-1260,-243,1
-600,-1209,-220,1
-563,-1156,-198,1
-540,-1103,-187,1
-513,-1032,-178,1
-468,-932,-161,1
-415,-822,-140,1
-363,-724,-120,1
-324,-644,-105,1
-300,-580,-98,1
-285,-528,-95,1
-277,-485,-96,1
-270,-445,-98,1
-265,-411,-102,1
-263,-385,-108,1
-263,-366,-114,1
-265,-358,-119,1
-279,-372,-127,1
-309,-417,-141,1
-354,-491,-159,1
-416,-600,-179,1
-498,-754,-206,1
-588,-955,-241,1
-665,-1163,-278,1
-707,-1290,-301,1
-707,-1279,-311,1
-683,-1174,-316,1
-665,-1090,-324,1
-683,-1122,-341,1
-740,-1281,-370,1
-829,-1520,-415,1
-941,-1750,-474,1
-1027,-1845,-526,1
-1026,-1754,-545,1
-950,-1576,-534,1
-872,-1462,-517,1
-848,-1483,-513,1
-879,-1587,-520,1
-905,-1643,-516,1
-867,-1571,-485,1
-779,-1426,-440,1
-697,-1299,-403,1
-624,-1184,-361,1
-552,-1084,-311,1
-505,-1037,-281,1
-479,-1019,-269,1
-447,-989,-256,1
-407,-938,-238,1
-368,-874,-221,1
-339,-812,-209,1
-325,-763,-203,1
-307,-711,-194,1
-271,-647,-177,1
-225,-581,-155,1
-186,-527,-138,1
-164,-490,-131,1
-160,-470,-132,1
-170,-465,-139,1
-194,-476,-151,1
-226,-500,-164,1
-255,-528,-175,1
-277,-560,-185,1
-295,-600,-192,1
-317,-660,-199,1
-363,-761,-215,1
-447,-911,-250,1
-557,-1089,-299,1
-649,-1234,-340,1
-695,-1302,-357,1
-710,-1307,-357,1
-723,-1300,-355,1
-750,-1323,-357,1
-792,-1387,-365,1
-854,-1504,-387,1
-906,-1629,-415,1
-907,-1687,-430,1
-889,-1682,-438,1
-896,-1656,-451,1
-884,-1594,-450,1
-825,-1516,-428,1
-788,-1496,-417,1
-780,-1501,-415,1
-773,-1485,-404,1
-739,-1430,-375,1
-662,-1319,-324,1
-593,-1206,-278,1
-576,-1144,-262,1
-582,-1114,-263,1
-547,-1049,-246,1
-473,-950,-203,1
-417,-875,-166,1
-400,-840,-156,1
-393,-811,-153,1
-377,-765,-145,1
-358,-711,-133,1
-335,-652,-121,1
-309,-593,-111,1
-283,-538,-102,1
-258,-486,-90,1
-239,-446,-80,1
-228,-418,-72,1
-221,-401,-63,1
-217,-397,-59,1
-223,-414,-62,1
