AccX [mg],AccY [mg],AccZ [mg],State
-572.3227499385296,-1333.4530050114195,-243.08966286048886,1
-600.6438757086836,-1321.6525359405218,-252.53003811720686,1
-802.4318968210312,-1641.4452477618445,-354.0140721269255,1
-993.5994957695709,-2043.84124307945,-427.1769803664901,1
-1154.085875133777,-2357.7337203653237,-529.8410612832985,1
-1134.0250777132514,-2357.7337203653237,-547.5417648896448,1
-936.9572442292629,-2187.8069657444,-476.7389504642597,1
-901.5558370165703,-1963.5980533973468,-470.8387159288109,1
-939.3173380434423,-1945.8973497910006,-488.5394195351572,1
-1016.0203870042762,-2079.2426502921426,-527.480967469119,1
-1034.9011375177122,-2207.8677631649252,-538.1013896329267,1
-1041.9814189602507,-2294.011187382477,-558.1621870534525,1
-1000.6797772121095,-2192.5271533727587,-558.1621870534525,1
-903.9159308307497,-1982.4788039107827,-520.4006860265805,1
-758.7701612587103,-1712.2480621872296,-444.8776839728364,1
-630.1450483859275,-1477.4187276763691,-372.89482264036155,1
-605.3640633370426,-1400.7156787155352,-356.374165941105,1
-597.1037349874143,-1400.7156787155352,-370.534728826182,1
-636.0452829213762,-1436.1170859282279,-370.534728826182,1
-647.8457519922737,-1370.0344591312016,-356.374165941105,1
-560.522280867632,-1247.3095807938676,-323.332852542592,1
-363.4544473836435,-1032.5410437035328,-214.7685370903348,1
-304.4521020291559,-946.3976194859808,-214.7685370903348,1
-290.2915391440789,-855.53400764007,-213.58849018324506,1
-303.2720551220662,-774.1107710508771,-212.4084432761553,1
-323.332852542592,-699.7678159042227,-205.3281618336168,1
-332.77322779930995,-652.5659396206327,-207.6882556477963,1
-322.1528056355022,-606.5441102441324,-200.6079742052578,1
-290.2915391440789,-538.1013896329267,-185.267364413091,1
-259.6103195597454,-483.81923190679817,-165.20656699256523,1
-234.82933451086058,-444.8776839728364,-141.6056288507702,1
-248.98989739593762,-457.85819995082363,-147.50586338621895,1
-285.5713515157199,-496.79974788478546,-169.92675462092424,1
-313.89247728587395,-528.6610143762088,-184.08731750600126,1
-310.3523365646047,-522.76077984076,-171.106801528014,1
-345.75374377729725,-572.3227499385296,-182.9072705989115,1
-398.8558545963361,-647.8457519922737,-210.0483494619758,1
-518.040592212401,-813.052318984839,-280.8511638873609,1
-618.3445793150299,-959.3781354639681,-342.213603056028,1
-644.3056112710044,-1054.961934938238,-377.61501026872054,1
-646.665705085184,-1151.7257813195977,-387.05538552543857,1
-677.3469246695174,-1331.0929111972398,-400.0359015034258,1
-765.8504427012489,-1585.9830431286264,-454.3180592295544,1
-839.0133509408134,-1669.7663735319986,-482.63918499970845,1
-854.3539607329802,-1615.48421580587,-502.6999824202342,1
-788.2713339359541,-1490.3992436543563,-433.0772149019389,1
-843.7335385691724,-1659.145951368191,-461.3983406720929,1
-803.6119437281209,-1754.7297508424608,-411.8363705743233,1
-914.5363529945575,-2007.2597889596675,-429.5370741806696,1
-1158.8060627621362,-2348.293345108606,-541.641530354196,1
-1030.1809498893533,-2265.690061612323,-444.8776839728364,1
-928.6969158796346,-2105.203682248117,-397.6758076892463,1
-883.855133410224,-1984.8388977249624,-354.0140721269255,1
-1023.1006684468147,-2124.084432761553,-407.11618294596434,1
-1019.5605277255454,-2186.62691883731,-402.3959953176053,1
-1065.5823571020458,-2259.7898270768746,-397.6758076892463,1
-940.4973849505321,-2164.2060276026045,-366.9945881049128,1
-778.8309586792361,-1897.5154266003208,-287.9314453298994,1
-839.0133509408134,-1810.1919554756792,-305.6321489362457,1
-882.6750865031343,-1761.8100322849994,-337.493415427669,1
-774.1107710508771,-1617.8443096200497,-292.6516329582584,1
-677.3469246695174,-1479.7788214905486,-246.6298035817581,1
-640.7654705497351,-1365.3142715028428,-232.46924069668108,1
-649.0257988993634,-1298.0515977987268,-253.7100850242966,1
-625.4248607575684,-1194.2074699748287,-257.25022574556584,1
-579.4030313810681,-1073.842685451674,-237.1894283250401,1
-526.3009205620292,-953.4779009285194,-218.30867781160407,1
-469.65866902172115,-834.2931633124545,-200.6079742052578,1
-435.43730871611837,-729.2689885814665,-189.98755204145002,1
-404.75608913178485,-646.665705085184,-181.72722369182176,1
-377.61501026872054,-565.242468495991,-171.106801528014,1
