AccX [mg],AccY [mg],AccZ [mg],State
-485,-1130,-206,1
-842,-1732,-362,1
-794,-1854,-404,1
-861,-1762,-447,1
-848,-1858,-473,1
-534,-1252,-316,1
-539,-1217,-314,1
-308,-875,-182,1
-257,-656,-180,1
-273,-514,-170,1
-199,-377,-120,1
-266,-448,-156,1
-338,-549,-178,1
-546,-894,-320,1
-649,-1344,-385,1
-668,-1263,-367,1
-775,-1701,-364,1
-787,-1784,-337,1
-864,-1853,-341,1
-660,-1608,-244,1
-656,-1371,-248,1
-550,-1100,-215,1
-446,-808,-185,1
-343,-548,-154,1
-276,-371,-128,1
-237,-278,-111,1
-207,-273,-112,1
-328,-543,-190,1
-769,-1508,-360,1
-699,-1241,-393,1
-749,-1284,-435,1
-937,-1998,-489,1
-802,-1483,-376,1
-706,-1799,-323,1
-569,-1294,-282,1
-508,-1277,-271,1
-390,-953,-228,1
-347,-683,-223,1
-215,-398,-169,1
-250,-307,-193,1
-317,-307,-218,1
-437,-449,-259,1
-790,-1072,-449,1
-926,-1557,-528,1
-589,-848,-357,1
-1098,-1998,-523,1
-896,-1602,-389,1
-979,-1944,-416,1
-677,-1418,-230,1
-681,-1358,-231,1
-455,-974,-145,1
-425,-769,-162,1
-325,-522,-132,1
-302,-404,-149,1
-328,-327,-166,1
-314,-293,-145,1
-425,-593,-195,1
-979,-1785,-474,1
-740,-1092,-405,1
-923,-1612,-548,1
-1041,-1757,-578,1
-749,-1317,-425,1
-853,-1732,-437,1
-521,-1109,-281,1
-410,-1068,-258,1
-380,-918,-235,1
-255,-638,-189,1
-208,-432,-174,1
-216,-333,-187,1
-294,-355,-218,1
-487,-649,-296,1
-936,-1456,-494,1
-808,-1106,-453,1
-839,-1275,-522,1
-951,-1739,-517,1
-848,-1361,-393,1
-886,-1734,-360,1
-665,-1267,-245,1
-546,-1149,-189,1
-466,-928,-160,1
-312,-635,-97,1
-279,-487,-96,1
-261,-378,-108,1
-267,-351,-121,1
-406,-581,-178,1
-683,-1207,-286,1
-687,-1163,-317,1
-730,-1238,-362,1
-1096,-1988,-549,1
-835,-1368,-507,1
-953,-1742,-534,1
-695,-1314,-413,1
-499,-1026,-274,1
-400,-938,-234,1
-336,-773,-210,1
-224,-577,-153,1
-158,-467,-132,1
-232,-502,-167,1
-296,-592,-195,1
-422,-882,-235,1
-712,-1340,-368,1
-758,-1319,-366,1
-959,-1690,-433,1
-893,-1679,-447,1
-785,-1512,-425,1
-804,-1512,-411,1
-543,-1094,-235,1
-460,-929,-202,1
-403,-827,-161,1
-332,-649,-118,1
-251,-476,-87,1
-220,-395,-59,1
-236,-444,-70,1
-442,-865,-143,1
-717,-1614,-251,1
-545,-1054,-190,1
-680,-1447,-285,1
-907,-1823,-411,1
-655,-1342,-312,1
-806,-1629,-412,1
-609,-1194,-336,1
-503,-1013,-279,1
-372,-864,-220,1
-353,-721,-203,1
-94,-424,-75,1
-177,-455,-103,1
-238,-536,-135,1
-312,-819,-179,1
-677,-1422,-314,1
-563,-1161,-258,1
-754,-1527,-312,1
-821,-1742,-373,1
-766,-1467,-359,1
-766,-1677,-363,1
-535,-1085,-267,1
-507,-1066,-230,1
-430,-991,-185,1
-323,-679,-130,1
-234,-462,-86,1
-190,-371,-58,1
-195,-434,-51,1
-340,-786,-106,1
-719,-1607,-289,1
-507,-1097,-196,1
-603,-1348,-245,1
-847,-1893,-351,1
-600,-1336,-272,1
-809,-1709,-379,1
-551,-1224,-292,1
-496,-1061,-263,1
-443,-985,-241,1
-278,-677,-165,1
-210,-503,-122,1
-170,-425,-98,1
-214,-498,-114,1
-376,-850,-172,1
-678,-1433,-306,1
-461,-931,-200,1
-750,-1492,-329,1
-765,-1736,-369,1
-678,-1395,-328,1
-766,-1689,-369,1
-547,-1170,-258,1
-462,-1043,-208,1
-489,-1053,-215,1
-346,-705,-139,1
-242,-508,-94,1
-214,-450,-77,1
-228,-490,-82,1
-336,-728,-135,1
-527,-1213,-216,1
-594,-1317,-248,1
-612,-1318,-273,1
-804,-1814,-387,1
-717,-1482,-377,1
-779,-1656,-410,1
-566,-1266,-333,1
-458,-1026,-264,1
-358,-886,-216,1
-323,-767,-196,1
-231,-577,-143,1
-232,-508,-144,1
-262,-494,-144,1
-380,-691,-195,1
-646,-1298,-311,1
-646,-1218,-325,1
-628,-1166,-345,1
-859,-1887,-435,1
-633,-1275,-328,1
-795,-1665,-339,1
-524,-1210,-202,1
-534,-1080,-216,1
-442,-972,-190,1
-403,-794,-158,1
-318,-589,-131,1
