AccX [mg],AccY [mg],AccZ [mg],State
-455.41243544271435,76.07816327623942,-385.4471495440764,0
-263.02575674721345,-258.48479963061607,-849.1887047177567,0
-504.55207477024527,-421.9031367706905,-1184.2068043571487,0
-346.8016802540366,-219.32745223940958,-928.7131340860856,0
-565.9001356105298,127.38893037059334,-628.0369054803633,0
-391.6140232221638,-40.81435221591669,-785.4493734077886,0
-328.60456486008104,-182.1187651610502,-932.2768475237133,0
-569.987538621067,-388.13475279998556,-607.1188402831451,0
-379.695988424857,-222.00963023693907,-488.3962890491043,0
-340.0760441417538,-313.4063855125827,-360.7427848970523,0
-1635.498707266467,634.5988927420354,203.42980637544662,0
-627.2849861747561,-580.3991944584251,-612.2764116361168,0
-265.20759190892755,54.8663180369594,-124.99948097787343,0
-183.40173219622125,70.56081323852713,-139.32623115974704,0
-184.57348136082786,53.43464010084013,-135.1586360360261,0
-106.66766187714532,36.8540523054928,-137.33562751704068,0
-74.1934829497282,-100.16052018482007,-229.308643149992,0
-330.2862243171358,-321.40583587604357,-277.4991172267157,0
-657.2781157487566,-1394.2788859108716,-1084.609856764376,0
-368.5934981996485,-1817.7423023325025,-796.7518863373024,0
893.7668212196459,-1885.827870860456,-4.766913697017738,0
343.0380730597281,-1910.5112763661061,-1423.9858307266268,0
-396.6678223285429,-1289.5661031533257,-590.7221853369106,0
-355.6275577540065,-631.3087596469522,-379.1125850221897,0
-265.5393492326905,-194.24810067024532,-338.8384294269555,0
-208.92574712619376,-56.35940875198003,-425.9639638199518,0
-219.9509217209893,-109.82659426477824,-391.87426287432004,0
-251.77429744185176,-65.18028006397277,-414.5340191867329,0
-267.1395595964582,-47.84608901064177,-316.6788013366904,0
-248.37391702695365,0.8257289546537852,-312.30834732361194,0
-222.4780041426595,-60.34485862857977,-273.03741264822014,0
-234.84662497102826,-163.4218420682196,-291.50027194913633,0
-325.8600166522796,-370.3001174860055,-375.73318463471077,0
-355.32772271799,-359.02972345245684,-291.9064574650052,0
-88.43355417534015,-644.8978912873353,-399.6146978448954,0
528.4896441005429,-1879.6050417080103,-1574.0267169784504,0
1360.3882658458672,-1942.797496887135,-640.403088655003,0
1132.7459201614734,-1911.8854905859234,-935.6801857221102,0
258.71494939144065,-1387.698362686082,-920.5242031003711,0
-104.7493236942619,-1013.3730372803182,-744.967091245015,0
-350.2916200360319,-375.9493384976792,-410.1405096657779,0
-204.3412443471546,-16.361684372678234,-359.5639345190659,0
-40.052124259467206,-109.85518908740652,-578.3215631404944,0
-90.22058739124384,-249.71259590854092,-599.4828254936217,0
-144.3026790745746,-137.08621441193725,-432.8595091558451,0
-142.26143361848915,-114.1054257750821,-288.5475564871427,0
-109.76967467581127,-152.78773244306763,-455.4214823832263,0
-77.85235272086412,-198.94172872373676,-410.41128787512315,0
46.54713145093897,-208.98098923205384,-389.2227089466344,0
331.9297064951479,-414.70355650189435,-559.6605382980159,0
515.4532123122663,-620.7796917406602,-498.5243524507541,0
594.5170009634459,-938.7321076996669,-259.829730399333,0
202.00289402849842,-1895.233533234946,122.61250472743657,0
1039.4811609282324,-1913.7067138507405,-1731.3644057479962,0
842.6151371233466,-1959.2501869988207,-934.9062919400953,0
647.3519446042329,-1163.8330961191025,-749.6088973965149,0
416.5940487555551,-630.9304503023842,-361.13069733682977,0
176.44361357224858,-466.583052368624,-226.92266593337771,0
85.18264002156313,-465.5559149375066,-212.82066035303708,0
-27.503804186208846,-365.69097354652615,-177.47008962496835,0
-57.22442951719913,-248.03317469143258,-94.21204632900323,0
-148.39803296906658,-266.9497280363994,-134.65810063162866,0
-95.75963573668261,-181.49257508028154,-126.29096779953834,0
-102.60201920666722,-204.76327297963118,-200.55503019178772,0
-47.226853671189495,-230.59457031351985,-240.00985914924019,0
56.9585995062776,-247.7586981047016,-276.82326295475417,0
111.8502417611329,-361.03680056521586,-299.21987374599877,0
134.5582714564384,-456.1173217415265,-223.96019360399055,0
90.71989763334696,-501.88437299948646,-93.81381036456386,0
148.9358840090095,-709.6007659126732,-53.65214104272431,0
460.300594293568,-1203.993139618319,-246.05646041280283,0
1203.2955227977077,-1924.0277841463158,-1098.7372488077658,0
1036.1244560328762,-1945.9538349361499,-228.99741843566866,0
937.7224484636064,-1947.6049071663417,-573.9260511844761,0
490.3969252273196,-1443.629370160585,-376.61228489688847,0
243.54349039898023,-993.1546870780941,-393.2469120613584,0
215.44152294092095,-569.3802727240806,-216.27637212923435,0
236.63761927920694,-366.47461788971856,-181.51613869148392,0
181.17722623146264,-288.36448778141647,-140.1865436961385,0
164.9085136559554,-227.08572836192377,-42.992792163535654,0
160.84003379025734,-225.59597692203496,30.159772413178967,0
25.464573549585175,-295.9831374933962,-18.428676572261722,0
60.339174884675586,-359.5514828248813,-50.432705995520834,0
123.1064754214853,-523.6320703144077,-162.0538036184539,0
202.9388910639047,-672.0011246094037,-192.0735840543866,0
321.22244819603355,-931.2398090736568,-290.91537936667464,0
709.3304228710223,-1325.8773182184066,-478.8430936911747,0
956.3064042548255,-1738.0688664320555,-241.77529138404486,0
898.2869123002195,-1919.1833224158277,-678.1952747710214,0
677.6450335112575,-1727.2939425989778,-665.4774846558348,0
349.00236190710405,-1116.0586651804851,-121.67091606723133,0
318.40515516517274,-917.7104330630004,-262.31111457267707,0
281.10613391078186,-690.2989904909755,-299.58223713795655,0
179.27410373369182,-490.6358012969901,-192.57674473065788,0
162.25480887574724,-470.1483427417511,-269.0321715465023,0
85.84326278569779,-499.96487620099623,-295.6525787413992,0
104.84334038734443,-516.3846401929449,-305.69874616035725,0
139.20152923160262,-519.3465853583236,-257.8614322554146,0
134.09696286687006,-700.946077409515,-356.32985765371234,0
208.715966588641,-954.1902331669648,-322.82798189146007,0
287.3803083827781,-1200.6585814457671,-378.15632639084663,0
427.50029270154505,-1674.8454176787573,-639.1378123860567,0
630.5114539100197,-1912.4735850344714,-739.2467241599059,0
730.4952386811627,-1626.0187091138673,-278.7906282174222,0
631.8260795691639,-1360.0226182597619,-404.6295067099052,0
440.0576841082605,-1120.8139062126388,-581.2667854728198,0
245.2246795511013,-809.8220340513317,-558.9445751317386,0
66.70510347703957,-667.1622138997001,-417.87062904875353,0
19.38257259156112,-580.7514890686296,-336.9553599990207,0
3.8611342773294766,-567.8028287539161,-300.3732113989306,0
16.30896740038534,-521.2513560710092,-266.5248225476374,0
