AccX [mg],AccY [mg],AccZ [mg],State
-384.32247209812124,-195.1777066564869,-796.3531795314075,0
-424.36397603805307,-131.04735222986986,-738.302753613628,0
-412.8287498156183,-97.762521719745,-736.8173466307558,0
-424.7180299841184,-145.0381735455532,-845.7078739466831,0
-409.27996586772736,-193.06502771400093,-898.46923164223,0
-445.20891042554683,-166.2592167111365,-779.7857362082696,0
-456.1881415896606,-149.84990913692604,-656.3269723209862,0
-452.34400587826906,-152.02464998953246,-599.7542380444863,0
-656.4565436758196,-109.91392722964648,-458.7724208377191,0
-716.4881433322267,-132.1274759086873,-382.02304155633783,0
-506.891865823088,-183.11476239887352,-347.80913167402014,0
-586.0238404177943,39.46710529912893,-166.05812104344272,0
-568.0429672757248,14.270128408975566,-184.0033064296224,0
-339.67761824256087,-52.12641984017216,-215.20061117062698,0
-199.72143933596658,-29.87648958322751,-186.18501049750301,0
-212.71755753300786,-132.02480049921178,-234.90358212904692,0
-285.2368989067792,-421.5640392407811,-389.0511360707428,0
-237.9941716122496,-784.3862450679478,-494.2737493422535,0
-36.43458998218887,-1050.4184924821034,-444.63371485898347,0
-4.431975070288587,-1347.570388217879,-667.9612506434048,0
-167.80122326120687,-1511.834192865304,-826.399670813118,0
-53.535915495514075,-1384.1013005090724,-546.7570677911142,0
51.95918969964339,-1145.7210357446977,-563.9113473176556,0
-113.43068041208357,-852.5969856545737,-609.3842675603307,0
-253.1697181866922,-537.5762001031669,-480.5978348457891,0
-269.54057590238756,-277.88054557353854,-395.65880562985853,0
-251.04167649068847,-118.96763249190009,-375.0535852966912,0
-239.03450388252114,-65.77819879092335,-360.18398528022215,0
-238.03768922780495,-63.8669832475165,-347.0056492583582,0
-247.63028281965862,-92.49659117296679,-328.1330646447867,0
-266.40402892362454,-144.4707187472071,-322.59260963492534,0
-268.1280650529086,-216.72183966821387,-322.1822197902336,0
-193.28958818812748,-379.57342067628724,-382.4729822701675,0
-0.7566196485654189,-745.7382062387406,-598.2529831298049,0
272.7977042183338,-1081.6412383276725,-689.3810134230896,0
457.96872401310895,-1235.1021402647584,-658.3606548684586,0
473.0283695568371,-1427.5281369014651,-892.8906716434169,0
495.13060625124876,-1474.1720445459164,-898.2000340618682,0
448.71099421496,-1278.7723265258971,-735.3446566558886,0
217.877570441427,-940.4782356168125,-663.2791612066998,0
4.176859996899509,-653.9618278230585,-637.422422033135,0
-127.12161549447447,-431.6701399609559,-570.4425904013978,0
-172.205447778511,-227.1152315426486,-471.1365448898431,0
-136.85718935340745,-130.1232572802805,-437.1357756442635,0
-105.43649612607496,-152.34440465638386,-464.91198853240553,0
-97.13808490315881,-175.0082546816316,-458.3895936112872,0
-60.46883423886081,-181.90083622300705,-406.6563885765015,0
37.17222873944399,-238.0161084537251,-426.3167787731155,0
158.4649092206298,-357.4068627753634,-450.1798674571389,0
254.72085590927315,-539.9694650265219,-389.2182768637068,0
338.08709623122576,-857.4001451929126,-379.10165681128944,0
512.4405726340945,-1172.3005152891028,-613.1051809389726,0
673.8597490850171,-1341.423817119466,-753.8281017001932,0
596.20086847669,-1446.4565738318036,-558.9375695904035,0
587.4407263352521,-1376.4553546728248,-676.0985129827222,0
571.3995190434225,-1226.3922145380443,-720.3722314837839,0
438.69060800953037,-986.7921926612801,-552.3313462039627,0
282.9929461318972,-684.6137723643533,-377.91296291091635,0
135.938334547024,-464.8589656106831,-239.77666690177062,0
27.3477108270095,-369.31231923775835,-177.89255139942304,0
-38.65676464455977,-316.2996159783446,-163.06850281139967,0
-66.9616600633619,-260.86391508770225,-155.45655016733832,0
-78.83679971621996,-241.19505321061,-170.5969944217095,0
-53.281863094506235,-237.30433650736802,-194.81431170932143,0
-11.074831042522387,-258.7536424136771,-221.64332253220027,0
24.429189220254948,-311.38392673659695,-230.76191012453023,0
62.28925902408628,-371.80335346635775,-209.70988059933148,0
119.17239424600504,-485.74533284184486,-195.3256918069846,0
244.5947556466078,-707.2799853784848,-241.93321889167433,0
447.70474529258877,-1002.4631699667043,-360.751425137045,0
597.1285040953466,-1256.3021680842878,-368.7830276939569,0
657.6026554890614,-1442.3748613264133,-340.46327602973645,0
743.5407438258515,-1580.9412097651195,-515.7388594441935,0
715.4083885688174,-1534.7790643962667,-487.63746566122364,0
606.0574082175999,-1347.442204797725,-387.0185566870898,0
462.0233405532322,-1074.812588801353,-327.1416769924415,0
308.9341542697049,-786.1829955846308,-270.73630905314053,0
219.02567152528934,-539.7923208005086,-194.36679267219932,0
188.3894474828719,-374.83539353437754,-117.48137131975042,0
151.9748808076546,-308.1576435545303,-81.05418182501853,0
120.05430642678999,-304.01590422177554,-65.99128563262244,0
125.8521106595207,-346.60499699169264,-63.9313194202115,0
134.61174224349855,-440.9593863961138,-92.82628193713686,0
180.9177014840998,-584.0998991418926,-148.08586502581886,0
312.5326831437055,-798.8993190229987,-229.5354927482716,0
478.17843469423735,-1057.9254352361697,-283.12744939840013,0
583.2906504790311,-1292.760153920487,-362.42968721994316,0
641.998776358252,-1439.0470061199217,-466.1265679418048,0
658.5995149902226,-1461.92256752801,-394.2414703718447,0
617.4194247348654,-1404.6016487593681,-363.1219970523107,0
526.9555623109059,-1273.6211282821164,-419.0846559219397,0
382.1653620876376,-1014.435434507124,-325.7508126365412,0
269.6561452497497,-782.4393678965884,-248.6621285651116,0
212.75533073469285,-650.4213289745338,-269.02892218706495,0
168.91783089637653,-560.7034259599344,-270.365121246534,0
147.90656364660595,-522.4425549826503,-268.2232764012962,0
135.23309751932473,-564.534621098277,-291.728187507122,0
143.99013099737056,-673.4364438041603,-316.4594684568723,0
189.30326259993237,-819.4189248446269,-335.223272151746,0
255.85421989127323,-1034.5433578579532,-409.468998970819,0
352.2198541575932,-1274.430315669019,-475.7229567910525,0
451.2919031549684,-1405.2235549537463,-447.3527033459276,0
508.6514646184992,-1461.3915985601202,-456.0537290545831,0
522.9981979197762,-1473.552826631399,-549.6772592229399,0
495.0562052063349,-1343.1262908557742,-521.3045120810284,0
410.0109904639217,-1128.0272296182957,-444.33621606568613,0
292.39491959426994,-939.2226257918417,-434.20603659052506,0
182.75704512046576,-777.7132165785395,-430.00121472354476,0
96.71013599514069,-652.3105536053645,-384.17956263385986,0
59.36434809242283,-567.1256931316518,-329.19103508552894,0
60.80235383103424,-528.5316363101713,-294.8779846742301,0
77.07431984926218,-534.7965532691369,-286.2191820050572,0
119.14755185479959,-595.0057027256778,-324.25290574301164,0
173.9453898463434,-721.2055131741442,-393.8864596749995,0
220.179496055843,-869.8545741255143,-444.7903692558905,0
268.32593375120274,-1007.8603617626368,-457.3744559755369,0
328.270966690799,-1085.1414584774284,-454.29188750291166,0
383.64597531680585,-1132.5047325675832,-477.5894633150666,0
394.6729993729156,-1164.6976640853,-490.0107726195089,0
359.95932343891377,-1105.124265146918,-445.26058035881863,0
326.59332926736556,-984.4735480784083,-404.03660736488104,0
275.3692568077682,-900.6729232068237,-404.844841392302,0
199.11353432101458,-840.9797751384344,-399.0561420016213,0
155.92143388528314,-762.0861764678915,-347.9512911223716,0
150.3419958782542,-687.0244990905053,-289.628842851342,0
153.3325097861252,-638.9010924066863,-260.8834868790347,0
172.2177968254037,-654.1468956190855,-248.73701964498338,0
187.40707660914103,-707.2370388482148,-246.10732714397636,0
195.37336373595767,-798.7118643041329,-253.91911589908568,0
213.8477967612477,-901.38084587654,-290.05710733076523,0
257.71315006660626,-973.0893804709165,-302.3295674538181,0
297.6773539968045,-1026.0228905270546,-278.04004025969795,0
332.56197151002533,-1049.9140983837474,-274.27616944999437,0
370.72562708106454,-1045.8843984691239,-285.2356314474987,0
395.09784976792025,-1026.504376899716,-286.8514430819422,0
386.00146706511197,-989.6803386810495,-256.0935218149217,0
360.66375175986843,-968.4438994797636,-238.03124852227887,0
353.33838628615814,-994.0117774188491,-278.50433742036324,0
348.9012948630342,-1022.5062725272355,-291.23095437995454,0
358.2714502992526,-1051.4634963402139,-295.33896073303356,0
407.91937067608666,-1103.7528370928003,-311.3363382839149,0
455.4354140754673,-1185.0543926614964,-313.48206116480753,0
499.20368045159165,-1278.5157864247112,-329.4093006998578,0
534.6588930517319,-1347.121879623609,-341.8162813077697,0
544.9389944768757,-1374.760637301286,-313.44960908889453,0
532.6429734117919,-1379.0262542502464,-289.76210322107005,0
521.4872548408599,-1360.6966104934745,-303.57042037665974,0
496.95108486437186,-1306.0984098642066,-304.8916926929187,0
438.91929438496015,-1229.1058554724684,-287.656084910918,0
410.5607832762629,-1153.4410996414165,-292.82375982593294,0
410.98382133958773,-1103.3640015601104,-309.5826114840174,0
403.9290658241274,-1076.6543072184218,-315.55231853808084,0
399.0506512214693,-1052.2279700758104,-301.9342206476856,0
392.7724631521535,-1022.1497342674068,-278.9810384217194,0
374.48693341504577,-1006.0987223668394,-286.10714111432196,0
364.3530759077754,-994.9320514731126,-294.4143894605598,0
357.44142159520277,-956.312898402451,-281.53172218028226,0
330.22629971591135,-918.6415548796523,-268.2992376217104,0
306.7616660859924,-893.9632554350778,-263.94851173814504,0
290.0977366894827,-862.2479962325701,-267.275996085569,0
267.6978873414862,-847.946131187257,-274.85821569788186,0
254.4139306093395,-842.1016565331588,-269.76501538279524,0
250.65790574926336,-833.260470283231,-273.80992735352197,0
256.2735184069715,-845.0842199024746,-301.38054418953845,0
267.9930072442349,-863.0687828162245,-315.33898715007626,0
285.95571868809293,-884.4340036816243,-318.82611034451025,0
315.76825599646475,-920.1210290576382,-339.1636370938254,0
328.5045294349426,-944.1048975881388,-362.1771634007648,0
341.4740758269294,-956.9906554473757,-344.0689689177125,0
347.37660535196915,-961.6108077392851,-325.66879002735095,0
336.4105862315648,-957.9977869379404,-341.149234159442,0
325.91304038700287,-941.899437177147,-331.11739012945173,0
321.3844189751663,-916.6990635152318,-311.18849617266835,0
305.2200086209865,-901.7432866654382,-290.0260997728967,0
288.31027495811304,-882.9506640758091,-267.2387889179504,0
271.71385058421833,-857.4708123619362,-254.5661437425117,0
270.8141887278447,-871.1845866452588,-255.33110170565215,0
282.36238810565953,-900.7143978021907,-253.31612284826087,0
288.6194241217389,-919.518372244494,-245.2012489306387,0
307.74239039656527,-958.2647205545265,-259.80604876174505,0
353.5994820393712,-1021.4008484754168,-286.65002978872224,0
387.3110640769278,-1082.2712063098318,-310.7414085999303,0
408.88097298760454,-1119.1364734566396,-324.9766462257219,0
427.8285199212801,-1137.575679725042,-319.88491462981904,0
440.9025846353038,-1129.42774839673,-318.43258531308265,0
441.59612659308766,-1110.2308109156731,-325.28402097867337,0
427.46691470828364,-1075.8448593806565,-299.98851984917553,0
418.1796760811469,-1041.263011421339,-262.1618142397476,0
406.139416873423,-1019.450680884617,-249.87182178339816,0
399.65784679207434,-1008.613504823328,-251.82992319339775,0
412.19740854117833,-1021.1999367366861,-241.30270317294742,0
420.9764004620973,-1024.306562225227,-224.83828587732032,0
409.04132681001454,-1030.5591261910056,-236.9477308090002,0
404.49348790701004,-1058.2394479595353,-251.1471553696394,0
408.5237993013003,-1065.3360083676516,-261.65315794073797,0
422.1159040628763,-1061.575278674034,-271.68393411483265,0
417.6670727958593,-1061.524044983684,-267.77027698942493,0
409.89260550633946,-1052.3486402099352,-267.86760740021725,0
424.58315765034865,-1048.3070468645383,-268.7756020144866,0
427.59224460374185,-1040.7847880273375,-263.65584777263507,0
419.3361226664208,-1020.3173044000184,-248.39244187588255,0
426.74507037941805,-997.7329013357339,-229.1794415128595,0
429.6837584280794,-990.8130954451213,-219.88877016261188,0
423.63143769294356,-995.4689568883296,-230.90001384982824,0
406.7455496956205,-999.981796102317,-225.02516571975383,0
416.81949121634057,-1013.6967900559532,-213.69476838852,0
422.9994534583684,-1012.9708274534873,-220.77241015545735,0
400.8720780008416,-1013.6369399434234,-235.6722635866388,0
400.56543670311964,-1021.9323239220289,-238.8509538480872,0
403.65677365022,-1013.7492750428898,-231.73574371226408,0
399.5356910528701,-1003.294969213325,-229.76004137448604,0
398.594986495629,-986.6565690867527,-229.51461335038272,0
404.0204045884575,-975.4474889851534,-220.74915364819262,0
395.1794233000576,-974.9698863160579,-227.7324084038383,0
382.9617555490935,-976.5098822318452,-210.050760558342,0
392.93593072634826,-988.3121753833907,-203.18600519739104,0
399.71917385425206,-988.5737690850901,-218.6839153485265,0
385.2019221490456,-981.154691801981,-222.33607494358165,0
375.55794757208713,-998.940785898131,-228.28841247545273,0
378.1381995042377,-1007.7700811931062,-235.20710895658632,0
377.35398024872586,-983.0637510229462,-245.42539059900014,0
357.5336975633451,-976.4480333742491,-243.73801212388895,0
354.3985235917728,-985.7239220170891,-244.38778477765447,0
358.88171370761586,-996.7482563877427,-261.1890206375943,0
378.599923578074,-1013.2385026124252,-266.4317036946604,0
391.31101443707166,-1037.9529093162848,-264.01129110210013,0
391.0506234380905,-1071.2877516770343,-277.36233281250077,0
407.20246261447915,-1110.9876593138292,-300.07298947197415,0
418.2112545089258,-1121.170681928555,-316.5026917570257,0
415.40314077457253,-1112.1359634729083,-319.594693655878,0
403.66248108481375,-1088.6559321904929,-312.56095447676444,0
392.1148851744206,-1071.1393866004325,-305.94557009854725,0
388.00974935547765,-1042.7290996488423,-302.2546074110634,0
379.6151617774244,-1021.1991711018302,-296.9470581299187,0
372.70636814270017,-1004.6346853588866,-288.114728348219,0
377.50743870218105,-985.7739515829439,-279.4253793104346,0
385.24265284862264,-998.8358687851926,-275.8024039673345,0
393.25744734167716,-1017.467692637103,-299.6044507099768,0
390.82502290760476,-1007.5356648083203,-310.381738483612,0
396.75500918521584,-995.9633319444124,-282.8731408983866,0
386.7986288762543,-990.7555133176588,-273.5286721050787,0
373.92573934774,-991.3465924714935,-283.90426228237203,0
355.9231575867109,-991.3578779842525,-269.46669110547015,0
342.07930804434807,-980.7939980860464,-261.5360719674014,0
328.4348930816833,-978.56568392376,-264.0534759226442,0
319.99645931970895,-980.5324089321249,-252.28128514971837,0
326.6767125069247,-974.0704892039195,-252.63516442577804,0
329.6803788761903,-993.1987055155669,-265.862499664682,0
338.0986907819487,-1014.877889967056,-263.905535926289,0
354.08462788027356,-1021.9448601512581,-258.8460389783898,0
359.5009516912237,-1037.6618092538338,-244.97757239013356,0
376.6400317302183,-1068.7104440771186,-264.0612168251564,0
387.0920962959957,-1084.1285309874188,-278.23392654710517,0
375.65495712976303,-1087.0601837405588,-257.5588896305479,0
382.5481685149546,-1087.589660827965,-257.94477727569404,0
385.47991281233953,-1058.9980320798122,-266.27077271532676,0
380.26884245180594,-1028.250735017886,-255.75567510889636,0
384.0233488175747,-1015.5786235007392,-255.94078696991323,0
366.82785321979316,-991.8087149141093,-257.77054258697905,0
355.3036659618403,-977.6248785398528,-237.58725101956986,0
358.6334017639829,-983.3422536889814,-246.04294383888694,0
361.6634613427709,-988.5945543313317,-258.36383545001036,0
364.3967385910705,-1002.7653697480885,-247.90913630389718,0
367.09321040741384,-1014.5115779819296,-255.4792091513549,0
378.08949958371966,-1021.6198131643725,-268.3110497333548,0
381.4053157731516,-1013.5458232404885,-262.65950794549974,0
374.77151157426306,-983.9981495453928,-246.817546713051,0
365.51018097968426,-960.739906856681,-239.98478902949097,0
355.5650481402722,-946.2033475481393,-241.0389665796516,0
341.5512823482696,-913.7573565184994,-232.48829262506013,0
336.3958910251383,-902.911792772261,-225.3483158132371,0
338.94053085284247,-905.8606062844465,-242.4557234111931,0
347.11961852663075,-908.7725438591932,-239.93291752802466,0
343.7553527610547,-931.0990573553363,-239.5000278882842,0
352.55152596422806,-957.7661771744974,-254.8478312465428,0
362.80566150492007,-981.2404722100639,-253.96393754632868,0
379.11065447169096,-1013.5876631193619,-249.17046311105838,0
398.2043321029925,-1045.8736828047058,-255.7895593176794,0
405.85971227393316,-1065.1663005730315,-264.545905546394,0
412.1849533417678,-1081.010318841011,-259.98120948809424,0
423.9217847320864,-1095.1185021411584,-267.8599243458895,0
427.1755369694072,-1097.2672079353902,-281.58417503187513,0
408.95876771756537,-1091.9704988887017,-279.1036482654251,0
399.79488847609764,-1081.2295510435092,-276.6374185596191,0
386.3665269715815,-1065.3407448841467,-273.59047707546324,0
365.5514501941409,-1053.748304606136,-278.2893803920231,0
352.91114002083333,-1042.9154298636538,-292.7654794699016,0
355.25939033094227,-1022.5593232119859,-280.2278954725076,0
353.9660627735735,-1014.740230410554,-281.77215613189776,0
340.19286958475925,-1012.8661924898745,-303.3389480966262,0
350.84940131475753,-1007.584035235793,-313.4174181998119,0
366.84839869677376,-1001.2645832856724,-305.9282279083941,0
365.56637659747526,-995.6542330274815,-312.46709843559006,0
371.80889295679157,-1002.2468557078907,-307.03132439041383,0
369.36354331503173,-1013.3669375056825,-301.70591248830164,0
373.4274636688938,-1020.635881761676,-310.8951093583614,0
375.19662345213555,-1018.2625001610015,-309.4892456689369,0
388.6524967831268,-1017.6441475822537,-314.1963645734472,0
387.82142353630013,-1024.4845434327187,-323.3622633198602,0
385.78781288122923,-1020.4410292338847,-330.5846496074733,0
394.70525956209394,-1025.315810611057,-328.1014656103918,0
391.7411166248384,-1023.251311652193,-323.54403706119405,0
400.6652105531638,-1020.079187718417,-330.4777612374867,0
401.752762197753,-1031.7489006924104,-321.29771402148924,0
385.5274923021964,-1038.5966516565527,-307.24948313692425,0
381.296607837294,-1034.1232234620265,-306.30024194454893,0
386.6301087866211,-1039.8065382117484,-300.0576806092978,0
395.2589011231046,-1039.4610256713072,-288.4081555637657,0
397.23563676753565,-1032.9722700236641,-280.92673179905313,0
394.43921124411594,-1031.2552030358804,-271.7699675469717,0
400.47908760610414,-1029.5733111984653,-253.65826314827632,0
402.0536854106174,-1025.6450874723566,-241.87394254088855,0
402.44529299002943,-1016.360003330246,-252.26918021405527,0
398.44380610099034,-996.7573027779368,-248.18608014284194,0
386.2196524704086,-993.0975887871901,-232.6467095256225,0
398.9667513042056,-1008.2520147704045,-230.6170747714366,0
403.02187571460485,-1007.010165472406,-249.53878533173082,0
389.60898993196525,-1004.2167265547967,-248.39495804243336,0
391.00744851699085,-997.2640922343553,-231.95596736653792,0
382.7113149738889,-986.437046895695,-225.7405574591448,0
369.089371480076,-978.5150399665315,-236.6551379153897,0
362.4483993769274,-957.4174398959779,-241.71077929723438,0
357.717195333384,-926.1495757313353,-237.46852745571104,0
349.0625697099216,-907.3666034601792,-235.21769497619403,0
343.47814019664406,-899.0171666003198,-245.03539926759396,0
356.79228950852666,-892.1523428961955,-251.241834923419,0
374.0473641811825,-924.4243851289455,-247.04461859529562,0
387.7896387140737,-965.3861723588782,-252.74050600423925,0
416.75707637225844,-1010.8287633759772,-269.1653465327911,0
449.1560175687858,-1075.504528697416,-293.5209738427555,0
469.90188715975137,-1135.9016982546311,-297.26494933055596,0
477.64377942332806,-1156.363423748263,-296.5645228170097,0
482.4381635727535,-1158.989102402613,-291.80439419657296,0
478.8775501019941,-1149.8450892280957,-297.72029742403294,0
458.5985992767339,-1116.084854707662,-294.62561742743503,0
438.83151786521955,-1072.9040432328297,-268.9248622414492,0
421.8066546328571,-1035.9127304192427,-261.55680472258143,0
397.6685975372644,-1014.7601885395783,-267.6055894811741,0
380.31127035496496,-993.3783572666525,-266.33557380271395,0
379.2899431562698,-980.0007578364771,-254.10776473460322,0
377.93679623519216,-974.2189053279226,-236.55244638952098,0
369.45180807016857,-964.1862263950516,-234.68811514036432,0
376.67942977887196,-975.5940802395257,-243.0018129308745,0
380.4307913276418,-996.1549950510697,-244.17190442328445,0
372.18411855215,-1007.9402644788174,-237.31975863497746,0
373.3900921595855,-1014.3115538766399,-236.82876512619393,0
376.96397195003516,-1011.4103143219588,-245.5384233939477,0
376.7038271668862,-1025.9915343386092,-236.28206544945795,0
378.67430655933515,-1036.4433882561514,-225.46980685903304,0
375.34037312006217,-1030.2171250053468,-237.66120590348424,0
368.36687654974537,-1033.236019619511,-238.62754329925838,0
377.7388146948789,-1045.0513897393816,-225.93186078146266,0
373.05362868318696,-1049.4584956282451,-240.7369344222298,0
362.6618121110888,-1047.0176171942012,-255.11219654623267,0
362.18444929706556,-1042.3338407792662,-239.91125351360336,0
367.24392537750555,-1036.3038281049223,-237.94038961294575,0
359.4689804985147,-1028.4151444364677,-247.37760152240804,0
347.92552775119583,-1006.1515101866639,-250.91236064521837,0
342.14464584341124,-985.4095015843866,-246.25446123679387,0
343.0199849281831,-980.7168344206125,-240.59081116805274,0
343.53785174709697,-957.9161142748233,-237.17952420903885,0
345.5903191070894,-952.3586592737047,-239.94415582031468,0
348.4594745283978,-947.718532963691,-248.38661044415522,0
336.41853183801715,-940.6579211046101,-249.1444096536624,0
339.4131715977054,-956.2292827530641,-240.8322427947703,0
341.15964630229985,-952.1423492590632,-236.7335494042252,0
332.5408289544929,-933.8859831320417,-251.6621027124392,0
346.4525448102453,-944.2368674000483,-251.31736904549706,0
351.93826341535544,-943.4561189580456,-244.38534384496072,0
347.17196745881415,-927.5150169022231,-251.90223281024004,0
349.02487677223945,-936.0985931419907,-253.7310556629605,0
346.6312955013815,-948.5718439823271,-256.2168277589169,0
348.09937794642485,-936.3598191671837,-250.1111860469252,0
337.64569984376715,-936.5480835892704,-227.78934499721373,0
332.95213741453995,-933.1236857304949,-222.23008531320966,0
348.624533425147,-923.3261870904613,-224.38449797458733,0
353.1730011594914,-934.1922105081145,-217.52209475204097,0
354.7169282880222,-948.0349123370462,-224.10456868549466,0
364.8285314838836,-954.1961674690581,-237.96537462697484,0
381.7079611776711,-989.2021574957532,-239.35416968970787,0
402.80984052156714,-1024.187931130437,-252.7140510338249,0
428.2829964192306,-1059.602537475202,-261.32128349969685,0
443.03870454577066,-1108.026192815389,-258.1160518396993,0
459.41020584116706,-1137.2566754522531,-260.79326116400995,0
467.5158820287011,-1149.2452175740787,-251.88698308658502,0
460.5771399475519,-1142.3054937257689,-246.04713625280948,0
442.8952875733259,-1112.367762441172,-241.62551472012987,0
413.2403813543446,-1077.631860497062,-230.57234991065164,0
387.60468103953247,-1027.9875858701791,-231.7884764927395,0
377.68780642262533,-988.1834994098521,-232.00559734500163,0
374.77033216808707,-970.179703761251,-240.85866965101084,0
364.48331048174725,-980.1074900255757,-256.2285856962327,0
387.8928171401387,-1019.5002012587449,-266.429391800802,0
418.62867207066574,-1062.5268832529946,-272.67746371720375,0
434.8770872266707,-1124.609326965868,-282.29085675032104,0
446.2875158318915,-1195.2332959368641,-297.69163375023527,0
462.36990704383766,-1222.9459332364186,-302.94423317076854,0
466.9545779569054,-1231.9297302216619,-291.25656026592776,0
456.7082584929469,-1222.4761369058178,-283.6020155441597,0
445.91157914334514,-1191.1799320950738,-284.2771309889853,0
438.4975360475187,-1144.9622138389607,-278.74410625849885,0
426.56977381926015,-1107.6097984327134,-263.99329857292685,0
421.91898147480526,-1078.7524133818765,-272.5212526170667,0
