T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
10720, 622, -765, -75, 3850, -11620, -10430
10740, 607, -779, -91, 7700, -11550, -6020
10760, 621, -813, -118, 4690, -1540, 1470
10780, 607, -801, -122, 210, 3640, 9450
10800, 624, -780, -86, 4620, -1680, 7840
10820, 596, -789, -90, 5390, -11760, 910
10840, 579, -791, -119, 7770, -14490, -1960
10860, 600, -775, -133, 7000, -14770, -5460
10880, 625, -772, -107, 2520, -6650, -5110
10900, 617, -768, -93, 6580, -4060, -2100
10920, 583, -776, -117, 4970, -1400, 3220
10940, 595, -788, -69, 4760, -2800, 2380
10960, 616, -784, -80, 8960, -8400, -4410
10980, 618, -773, -89, 7210, -9940, -10010
11000, 613, -767, -119, 7840, -7210, -5460
11020, 641, -763, -146, 8610, -7700, -3080
11040, 675, -775, -69, 6790, -5460, -4620
11060, 657, -771, -79, 8680, -3990, -5320
11080, 656, -780, -93, 7700, -7350, -8960
11100, 648, -779, -69, 5180, -10150, -9310
11120, 635, -772, -102, 7070, -11060, -10500
11140, 658, -778, -120, 6090, -11410, -9450
11160, 639, -775, -162, 7350, -11550, -2030
11180, 563, -816, -156, 5670, -1960, 70
11200, 534, -847, -85, 6790, 2380, -3360
11220, 390, -958, -132, 4620, -2590, -15400
11240, 149, -944, -274, -13790, -15330, -55370
11260, 512, -1327, -206, -51870, -10360, -32550
11280, -247, -1749, -412, -77560, -75110, 125090
11300, -160, -938, -186, 24290, -91770, 178710
11320, -96, -583, -86, 69580, -44940, 92960
11340, -64, -408, -45, 42910, -980, 20300
11360, -41, -328, -42, 5180, 16590, -12810
11380, -20, -269, -44, -1820, 14560, -20370
11400, -2, -229, -30, 13020, 5670, -13090
11420, 13, -213, -25, 36890, -3150, 12740
11440, 11, -216, -10, 50750, -10850, 57470
11460, -8, -267, -12, 47950, -17990, 114380
11480, -29, -331, -15, 26390, -25270, 164570
11500, -60, -458, -38, -9800, -33670, 197680
11520, -96, -736, -95, -61670, -44870, 216790
11540, -202, -1567, -360, -124880, -54320, 220220
11560, -683, -1998, -1354, -164500, -64680, 210560
11580, -499, -1998, -865, -17570, -72240, 138250
11600, 51, -1595, -384, 98210, 55370, -110250
11620, 40, -826, -187, -49210, 99400, -103040
11640, -5, -523, -43, 51870, 12740, 120610
11660, -55, -431, -45, 120120, -37940, 279930
11680, -92, -417, -39, 76860, -54460, 368200
11700, -125, -465, -68, 26320, -61530, 399000
11720, -168, -617, -141, -33250, -55650, 382690
11740, -181, -796, -203, -84000, -14910, 311010
11760, -241, -1112, -292, -95340, 54460, 183400
11780, -254, -1583, -391, -55930, 117320, 38990
11800, -116, -1998, -400, 37940, 163660, -111300
11820, -14, -1998, -792, 119420, 195020, -208530
