T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
7345, 13, 51, 986, 1120, -840, 2380
7365, 5, 44, 986, -2800, 910, 1750
7385, -12, 56, 1000, 630, 1050, 1120
7405, -9, 57, 1009, -910, 2800, 2240
7425, -8, 63, 1005, 490, 1400, 2240
7445, -13, 73, 973, 2590, 1330, 3360
7465, -9, 61, 1001, -1540, 700, 3920
7485, -22, 70, 1007, -10080, 210, 4340
7505, -73, 118, 1010, -10920, 630, 4620
7525, -120, 162, 964, -11620, 70, 6300
7545, -101, 126, 879, -11200, -5740, 11200
7565, -73, 194, 852, -9450, -4620, 17850
7585, -27, 158, 802, -9870, -6650, 24430
7605, -56, 132, 642, -13370, -10500, 29680
7625, -113, 211, 617, -6020, -70, 31080
7645, -143, 168, 667, 8820, 6790, 38150
7665, -140, 73, 778, 5460, -2940, 49140
7685, -48, 50, 891, -10850, -10710, 53550
7705, 68, -20, 766, -36120, -10780, 41930
7725, -4, -136, 723, -42630, -12600, 33180
7745, -11, -18, 835, -12180, 12040, 27090
7765, -2, -132, 828, 7140, 24920, 27860
7785, -139, -152, 918, -10010, 26740, 36890
7805, -89, -175, 990, -49630, 23940, 39830
7825, 49, -240, 1004, -94500, -14140, 42910
7845, 54, -392, 918, -122570, -25970, 47950
7865, -46, -292, 895, -118650, -1260, 55440
7885, -95, -134, 945, -75180, 38080, 43680
7905, -89, -199, 906, -48300, 41160, 36120
7925, -38, -270, 959, -76650, 22120, 51870
7945, -120, -531, 977, -156940, 52850, 69370
7965, -207, -662, 873, -247100, 112770, 77070
7985, -38, -470, 821, -227500, 117460, 63280
8005, -22, -311, 701, -129500, 95130, 36400
8025, -75, -548, 778, -126910, 118440, 16240
8045, -202, -772, 848, -220430, 177450, 61740
8065, -240, -833, 667, -326620, 192850, 136360
8085, -220, -331, 96, -563920, 210350, 327180
8105, -526, -572, -253, -691460, 178080, 544460
8125, -1022, -1300, -488, -754810, 120190, 581700
8145, -1970, -1998, -939, -518840, -73990, 354900
8165, -1012, -1207, -232, 151830, -390950, -392210
8185, -169, -1029, -69, 296310, -402570, -1017240
8205, -154, -894, -222, -298760, -177240, -711060
8225, -379, -683, -158, -279160, -452270, -17430
8245, -434, -563, -154, -153860, -710010, 364490
8265, -419, -546, -150, -140000, -748790, 447440
8285, -388, -568, -153, -228060, -599060, 334740
8305, -555, -864, -219, -418110, -342720, 161420
8325, -956, -1465, -420, -561260, -122640, -65240
8345, -1161, -1998, -650, -492170, -63630, -376250
8365, -593, -1996, -256, -97860, -294420, -619080
8385, -603, -1619, -470, -74900, -488600, -365190
8405, -777, -1144, -302, -239470, -620340, 250880
8425, -683, -996, -292, -109760, -781830, 524580
8445, -458, -776, -243, -196210, -577080, 299670
8465, -383, -876, -219, -348740, -280700, -14700
8485, -353, -1011, -236, -436030, -80290, -203700
8505, -663, -1423, -416, -329700, -168490, -149170
8525, -588, -1310, -270, -87010, -450450, 38570
8545, -724, -1430, -322, 180040, -690550, 124460
8565, -639, -1281, -321, 12250, -541100, 78050
8585, -481, -1068, -302, -148120, -338730, -76440
8605, -304, -780, -193, -33880, -388710, -138600
8625, -315, -738, -166, 83510, -507360, -54600
8645, -365, -722, -164, 57050, -531580, 75460
8665, -426, -720, -200, -51660, -461510, 140280
8685, -438, -678, -219, -147000, -362740, 102690
8705, -489, -746, -274, -152320, -307720, -14630
8725, -490, -876, -264, -74900, -279300, -196630
8745, -376, -1109, -197, 36750, -259350, -378700
8765, -310, -1457, -232, 63630, -197190, -467110
8785, -685, -1635, -361, -14910, -298970, 128800
8805, -620, -1168, -276, 100940, -381010, 314160
8825, -451, -845, -207, 44170, -188160, 119560
8845, -360, -697, -186, -115850, 105070, -139090
8865, -250, -561, -146, -137270, 250740, -291200
8885, -149, -454, -129, -45850, 251020, -310100
8905, -70, -381, -83, 74830, 189910, -231420
