T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
4630, 36, -95, 1005, -3570, 1960, 140
4650, -69, -178, 1061, 28910, 6510, 3570
4670, -158, -270, 1095, 30590, 3360, 1260
4690, -105, -216, 1035, 12390, -2450, -11410
4710, -17, -65, 1002, 280, -9870, -23660
4730, -51, -104, 935, 11550, -10570, -23380
4750, -189, -156, 1114, 26040, -6720, -15680
4770, -200, -138, 1086, 31150, 4550, -11900
4790, -134, -102, 1016, 15960, 6370, -21210
4810, -170, -101, 991, 6860, 9730, -39200
4830, 78, 205, 1343, -3430, 17570, -52920
4850, -146, -159, 911, -26040, 13300, -46550
4870, -213, -269, 912, -2310, -21980, -9730
4890, -271, -231, 966, 43050, 7910, -36120
4910, -263, -163, 924, 52220, 14140, -49630
4930, -190, -2, 929, 30450, 14980, -60200
4950, -228, 1, 902, 14280, 18830, -74830
4970, -223, 38, 973, 39410, 14490, -87570
4990, -239, -14, 927, 75950, 8540, -98140
5010, -233, 70, 852, 105140, -4200, -97230
5030, -202, 191, 796, 120260, -22470, -102620
5050, -124, 289, 655, 103810, -21140, -96180
5070, 0, 497, 769, 100380, -18060, -92960
5090, -169, 389, 767, 156240, -35140, -97440
5110, -146, 450, 639, 223160, -43050, -93030
5130, -159, 455, 353, 295470, -81970, -86870
5150, -20, 622, 543, 323260, -77000, -113400
5170, -59, 689, 294, 192290, -61110, -155540
5190, -40, 855, 493, 77490, -58100, -168420
5210, -54, 705, 424, 100450, -48720, -156380
5230, -119, 448, 188, 164360, -72030, -118230
5250, -193, 315, 357, 245210, -82320, -95550
5270, -111, 519, 405, 254520, -53200, -103670
5290, 52, 861, 113, 175560, -83720, -128240
5310, 107, 1051, 243, 99050, -101080, -141470
5330, 48, 981, 190, 114870, -81830, -129430
5350, -26, 962, 332, 191590, -61460, -103600
5370, -167, 857, 425, 251860, -44030, -91350
5390, -93, 1187, 252, 274470, -60830, -85400
5410, 119, 1749, -82, 230860, -89110, -103180
5430, 179, 1588, -234, 156310, -88690, -93590
5450, -12, 1167, -234, 157220, -56910, -55790
5470, -155, 1020, -108, 244090, -19320, -50120
5490, -359, 1291, 101, 272860, 33040, -70420
5510, -232, 1700, -35, 236460, 65100, -97930
5530, -131, 1482, -503, 165900, 7840, -84000
5550, -213, 961, -598, 80990, -41300, -18270
5570, -288, 582, -354, 121170, -10500, 26110
5590, -395, 1220, -70, 160090, 19180, -9730
5610, -578, 1296, -182, 123620, 30660, -64190
5630, -454, 1267, -453, 94500, 14490, -60480
5650, -277, 1032, -695, 125370, -41580, -17150
5670, -288, 542, -566, 118720, -56350, 13510
5690, -453, 672, -330, 125930, -28000, 5320
5710, -548, 1018, -131, 167440, 5180, -5670
5730, -490, 727, -624, 162610, 14140, -22960
5750, -338, 820, -734, 182420, -58310, 11690
5770, -288, 424, -744, 249690, -56630, 7070
5790, -187, 364, -661, 248290, -34510, 32480
5810, -443, 601, -507, 175770, -23170, 31640
5830, -574, 560, -608, 116130, -22960, 30590
5850, -377, 525, -867, 125300, -41720, 59220
5870, -310, 40, -915, 167370, -52430, 88270
5890, -200, 61, -1004, 196490, -19950, 75810
5910, -287, 335, -1065, 203700, -1260, 25130
5930, -473, 377, -824, 213500, 27580, 1750
5950, -484, 77, -824, 223020, 48790, -1610
5970, -418, 307, -766, 208880, 50400, -910
5990, -266, 81, -1140, 204750, 49000, 12950
6010, -456, 113, -413, 207620, 15750, 69370
6030, -334, -268, -904, 231000, -51450, 103040
6050, -520, -453, -1278, 265650, -243950, 138040
6070, -377, -209, -923, 250390, -280420, 57890
6090, -586, 113, -612, 224770, -73500, -29680
6110, -406, -64, -794, 200200, 44730, -48230
6130, -382, -212, -965, 182560, -40040, 56770
6150, -565, -405, -693, 156100, -82320, 142800
6170, -402, -219, -512, 142590, -16730, 123900
6190, -350, -318, -393, 105070, 103740, 76930
6210, -1702, 661, 169, 146300, 133000, -69650
6230, -659, -603, -642, 373240, -23660, -258300
6250, -267, 46, -125, 345520, -750050, -176750
6270, -238, 50, -148, 228970, -1025780, -236740
6290, -186, 44, -128, -35000, -987630, -329210
6310, -73, 23, -183, -266280, -907620, -372260
6330, -111, -128, -243, -435190, -843220, -352730
6350, -343, -311, -250, -507710, -841190, -222670
6370, -678, -1463, -1090, -495040, -893620, -72450
6390, -376, -1870, -871, -417060, -920570, -120470
6410, 939, -1998, 10, -4060, -818020, -549430
6430, 348, -1998, -1474, 257880, -751450, -924140
6450, -427, -1350, -579, -61810, -1307670, 91420
6470, -388, -636, -363, 141890, -1209600, -176190
6490, -280, -170, -373, -43680, -1135330, -435820
6510, -188, -59, -412, -209790, -1085910, -516740
6530, -227, -98, -364, -211330, -1050070, -466130
6550, -264, -86, -403, -192850, -1046640, -403340
6570, -272, -63, -366, -177310, -1051260, -391790
6590, -254, -13, -314, -126140, -1022490, -405090
6610, -240, -5, -283, -108220, -986230, -432180
6630, -268, -180, -334, -143430, -948080, -457240
6650, -341, -364, -411, -182700, -891870, -509460
6670, -369, -372, -294, -182070, -786450, -645750
6690, -100, -624, -407, -204890, -636090, -872480
6710, 550, -1998, -1657, -207550, -536130, -996940
6730, 1421, -1998, -610, 320950, -511980, -817670
6750, 1181, -1998, -952, 885920, -631120, -615440
