T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
30532, -409, -728, 600, 9940, -14350, 26670
30552, -375, -717, 587, -350, -37520, 22540
30572, -301, -769, 458, -18270, -46270, 15470
30592, -252, -747, 411, -31990, -61040, 5460
30612, -227, -936, 543, -52570, -87150, -2310
30632, -378, -710, 744, -77070, -123340, -8050
30652, -407, -669, 654, -61180, -123410, 1680
30672, -301, -759, 329, -40740, -77070, 8680
30692, -238, -878, 225, -56910, -34510, -5180
30712, -222, -939, 348, -63770, -65660, -7350
30732, -228, -881, 467, -50260, -86100, -5810
30752, -195, -836, 540, -27580, -90510, -2240
30772, -154, -804, 542, -5390, -87640, -1330
30792, 19, -910, 343, -1820, -91350, 4620
30812, 55, -766, 378, -4200, -115850, 19040
30832, 13, -879, 605, 5530, -140700, 48020
30852, -60, -772, 553, 3780, -146300, 68460
30872, -135, -666, 522, -6650, -162680, 79380
30892, 61, -337, -50, -39480, -238630, 74690
30912, 127, -989, 313, -118440, -202930, 59150
30932, 152, -1144, 398, -54810, -42490, 86940
30952, 70, -831, 739, 189000, 69790, 110180
30972, -570, -271, 1091, 428190, 220570, 120820
30992, -110, -400, 471, 277900, 20020, 50330
31012, -267, -616, 731, 18550, -111300, 24500
31032, -332, -978, 815, -79940, -840, 2590
31052, -334, -692, 828, -11900, 25480, -3850
31072, -275, -600, 846, 132370, -43260, 11130
31092, 320, -367, 781, 210490, -179900, 9660
31112, -85, -212, 1075, 181790, -216370, -3290
31132, -33, -699, 896, 44100, -34930, 8890
31152, -62, -658, 1018, -67200, -11130, 21280
31172, 2, -437, 938, -29190, -2590, 12040
31192, -83, -433, 698, 23100, 5740, -3430
31212, -143, -725, 678, -14420, 31990, -19600
31232, -78, -633, 820, -55720, 48230, -13860
31252, -22, -549, 898, -32060, 12040, -770
31272, -47, -548, 843, -8960, -17290, -6230
31292, -120, -542, 935, -26180, -6930, -9520
31312, -65, -683, 766, -30380, 13720, -14140
31332, -65, -841, 775, -30450, 13370, -24010
31352, 96, -595, 507, -25550, 20160, -17640
31372, -305, -629, 833, 7210, 36400, -12670
31392, -281, -613, 893, -91140, 122990, 12460
31412, -189, -685, 917, -80990, 27510, -10290
31432, -161, -745, 783, -52990, 19250, -12600
31452, -253, -790, 813, -34790, -12740, -7840
31472, 89, -764, 221, 7980, -122640, 3360
31492, 13, -798, 1313, 47740, -129780, 4410
31512, 87, -604, 525, 99120, 27580, -14630
31532, -89, -700, 646, -140840, 120820, 1470
31552, -67, -714, 808, -102480, 46130, 4270
31572, -162, -863, 910, -70140, 4550, -1050
31592, -264, -861, 873, -67900, 2310, 1400
31612, 259, -252, 438, -12880, -34370, -1330
31632, 5, -954, 293, -13440, -134680, 4620
31652, -33, -931, 334, -129360, 43960, 72170
31672, -727, -1165, 932, 13510, 28420, 158900
31692, -535, -503, 747, 155400, 80920, 177870
31712, -40, -886, 425, 91490, 5810, 17430
31732, -238, -785, 570, 28630, -143220, 19250
31752, -322, -653, 772, 65660, -90510, 69160
31772, -32, -560, 711, 115710, -120400, 92400
31792, 21, -342, 988, 114730, -148540, 93660
31812, -22, -402, 803, 65030, -54530, 63420
31832, -276, -874, 794, 32900, 61320, 93380
31852, -350, -604, 496, 20930, 169540, 78680
31872, -513, -596, 743, 18900, 137060, 105490
31892, -745, -380, 794, 71610, 217840, 44870
31912, -564, -540, 802, 68670, 144970, 26250
31932, -219, -510, 754, 30590, -15330, 10010
31952, -546, -540, 633, 17290, -24640, 14770
31972, -463, -436, 807, -8820, 71470, 31290
31992, -607, -474, 767, -29540, 62720, 32270
32012, -652, -823, 632, -31920, 9380, 29610
32032, -554, -481, 633, -10570, -59080, 27510
32052, -329, -437, 834, 50750, -157990, 36400
32072, -51, -397, 948, 53900, -218610, 63630
32092, -80, -397, 985, 8260, -233450, 42140
32112, -438, -591, 771, -21280, 14140, 7630
32132, -364, -561, 771, -3710, 43260, -10570
32152, -291, -497, 818, 17920, 910, -2310
32172, -338, -382, 920, 26180, 210, 1260
32192, -419, -430, 861, 3920, -6300, 1330
32212, -312, -488, 844, -7910, -64960, -5040
32232, -275, -491, 857, -3990, -32060, -4970
32252, -340, -432, 975, 27720, -41440, 840
32272, -239, -388, 942, 32690, -74760, 5530
32292, -227, -399, 919, 29400, -76860, -3360
32312, -214, -438, 875, 26880, -27580, -10430
32332, -159, -441, 876, 33740, -17570, -10080
32352, -271, -439, 923, 20510, 910, -7280
32372, -243, -374, 915, 5950, 18760, -3010
32392, -1026, -1314, -1091, 8120, 280, -3010
32412, 74, -195, 1135, 6370, -76230, 6720
32432, -58, -337, 1042, 86100, -90580, 7980
32452, -134, -460, 1051, -27090, 210, -7770
32472, -306, -432, 1053, -2380, 107450, -4830
32492, -285, -496, 943, -4130, 101150, -3850
32512, -327, -434, 935, -24570, 51800, -6300
32532, -310, -365, 895, -9660, 15820, 2170
32552, -234, -388, 830, 14840, -9170, 3990
32572, -139, -548, 918, 11200, -16520, 2800
