T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
6371, 589, -799, 78, -5460, -10570, -6370
6391, 596, -790, 81, -4970, -13230, -4410
6411, 604, -815, 81, -6020, -14700, -1190
6431, 620, -792, 157, -1260, -7770, 490
6451, 609, -789, 153, 1540, -5390, 1260
6471, 587, -816, 87, 280, -2170, -770
6491, 569, -813, 115, -1540, 5390, 1120
6511, 602, -791, 142, 140, 4060, 560
6531, 607, -801, 121, 1610, 2240, -490
6551, 613, -796, 96, -770, -2730, -1190
6571, 597, -795, 77, 420, -4270, -1050
6591, 582, -795, 93, 2240, -3150, 1050
6611, 621, -772, 163, 3710, 910, 3010
6631, 619, -800, 82, 1260, -4970, 2170
6651, 606, -801, 66, -1680, -11900, 3150
6671, 606, -788, 86, 1400, -9310, 840
6691, 619, -793, 115, 3010, -5600, -2170
6711, 644, -787, 130, 2520, -2310, -1960
6731, 672, -790, 83, 1120, -6300, -2170
6751, 670, -797, 77, -1260, -11550, -5460
6771, 639, -792, 88, -210, -15330, -9870
6791, 590, -817, 60, -2940, -11130, -4620
6811, 637, -813, 71, -3080, -7910, 1540
6831, 683, -813, 77, -770, -9730, -140
6851, 636, -828, 16, -490, -20650, -6440
6871, 682, -785, -2, -2240, -29470, -23800
6891, 730, -794, 14, -2450, -13090, -42630
6911, 817, -774, -2, -3430, 2170, -42980
6931, 889, -794, -39, -4690, -140, -34090
6951, 898, -783, -18, -3500, -9660, -24150
6971, 778, -752, 21, -4270, -13300, -19600
6991, 715, -792, 37, -10150, -17290, -14770
7011, 632, -829, 88, -12110, -18410, -2520
7031, 610, -805, 144, -9310, -20300, 1190
7051, 647, -770, 114, -6300, -18130, -3150
7071, 598, -785, 115, -5670, -22890, -11270
7091, 566, -756, 125, -5250, -24360, -15330
7111, 610, -725, 128, -3150, -24990, -17990
7131, 603, -702, 59, -1540, -25900, -13300
7151, 600, -684, 0, -4200, -20720, -5670
7171, 557, -696, 10, -7700, -13790, -2940
7191, 454, -728, -100, -8470, -7910, -3290
7211, 263, -865, -105, -3150, -10290, -12600
7231, -65, -976, -15, -10640, -4410, -23520
7251, -735, -1567, 166, -46620, 46410, 29820
7271, -477, -984, -182, -119070, 121870, 157990
7291, -319, -536, -117, -230090, 261240, 190750
7311, -212, -349, -61, -149240, 172690, 153510
7331, -147, -252, -18, -33950, 51730, 114170
7351, -117, -214, -1, 46200, -49630, 93450
7371, -103, -208, -7, 97230, -142310, 94990
7391, -95, -222, -22, 130060, -222460, 109970
7411, -90, -274, -36, 140700, -266770, 117390
7431, -89, -344, -7, 121310, -263200, 125790
7451, -159, -745, 30, 8330, -161210, 133840
7471, -1998, -1998, -1965, -311010, 49350, 207060
7491, -1204, -1993, -492, -536410, -11760, 579110
7511, -297, -757, -118, 145600, -468930, 409220
7531, -171, -534, -39, 171640, -314720, -7350
7551, -197, -602, -94, 6020, -230720, 27230
7571, -397, -1034, -203, -116620, -203210, 131880
7591, -1091, -1998, -518, -128800, -230720, 255500
7611, -1886, -1998, -881, -100100, -274190, 367710
7631, -664, -1567, -253, 164220, -455350, 343070
7651, -411, -1082, -274, 102970, -278600, 6580
7671, -402, -963, -259, -113610, -101710, -35350
7691, -440, -1022, -261, 66570, -296310, 111440
7711, -471, -1114, -202, 242550, -452200, 188370
7731, -676, -1454, -303, 225610, -393330, 154980
7751, -619, -1371, -289, 46690, -213780, 80150
7771, -505, -1197, -254, 3080, -145880, -14350
7791, -446, -1056, -245, 31290, -130550, -80640
7811, -347, -844, -188, 75670, -152600, -53410
7831, -226, -595, -97, 184520, -235550, 7910
7851, -213, -514, -90, 223510, -269010, 54040
7871, -227, -484, -92, 103320, -164990, 64960
7891, -269, -526, -111, -29750, -30100, 46760
7911, -281, -541, -119, -52500, 52570, -37800
7931, -239, -507, -105, 36470, 5950, -83090
7951, -199, -488, -90, 104020, -32690, -100590
7971, -176, -487, -64, 113050, -30520, -86240
7991, -204, -555, -72, 50470, 17850, -48720
8011, -282, -693, -115, -50960, 90580, -11690
8031, -343, -818, -154, -124040, 150080, 5250
8051, -401, -927, -185, -142310, 180670, 4970
8071, -442, -994, -200, -95340, 170730, -3290
8091, -443, -1002, -179, -10780, 137200, -23520
8111, -405, -985, -141, 46760, 126420, -61040
8131, -444, -1096, -176, -14210, 197050, -94430
8151, -549, -1299, -252, -144830, 311780, -103040
8171, -632, -1462, -297, -175840, 346500, -88690
8191, -650, -1514, -261, -60480, 270340, -65660
8211, -719, -1615, -269, 35700, 210000, -57820
8231, -791, -1742, -317, -8330, 257040, -89180
8251, -755, -1731, -322, -80290, 340900, -163240
8271, -657, -1578, -280, -67480, 356930, -207130
8291, -669, -1522, -264, 8820, 290990, -156240
8311, -759, -1630, -296, 51030, 226730, -78750
8331, -850, -1806, -350, 9520, 255290, -101780
8351, -761, -1746, -324, -32480, 321860, -208810
8371, -615, -1484, -246, 28210, 297150, -260750
8391, -604, -1358, -235, 87220, 216720, -187460
8411, -624, -1316, -246, 52710, 192710, -105980
8431, -630, -1307, -251, 5740, 211260, -113470
8451, -584, -1280, -226, 16870, 211260, -179480
8471, -502, -1196, -185, 67130, 174440, -227360
8491, -466, -1094, -171, 91840, 125790, -209090
8511, -462, -1010, -175, 54810, 97160, -137760
8531, -447, -923, -170, -490, 88620, -82250
8551, -388, -798, -139, -14560, 74900, -82460
8571, -340, -715, -116, 9310, 46620, -116410
8591, -296, -652, -101, 31990, 13790, -140280
