T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
154149, 148, -343, 949, -122640, 154980, 114100
154169, 0, -286, 1189, -191450, 161490, 85190
154189, -112, -207, 936, -194670, 55300, 30380
154209, 10, -15, 494, -97440, -42490, 25830
154229, 19, -87, 469, -40460, -14630, 46060
154249, 25, -448, 648, -94570, 81550, 20860
154269, -14, -1100, 713, -248290, 120750, -31990
154289, -21, -721, 1301, -188790, 36120, -114450
154309, 78, -471, 1129, 51800, -105280, -57120
154329, 92, -589, 807, -30520, -122290, -51870
154349, 178, -574, 482, -66990, -80220, -89040
154369, 124, -475, 625, -44030, -49490, -66780
154389, 276, -652, 1018, -20160, 1120, -69720
154409, 478, -905, 1038, -3920, 10570, -96530
154429, 353, -671, 893, -10920, -490, -96250
154449, 196, -622, 884, -36890, -25970, -75740
154469, 147, -373, 724, -31710, -18970, -50680
154489, 135, -402, 869, -3920, 23030, -77840
154509, 396, -533, 906, 14490, 81760, -63840
154529, 460, -603, 684, -75390, 66150, -62370
154549, 434, -419, 452, -287560, 31150, -74900
154569, 234, -607, 515, -383810, -8050, 1470
154589, 343, -818, 542, -229110, -24430, 172760
154609, 503, -525, 454, -60760, -6720, 198800
154629, 89, 21, -153, 26460, -6580, 104790
154649, 82, 22, -83, 68530, 34790, 35840
154669, 149, 101, 121, 111510, 165830, 48440
154689, -118, -299, -271, 117810, 300160, 138390
154709, -290, -288, -81, -137690, 514220, 241710
154729, -1560, -1094, 77, -333690, 718830, 233800
154749, -862, 192, -367, 296100, -41860, -668360
154769, -421, -91, 661, 542430, -609210, -1308160
154789, 1553, 373, 661, -343840, -55090, -1377670
154809, 1996, -1998, -1997, -1699250, 567070, -435330
154829, -1387, 131, 1352, -1368920, 818720, 553000
154849, -433, -1993, -1997, 267190, 2083760, 1184330
154869, -591, -769, -1547, -1252860, 1541890, 1127070
154889, -678, -442, -1296, -883260, 1842820, 515340
154909, -681, 70, -732, -432740, 2008930, 323540
154929, -547, 204, -240, -263690, 1902460, 403760
154949, -446, 181, 36, -396060, 1557500, 521990
154969, -294, 247, 88, -666540, 1077650, 581280
154989, -225, 241, -174, -957740, 552440, 609560
155009, -288, 3, -366, -1123290, 127330, 697130
155029, -219, -367, -553, -1073660, -135170, 808780
155049, -52, -1471, -1504, -777070, -265720, 888720
155069, -403, -1088, -1701, -58380, -158690, 866950
155089, -654, -762, 141, 1114820, 435890, 344330
155109, 455, -1704, 562, 1364860, 813890, -340550
155129, 948, -1332, -129, 436380, 343000, -601440
155149, 759, -506, -701, -481530, -283360, -443870
155169, 384, -989, -881, -717850, -600810, 6440
155189, -77, -942, -133, -261170, -561540, 512680
155209, -135, -864, 151, 315140, -254730, 564060
155229, -124, -566, 5, 291970, -167160, 253190
155249, 261, -208, -127, -23590, -208460, -118580
155269, 201, -238, -246, -208320, -204330, -357490
155289, 178, -325, -349, -153300, -207550, -263690
155309, 23, -274, -152, 55720, -193410, -73010
155329, 28, -356, -234, 348740, -140770, 40600
155349, -73, -343, -168, 545650, -117460, 28280
155369, -88, -134, 51, 655200, -75110, -63140
155389, -45, 14, 223, 599200, -72100, -214340
155409, -10, 0, 98, 393190, -163520, -317800
155429, 23, -100, -55, 142030, -317660, -317380
155449, 50, -235, -115, -109690, -521430, -144760
155469, 64, -285, -134, -65310, -538510, -60060
155489, 94, -377, -128, 21980, -543200, 2240
155509, 142, -1002, -503, 114100, -571830, 64610
155529, -115, -1787, -32, 230720, -538370, 2660
155549, 1546, -1998, -1777, 96670, -460180, -426090
155569, 1837, -1998, -309, -50470, -296590, -1049020
155589, 291, -1201, -230, 275240, -493010, -187460
155609, -88, -758, -199, 353080, -741860, 264180
155629, 11, -566, -242, 268170, -810250, 144270
155649, 10, -549, -295, 244720, -769650, -11970
155669, 24, -554, -122, 267610, -725480, -101920
155689, 170, -941, -171, 230860, -706440, -192710
155709, 859, -1998, -1329, 42560, -819770, -231070
155729, 1211, -1998, -518, 64400, -803530, -324870
155749, 802, -1207, -532, 425880, -492590, -583800
155769, 286, -996, -582, 209160, -755930, -413140
155789, 17, -718, -306, 320390, -858760, -57400
155809, -82, -549, -212, 470680, -769090, -91630
155829, 6, -515, -335, 377930, -748650, -266490
155849, 225, -735, -386, 236880, -726530, -431620
155869, 1007, -1813, -584, 197820, -672420, -497980
155889, 1996, -1998, -1115, 232750, -675430, -389760
155909, 831, -1998, -1316, 270900, -850640, -42350
155929, 426, -1130, -603, 32480, -1031100, -116900
155949, 274, -759, -349, 53760, -886760, -397390
155969, 147, -689, -237, 210980, -770490, -352520
155989, 211, -638, -259, 251090, -751240, -258230
156009, 218, -624, -231, 231350, -743330, -222250
156029, 147, -603, -190, 266560, -727440, -154280
156049, 106, -592, -262, 282380, -742980, -72100
156069, 59, -520, -217, 255500, -780360, -21560
156089, 49, -466, -206, 243250, -774480, -17080
156109, 49, -437, -236, 223370, -744520, -55300
156129, 68, -523, -277, 194040, -710850, -105560
156149, 143, -608, -340, 190260, -668710, -144830
156169, 251, -661, -300, 257530, -531440, -251160
156189, 289, -552, -224, 320530, -481530, -237230
156209, 222, -453, -191, 352870, -493710, -131180
156229, 135, -354, -151, 366940, -520870, -2450
156249, 75, -255, -118, 369320, -524160, 77700
156269, 40, -224, -121, 364420, -508410, 115500
156289, 21, -186, -96, 373380, -472780, 117880
156309, 6, -173, -78, 379120, -427980, 92680
156329, -2, -187, -83, 363860, -379890, 46550
156349, -6, -178, -33, 328860, -321790, -20370
156369, -15, -109, 30, 261100, -271390, -94080
156389, -13, -65, 18, 166740, -237440, -161420
