T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
5611, 0, -18, 1057, 1050, 9660, -3570
5631, -32, 8, 1034, 4760, 13230, -6650
5651, -61, 5, 1011, 3150, -5670, -4480
5671, 39, -26, 1068, -770, -13440, 420
5691, 45, -41, 1112, 1540, -24010, -12250
5711, -164, 128, 1123, 17500, -16590, -26670
5731, 58, 9, 1029, 3430, 27930, 6860
5751, 90, 57, 977, -3570, 8540, 1400
5771, 101, 124, 903, -3780, -840, -2660
5791, 138, 52, 1024, -3220, 10360, 14840
5811, -158, 13, 1076, 12110, 20230, 15190
5831, -79, 48, 1033, 42910, 31920, 23100
5851, 12, 58, 994, 53060, 16590, 23520
5871, -63, 28, 959, -1960, -4270, 28910
5891, 509, 574, 1182, -29750, 11130, 40320
5911, 264, 314, 1274, -25270, 6720, 49420
5931, -138, 122, 948, -48020, -8330, 81620
5951, -208, 0, 785, -54880, 15890, 10500
5971, -196, 97, 951, -21980, 1190, -2940
5991, -31, 49, 1188, 1050, 14140, -36470
6011, 4, 7, 1169, 6860, 43680, -49980
6031, -76, -41, 987, -12810, 23380, -39900
6051, -323, -52, 902, -28210, -30800, -9170
6071, -283, 8, 1074, -18970, -31710, 1750
6091, -122, -30, 1188, 2730, -10010, -25830
6111, 14, -73, 1324, 6650, 22470, -42140
6131, -50, -171, 1118, -5880, 36050, -42210
6151, -251, -169, 963, -26810, 8400, -22120
6171, -352, -137, 880, -24710, -13230, -11060
6191, -256, -72, 922, -3080, -18970, -25130
6211, 40, 6, 1364, 22680, 10850, -45220
6231, -39, 28, 1491, 45990, 49630, -52220
6251, -373, -299, 650, 25830, 52150, -30450
6271, -611, -380, 248, -41300, -9310, 31570
6291, -304, -218, 756, -47250, -55580, 50680
6311, 68, -216, 1253, 20510, -17570, -6090
6331, 130, -342, 1064, 49700, 92680, -57120
6351, 212, -407, 1075, 28280, 81550, -29330
6371, -152, -237, 874, 19110, 28000, 3360
6391, -337, -4, 1038, 15750, -54110, 45640
6411, -205, -101, 1017, 16310, -42630, 37730
6431, 167, -361, 1172, 23730, 36890, 2240
6451, 72, -350, 1057, 11550, 52570, 5810
6471, -392, -16, 768, -16940, -21770, 40250
6491, -529, 38, 632, -20370, -59640, 60340
6511, -96, -23, 1260, 10290, -20650, 41720
6531, 162, -225, 1256, 24640, 42000, 3080
6551, 47, -362, 919, -6370, 60340, -9240
6571, -146, -324, 729, -27020, 36260, -3780
6591, -19, -286, 962, -10080, 1190, -11130
6611, 42, -138, 1124, 20160, -11480, -29540
6631, 51, -168, 1131, 29820, -18060, -22540
6651, 134, -278, 1123, 24220, 4970, -10290
6671, 150, -300, 1022, 5180, 70, -5460
6691, 67, -194, 1081, -5950, -28490, 6160
6711, -33, -165, 898, -6930, -50470, 11200
6731, 68, -191, 799, -2940, -50540, 2170
6751, 282, -260, 1056, 11060, -35210, -10990
6771, 184, -118, 1246, 25760, -6160, -1470
6791, 138, -149, 1131, 16730, -630, 22470
6811, 53, -178, 803, -7980, -28000, 30380
6831, 43, -125, 696, -20790, -55090, 27440
6851, 139, -37, 1110, 5950, -51450, 18900
6871, 149, -30, 1229, 42910, 3780, 13230
6891, 109, -54, 1131, 32060, 26250, 28140
6911, 69, -64, 1013, 3640, 15190, 37520
6931, -34, 7, 932, -6860, -14560, 34580
6951, 22, -17, 1032, 770, -23590, 28420
6971, 54, -12, 976, 10080, -3640, 23590
6991, 150, 14, 1234, 6650, 5810, 22190
7011, 163, -92, 1153, 3850, 16380, 25340
7031, 119, -100, 1005, -14700, 4760, 45080
7051, 108, -57, 856, -37240, -50260, 34160
7071, 166, -43, 1044, -8120, -13860, 29540
7091, 208, -63, 1123, 11270, 34090, 26110
7111, 176, 5, 1262, 6510, 54180, 27510
7131, 94, 74, 1126, -17640, 17290, 37800
7151, 54, 26, 889, -43190, -38220, 47810
7171, 150, -51, 903, -37380, -30100, 41230
7191, 211, -96, 891, -20510, -9940, 38360
7211, 155, -58, 942, -7770, 5740, 47320
7231, 123, 33, 1069, 6020, 22190, 55580
7251, 98, 91, 1090, 10080, 11480, 54600
7271, 79, 79, 1067, 1400, -17430, 46690
7291, 139, -16, 910, -7910, -39200, 31150
7311, 194, -112, 869, -10710, -35910, 25060
7331, 196, -98, 830, -2240, -15610, 34090
7351, 115, 47, 1014, 14910, 630, 49070
7371, 56, 125, 1144, 31990, 14910, 55300
7391, 23, 86, 992, 24080, -3010, 49910
7411, 183, -6, 872, 3430, -29540, 47810
7431, 220, 42, 958, 4690, -28910, 46970
7451, 199, 53, 991, 19250, -14140, 50120
7471, 70, 152, 1015, 24220, 9310, 56210
7491, 63, 155, 928, 15050, 14700, 60130
7511, 106, 188, 1010, 5530, -15540, 62580
7531, 110, 211, 1039, 13370, -22820, 50610
7551, 185, 154, 1092, 17640, -10500, 46410
7571, 85, 163, 935, 7560, 2240, 53970
7591, 18, 226, 1004, -7350, -6790, 66220
7611, 57, 206, 1026, -5460, -13720, 64610
7631, 124, 186, 1070, -2380, -13020, 52710
7651, 180, 155, 989, -10290, -16380, 50890
7671, 63, 192, 1031, -28560, -43540, 63140
7691, 39, 130, 969, -39060, -62510, 75250
7711, 128, 32, 903, -37170, -57680, 70350
7731, 243, 5, 1009, -28560, -31220, 49420
7751, 201, 5, 1038, -14000, -20580, 41160
7771, 24, 93, 1035, -17360, -37520, 49420
7791, 26, 94, 977, -16870, -29540, 39340
7811, 128, -1, 969, -13020, -12180, 18900
7831, 139, -37, 990, -2800, 7350, 4970
7851, 101, -10, 965, 6860, 25830, 2520
7871, 78, 72, 1084, 16310, 28910, 3640
7891, -58, 68, 1071, 22890, 29820, -4970
7911, -50, 38, 1025, 26530, 35280, -24080
7931, 65, 45, 1167, 31150, 63840, -45080
7951, 160, 20, 1055, 24570, 73360, -50190
7971, -15, -11, 988, 7980, 40670, -29330
7991, -257, 66, 1020, 7910, 8470, -20580
8011, -229, 84, 1053, 14980, 10290, -35000
8031, 21, 13, 1089, 16450, 39690, -57540
8051, 88, -10, 1022, 5740, 64120, -64470
8071, -20, -53, 920, -15680, 17920, -38990
8091, -126, -36, 990, -22260, -48720, -14000
8111, -111, 3, 1122, -15260, -60550, -13860
8131, -9, -26, 1049, -14630, -44100, -28070
8151, 185, -158, 998, -21000, -23590, -45990
8171, 231, -236, 1041, -21000, 7700, -56840
8191, 60, -179, 998, -17780, 11760, -51800
8211, -87, -89, 956, -15470, -14560, -33040
8231, -120, -47, 936, -7280, -32760, -30100
8251, -63, -96, 969, 4550, -10500, -55440
8271, 78, -131, 1092, 15820, 26320, -79450
8291, 79, -138, 1237, 24430, 58520, -91000
8311, -37, -95, 1105, 16730, 64680, -80500
8331, -156, -62, 1002, -2590, 16380, -54390
8351, -150, -59, 927, -11620, -22120, -47180
8371, -99, -49, 992, -8890, -11130, -56140
8391, -4, -95, 1118, 560, 20720, -64820
8411, -1, -100, 1145, 6580, 41020, -62720
8431, -96, -85, 1101, 2800, 53690, -56000
8451, -171, -144, 883, -7490, 29050, -44660
8471, -192, -114, 803, -8820, -27720, -16030
8491, -25, -82, 1059, 9240, 8750, -17500
8511, -106, -6, 1254, 17990, 35350, -22890
8531, -240, -20, 1080, 1120, 26110, -20650
8551, -267, -115, 947, -13440, 14980, -33950
8571, -199, -189, 884, -12460, 14700, -55020
8591, -79, -268, 808, 350, 14140, -63420
8611, -22, -232, 1081, 14420, 30380, -48790
8631, -104, -168, 1277, 22120, 23030, -24710
8651, -221, -160, 1046, 11340, 6370, -13580
8671, -229, -180, 753, 1330, -11550, -21070
8691, 71, -327, 878, 11970, 4270, -21070
8711, 12, -200, 928, 31360, 57120, -7140
8731, -362, 80, 1255, 25480, 34650, 35700
8751, -709, 104, 1135, -4340, -43330, 84140
8771, -589, 8, 783, -29890, -63770, 64330
8791, -136, -240, 723, -29610, 7210, -4760
8811, 98, -376, 790, -13510, 65730, -52710
8831, -13, -310, 1027, -3780, 53830, -40950
8851, -182, -165, 1168, 700, -19880, 22050
8871, -336, 41, 1241, 17080, -92400, 33740
8891, -47, -159, 1076, 8190, -80640, -4690
8911, 358, -492, 900, -20230, -33950, -49000
8931, 183, -466, 902, -36260, 15680, -53130
8951, -181, -277, 856, -26250, 2240, -25620
8971, -210, -243, 775, -10220, -50400, 17430
8991, 118, -200, 1219, 9240, -50540, 11550
9011, 448, -444, 1206, 21070, -3570, -23170
9031, 218, -476, 766, 210, 10640, -19040
9051, -152, -249, 634, -26530, -8890, 18830
9071, -87, -161, 1077, -1750, -34090, 32900
9091, 334, -336, 1342, 45640, -8050, -8400
9111, 320, -366, 1051, 53410, 19880, -46620
9131, 144, -353, 776, 20090, 25830, -38710
9151, 36, -247, 826, 1540, 5600, -10640
9171, 49, -168, 1094, 44940, 1470, -3920
9191, 167, -156, 1200, 51800, 18970, -19110
9211, 181, -180, 1151, 33110, 30380, -20020
9231, 83, -170, 875, 10080, 18550, 560
9251, 51, -157, 857, 7420, 1330, 23380
9271, 72, -114, 1024, 22750, 3500, 22470
9291, 56, -56, 1160, 27160, 210, 21000
9311, -12, -83, 889, 11200, -9240, 26040
9331, 43, -101, 839, 2030, -15610, 27930
9351, 75, -45, 999, 19040, 4480, 21700
9371, 46, 0, 1184, 30730, 4970, 21350
9391, 79, -36, 1074, 17990, 7140, 22470
9411, 117, -73, 985, -4200, 2450, 23520
9431, 50, -74, 894, -8820, -5040, 24080
9451, 32, -101, 898, -2590, -13720, 22540
9471, 128, -120, 959, 3640, -10080, 21140
9491, 102, -61, 1010, 4340, 2590, 24150
9511, 46, -26, 1022, 2870, 3430, 33600
9531, 31, -10, 927, 1470, -9870, 37030
9551, 236, -61, 1013, 910, -14490, 33460
9571, 219, 3, 1250, 6440, -210, 30240
9591, 108, -3, 1089, 5880, 1820, 38360
9611, 128, -63, 871, -11410, -20790, 49630
9631, 186, -54, 1013, -17920, -14980, 45290
9651, 134, 5, 1086, -910, 5600, 38010
9671, 121, -43, 996, 5600, 4340, 40740
9691, 192, -82, 927, -6300, -3220, 45850
9711, 168, 18, 1148, -8260, -3640, 47390
9731, 20, 83, 1129, 6020, 5880, 50470
9751, 45, 7, 893, 3220, -1260, 54530
9771, 254, -71, 988, -8540, -10850, 47530
9791, 226, -15, 1110, -6510, 11550, 35210
9811, -10, 98, 1071, 2170, 17430, 44100
9831, 29, 29, 976, 2100, -7280, 63000
9851, 146, 47, 1047, -5320, -14490, 64470
9871, 191, 95, 1267, -1890, 3710, 50540
9891, 79, 85, 1088, -16800, -10780, 59570
9911, 91, -9, 776, -32620, -38150, 59920
9931, 223, -57, 909, -18760, -18760, 52290
9951, 207, 13, 954, 700, 5950, 52360
9971, 156, 79, 1019, 4620, 3780, 65240
9991, 176, 37, 924, -4900, -7350, 75880
10011, 140, 32, 774, -11060, -16940, 80290
10031, 170, 63, 910, 6790, -10010, 72520
10051, 175, 92, 969, 15610, 6230, 63490
