T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1564, -101, -511, 627, 11410, 37800, -106120
1584, -7, -559, 735, 41300, 77280, -102900
1604, -351, -754, 1160, 63140, 49700, -141610
1624, 113, -709, 1055, 73010, -9380, -212310
1644, 314, -474, 1010, 42070, 11480, -261800
1664, 104, -541, 693, 2170, 14910, -205590
1684, -71, -391, 669, -17080, -37100, -87570
1704, -222, -389, 656, -11900, 7770, -26600
1724, -87, -452, 836, 15470, 43680, -11060
1744, 25, -574, 1231, 32970, 42980, -42840
1764, 200, -769, 1104, 11970, 28560, -66220
1784, 253, -579, 1049, -34510, 25480, -43190
1804, -305, -437, 679, -78330, 30030, 32690
1824, -396, -562, 867, -107870, 1820, 163450
1844, 128, -648, 1010, -60690, -72940, 136220
1864, 145, -983, 825, -57890, -101290, 5950
1884, 103, -948, 1076, -72170, -93730, 9310
1904, -41, -773, 916, -13650, 94220, 3990
1924, -42, -664, 779, -58310, 20790, 6440
1944, -168, -685, 669, -114310, -24920, -13090
1964, 64, -791, 450, -93310, -23940, -45920
1984, 107, -1021, 502, -11480, 31780, -40670
2004, 24, -946, 757, 50120, 103320, -2730
2024, 7, -728, 818, 47320, 132650, -20720
2044, 18, -602, 622, 1120, 64330, -69440
2064, -64, -644, 594, -17290, 22470, -101500
2084, 325, -902, 956, -20300, 27580, -113750
2104, 315, -1183, 656, -20580, 51310, -70210
2124, 288, -1067, 506, -70630, 76860, -11200
2144, 6, -656, 666, -110600, 85820, -22750
2164, 298, -288, 361, -134890, 59430, -50680
2184, 31, -964, -68, -231700, 63070, -71540
2204, -57, -1117, 344, -254310, 73430, 4130
2224, 334, -1181, 525, -135660, 51030, 6510
2244, -158, -1076, 281, -87290, 15120, 48370
2264, -232, -932, -22, -120820, 35630, 121170
2284, 222, -905, -15, -58590, -1330, 28210
2304, 260, -1059, 57, 11900, -39900, -41580
2324, -17, -1072, 355, 26110, -17780, -37380
2344, -183, -901, 583, 48440, 6160, 3500
2364, -396, -862, 641, 56280, 31220, 55860
2384, -183, -774, 610, 31360, -4060, 53270
2404, -216, -890, 406, -34720, -54880, 1400
2424, 342, -1152, -70, -130060, -60970, -23800
2444, 138, -930, 420, -145320, -39130, -20020
2464, -58, -799, 367, -115220, 168840, 87150
2484, -316, -718, 16, -197470, 185780, 304220
2504, -808, -467, -451, -301980, 80290, 495040
2524, -816, -698, -263, -432740, 68810, 579530
2544, -549, -545, -327, -297220, 138250, 468440
2564, -475, -748, -187, -12530, 34090, 117880
2584, -383, -670, -127, 112000, 46550, -98910
2604, -248, -642, -27, 162540, 150290, -345730
2624, -151, -697, -42, 24360, 175490, -271460
2644, -1774, -1645, 199, -82110, 126910, -49630
2664, -343, -886, -79, -57050, -147420, 73360
2684, -448, -937, -157, -61740, -337120, 72100
2704, -555, -986, -207, -148120, -329770, 93380
2724, -534, -954, -206, -185990, -282520, -9030
2744, -404, -799, -144, -152740, -259770, -163100
2764, -261, -667, -77, -129570, -261240, -235690
2784, -249, -670, -91, -192150, -256060, -181440
2804, -394, -811, -169, -263550, -288400, -35000
2824, -480, -878, -204, -250600, -364280, 83790
2844, -489, -849, -197, -175630, -436730, 94010
2864, -428, -781, -162, -143290, -434770, 8190
2884, -414, -811, -161, -212730, -335580, -121730
2904, -454, -890, -189, -277200, -280840, -171710
2924, -495, -961, -219, -265860, -315070, -159810
2944, -496, -983, -228, -224840, -370230, -148680
2964, -426, -889, -194, -172340, -417340, -150080
2984, -417, -853, -194, -149100, -447510, -127540
3004, -401, -814, -176, -156660, -462140, -77350
3024, -430, -829, -185, -166320, -469210, -29330
3044, -469, -870, -218, -203840, -454440, 2380
3064, -453, -857, -203, -218680, -438340, -11200
3084, -482, -922, -215, -197120, -427770, -61110
3104, -493, -997, -222, -196840, -400750, -117320
3124, -428, -988, -190, -178010, -397460, -157570
3144, -437, -1012, -199, -165970, -415170, -139930
3164, -535, -1087, -243, -203700, -429450, -36260
3184, -645, -1192, -285, -251510, -429310, 76860
3204, -877, -1601, -380, -263130, -409920, 88340
3224, -654, -1221, -256, -231490, -373450, -33040
3244, -303, -707, -150, -182280, -334530, -235270
3264, -230, -637, -109, -156730, -341950, -325780
3284, -182, -572, -109, -137970, -395920, -239610
3304, -320, -687, -175, -193130, -397600, -86940
3324, -519, -783, -246, -236670, -365680, 147630
3344, -580, -817, -309, -81130, -462000, 87710
3364, -380, -640, -201, 98000, -496090, -129640
3384, -152, -542, -9, 83790, -392630, -299390
3404, -114, -650, -78, -138670, -254450, -237370
3424, -425, -973, -221, -265300, -243600, 3780
3444, -698, -1255, -343, -302470, -265930, 189770
3464, -625, -1191, -289, -193760, -327110, 179620
3484, -573, -1212, -305, -87920, -328650, 22750
3504, -405, -1047, -212, -106960, -221270, -125860
3524, -436, -1010, -217, -63210, -211400, -129360
3544, -469, -986, -217, -104370, -177240, -73150
3564, -441, -926, -232, -153090, -119280, -87150
3584, -360, -826, -228, -98140, -122360, -138740
3604, -252, -667, -156, 67060, -219450, -136220
3624, -141, -501, -42, 188020, -305550, -81690
3644, -210, -622, -66, 115430, -260540, -18340
3664, -286, -711, -132, -106540, -109060, 35700
3684, -339, -794, -189, -246330, -2520, 61600
3704, -382, -839, -254, -218260, -9800, 81760
3724, -340, -744, -194, -66500, -97020, 105630
3744, -308, -754, -144, 134330, -180530, 79450
3764, -321, -791, -118, 181160, -142660, 20790
3784, -437, -1045, -216, 16870, 35070, -32480
3804, -415, -998, -250, -134750, 201880, -86240
3824, -466, -1142, -333, -127330, 257250, -117950
3844, -333, -997, -254, 52080, 149170, -64260
3864, -470, -1157, -247, 241570, 29610, 17850
3884, -457, -1110, -140, 260470, 75180, 76300
3904, -794, -1540, -453, 111090, 247520, 87500
3924, -453, -1365, -422, -269150, 538930, 23940
3944, -373, -1174, -269, -265300, 695170, -185290
3964, -407, -1006, -218, 265300, 225820, 94710
3984, -706, -1108, -248, 498050, -40950, 403200
4004, -897, -1291, -375, 299670, 166810, 425110
4024, -622, -980, -291, 17710, 458990, 209790
4044, -348, -677, -187, 275030, 504140, -330190
4064, -163, -559, -91, 396480, 378770, -236320
4084, -121, -424, 31, 344540, 326270, -24570
4104, -361, -670, -139, 103460, 379610, 170100
4124, -423, -739, -228, -49000, 423780, 219870
4144, -455, -815, -216, 25060, 390670, 153650
4164, -530, -931, -231, 117670, 368900, 66010
4184, -503, -973, -245, 147420, 418180, -62930
4204, -307, -787, -102, 246470, 366730, -114310
4224, -263, -754, -108, 225820, 326270, -32690
4244, -373, -782, -148, 79520, 309260, 156730
4264, -494, -900, -224, 19110, 280560, 279440
4284, -529, -947, -227, 27580, 283500, 236040
4304, -534, -981, -217, 112210, 274050, 105490
4324, -444, -895, -168, 176120, 266490, -28070
4344, -357, -848, -138, 223790, 217840, -76790
4364, -395, -907, -153, 243600, 146370, -33460
4384, -453, -1007, -187, 151550, 167230, 15820
4404, -485, -1103, -202, 18060, 283220, -20370
4424, -516, -1116, -216, -30520, 316330, -23800
4444, -447, -1001, -180, 11130, 245910, 12530
4464, -442, -989, -178, 81340, 167720, 20230
4484, -409, -954, -166, 91210, 136220, 23870
