T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
6612, -13, -34, 991, 140, -21140, 3640
6632, -21, -5, 1049, 4760, -3220, 910
6652, 38, -9, 1090, 8330, 8190, -2450
6672, 24, -56, 1024, 3150, 210, 1960
6692, 10, -26, 1013, -5180, -19600, 11410
6712, -30, -15, 981, -6650, -35700, 13790
6732, 42, -26, 1024, -2030, -29120, 10710
6752, 73, -4, 1087, 6720, -1680, 1190
6772, 103, -47, 1082, 11760, 24570, -3990
6792, -53, 3, 988, 7280, 12600, -770
6812, -79, -9, 989, 770, -15820, 8610
6832, -105, 15, 994, 1330, -8540, 9870
6852, 24, 10, 1073, 4970, 4130, 3080
6872, -29, -6, 1048, 7560, 18970, -2240
6892, -83, -8, 975, 3430, 23240, -770
6912, -96, -9, 973, -1750, -3920, 1120
6932, -125, -13, 973, -1470, -13300, 1820
6952, -151, 16, 994, 770, -3990, 1680
6972, -78, 18, 1092, 4620, 9730, -1120
6992, -87, -5, 1100, 5600, 28420, -5040
7012, -151, -53, 977, 0, 22470, -2520
7032, -179, -51, 978, -9730, -19950, 9030
7052, -111, -16, 1077, -7000, -25340, 11760
7072, -114, 11, 1167, 2940, 2100, -420
7092, -188, -66, 1003, -14840, 2800, 16310
7112, -192, -55, 985, -23240, -29050, 25270
7132, -126, -73, 983, -17990, -42630, 22330
7152, -66, -71, 1026, -5810, -11900, 7980
7172, -111, -40, 1064, 3220, 26530, 2520
7192, -99, -63, 1073, 140, 24570, 5950
7212, -103, -98, 947, -10710, -6790, 9520
7232, -98, -52, 1005, -7840, -31360, 8190
7252, -127, -4, 978, 4270, -26600, -490
7272, -38, 3, 1084, 10220, -3220, -7910
7292, -26, -65, 1021, 6860, 19880, -15610
7312, -78, -112, 959, -210, 24570, -14070
7332, -109, -37, 993, 3710, 9450, -11830
7352, -132, 2, 964, 15050, -5460, -13650
7372, -152, 23, 1002, 18480, -18760, -16870
