T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1492, -29, -27, 743, -7000, 16100, -60200
1512, -89, -16, 859, 33320, 21420, -56980
1532, -106, 92, 1061, 52780, 8260, -59290
1552, -63, -73, 776, -630, 840, -89880
1572, -99, -88, 604, -57120, 8050, -116620
1592, -19, -76, 624, -31150, 8400, -117110
1612, 10, -99, 839, 19810, -17570, -109060
1632, -29, -175, 1019, 59850, -39970, -100450
1652, -161, -130, 1093, 41230, -22540, -95970
1672, -176, -253, 742, -51520, 6160, -112350
1692, 6, -330, 615, -148680, 12810, -135310
1712, 4, -426, 953, -118650, -4830, -144970
1732, -87, -464, 1221, -39410, -34720, -129290
1752, -257, -639, 1085, 10920, -33950, -117320
1772, -306, -551, 910, -22750, 9380, -116900
1792, -187, -613, 771, -74760, 26040, -113750
1812, -101, -590, 1102, -91000, 3220, -108220
1832, 29, -328, 1298, -39760, -45640, -106120
1852, -208, -664, 1023, 11900, -46410, -101290
1872, 112, -623, 803, -80080, 15680, -113050
1892, -9, -729, 829, -113050, 18410, -125860
1912, 45, -511, 1221, -63280, 27790, -96180
1932, -76, -638, 1192, -3640, -19740, -81200
1952, -134, -675, 922, -70, -9940, -82320
1972, -64, -388, 873, -33670, 55510, -91350
1992, 42, -456, 572, -9870, 100450, -77070
2012, 337, -397, 826, -14770, 68390, -69440
2032, 6, -536, 1112, 27440, -23450, -73290
2052, -25, -759, 981, -10920, -6160, -53900
2072, -363, -602, 963, -58940, 69020, -65730
2092, -78, -547, 666, -80500, 83440, -61670
2112, 69, -425, 664, -54670, 36680, -67060
2132, 231, -495, 987, 70, -30030, -69650
2152, 10, -751, 1205, 15610, -47460, -79940
2172, -169, -834, 1008, -70210, 6020, -90720
2192, -182, -819, 644, -143990, 49140, -66220
2212, -7, -675, 526, -130410, 67620, -45780
2232, 98, -460, 769, -45290, 30030, -45220
2252, 183, -517, 937, 17360, -64890, -54670
2272, 187, -663, 864, 28350, -62090, -59080
2292, 10, -839, 712, -61110, 25480, -74620
2312, -19, -952, 603, -134470, 59780, -62230
2332, -103, -896, 681, -113610, 21420, -43680
2352, -27, -830, 660, -72730, -8750, -34230
2372, 124, -539, 752, -33040, -28630, -24920
2392, 110, -735, 633, -24640, -24920, 11130
2412, 50, -719, 825, -102830, -560, 26670
2432, 82, -417, 599, -172270, 14840, -64610
2452, -18, -121, 343, -322140, -118440, -62510
2472, 117, -222, -45, -359870, -182420, 74410
2492, 140, -492, 337, -291760, -200550, 315350
2512, -243, -580, 329, -117530, -108150, 626010
2532, -1049, -636, 438, 9590, 90440, 758520
2552, -459, -586, -186, -89530, 259140, 656600
2572, -731, -1045, -200, -306810, 257110, 243320
2592, -1170, -1866, -497, -178570, 174580, -69510
2612, -490, -1234, -447, -132580, 199360, -407750
2632, -608, -1517, -656, -112140, 147000, -603610
2652, -236, -987, 35, 177940, -112910, -438760
2672, -388, -979, -45, 630420, -672980, -114870
2692, -666, -1155, -272, 189700, -594860, 180110
2712, -687, -1037, -253, -327320, -342930, 327810
2732, -376, -739, -145, -350980, -308560, 281050
2752, -355, -614, -132, -294000, -254800, -53130
2772, -271, -521, -121, -365890, -237160, -51870
2792, -311, -564, -146, -397880, -214760, -88130
2812, -535, -822, -276, -320250, -313180, -47180
2832, -639, -901, -283, -149240, -446110, -109130
2852, -532, -843, -205, -29260, -501410, -313320
2872, -365, -947, -237, -56560, -481810, -469840
2892, -339, -1168, -290, -107100, -569450, -300440
2912, -767, -1530, -305, 27930, -833700, 123480
2932, -873, -1461, -309, -46550, -882350, 407050
2952, -883, -1402, -415, -372540, -577430, 305130
2972, -867, -1313, -457, -663600, -225190, -13650
2992, -776, -1099, -448, -483000, -250320, -334740
3012, -629, -923, -386, -91210, -531580, -484470
3032, -391, -799, -181, 137270, -770140, -524020
3052, -407, -1016, -291, -38780, -766220, -429100
3072, -668, -1226, -378, -242550, -747600, -160720
