T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
3791, 99, 29, 983, 7210, -25970, 3360
3811, 99, 30, 991, 9940, -33320, -3220
3831, 113, 41, 1020, 9170, -34230, -6160
3851, 124, 42, 1037, 4690, -31500, -1470
3871, 141, 32, 1077, -1050, -26180, 6370
3891, 129, 26, 1116, -5320, -22750, 11410
3911, 134, 15, 1201, -4620, -17220, 10710
3931, 83, 12, 1222, -3360, -18410, 4480
3951, 76, -6, 1238, -5460, -27020, -140
3971, 78, -30, 1291, -3430, -34650, 1750
3991, 116, -20, 1373, -1120, -27580, 7210
4011, 136, -16, 1396, -10850, -9380, 10290
4031, 118, -13, 1371, -17150, -4760, 9170
4051, 32, 9, 1311, -10710, 3710, 4760
4071, 49, 17, 1335, 6160, 5880, -1960
4091, 79, 50, 1276, 25200, -4410, 770
4111, 248, 2, 1320, 36330, 770, 4690
4131, 231, 60, 1354, 31780, 29400, 4130
4151, 65, 105, 1296, 11760, 59080, 2940
4171, -53, 104, 1167, -4550, 51380, -2450
4191, 50, 98, 1162, -15890, 29470, -2310
4211, 353, 80, 1227, -17150, 24150, 7770
4231, 333, 101, 1270, 22890, 31290, 6510
4251, 139, 88, 1208, 60830, 40670, -3430
4271, -94, 97, 965, 24920, 39970, 4270
4291, 24, 120, 984, -40810, 37170, 11970
4311, 202, 66, 1181, -48930, 47040, 10010
4331, 197, -20, 1202, -26460, 51590, 910
4351, 1, -9, 1070, -23730, 45920, -16170
4371, -193, 19, 915, -33320, 24430, -23590
4391, -1, 8, 984, -18830, 2940, -24010
4411, 227, 2, 1090, 3150, 980, -10080
4431, 218, -12, 1177, 30310, -3360, 4830
4451, 17, 6, 975, 14490, 910, 12600
4471, -86, -30, 852, -44030, 9870, 22680
4491, 88, -45, 938, -42000, 5950, 25620
4511, 221, -43, 1039, -4410, -2660, 24850
4531, 110, -13, 945, 28280, -3430, 20580
4551, 123, -12, 1018, 59010, -20650, -10710
4571, 26, 32, 899, 63210, -34650, -42070
4591, 17, 19, 863, 12810, -4690, -29540
4611, 30, 31, 899, -34580, 45500, 9100
4631, 6, 56, 905, -34440, 53130, 29890
4651, 38, 47, 876, -280, 30940, 13650
4671, -3, 25, 944, 36400, 13720, -18760
4691, -136, -13, 995, 64750, 4830, -38080
4711, -150, 9, 945, 47740, 4200, -29470
4731, -33, 37, 955, -4760, 24150, -1190
4751, -45, 0, 903, -14070, 29680, 13650
4771, -11, 21, 883, 12110, 10290, 4620
4791, -140, 49, 809, 36960, -10290, -1330
4811, -36, 42, 806, 26810, -2660, 10430
4831, 30, 37, 800, 3500, 34580, 21630
4851, 103, 43, 807, -11760, 41090, 25620
4871, 45, -27, 768, 70, 25830, 8750
4891, -28, -45, 732, 9380, 13440, -4060
4911, -87, 37, 628, 7700, 15680, 1750
4931, -25, 38, 574, 7350, 31710, 12600
4951, 29, -26, 569, 9450, 51450, 26250
4971, 96, -11, 526, -560, 42560, 34020
4991, 112, 25, 586, -2660, 25060, 17850
5011, -18, 89, 556, 14420, 5600, -6720
5031, -186, 148, 434, 17500, 1680, -14630
5051, -241, 141, 393, 12530, 4830, -7350
5071, -254, 119, 509, 12810, 28560, 4270
5091, -289, 107, 664, 13790, 51240, 420
5111, -262, 123, 760, 4270, 41580, -8680
5131, -204, 119, 741, -17780, 33810, 140
5151, -219, 137, 740, -20440, 16380, 13580
5171, -309, 154, 698, -4130, -490, 13440
5191, -270, 163, 751, -1610, -14490, 9380
5211, -227, 81, 869, -8120, -11410, 10780
5231, -224, 44, 885, -4340, -11760, 10500
5251, -139, 58, 948, -6860, -15610, 19460
5271, -246, 204, 835, -11970, -14980, 28560
5291, -366, 156, 736, -19880, -22120, 21560
5311, -238, 37, 886, 8120, -39550, 7070
5331, -6, -8, 994, 49070, -32900, 420
5351, -3, 132, 1042, 30660, -7980, -140
5371, -163, 186, 996, -22330, 12880, -4410
5391, -236, 65, 898, -18340, 8890, -21280
5411, -141, 14, 842, 24500, -15680, -23800
5431, -81, 171, 904, 50540, -42070, 0
5451, -32, 215, 1158, 29330, -20790, 10220
5471, -210, 147, 1024, -1680, 22190, -8890
5491, -201, 69, 870, -5460, 26740, -29260
5511, -25, 126, 898, 20160, -11550, -12880
5531, -19, 195, 1089, 6440, -16870, 35280
5551, -153, 169, 1229, -7000, 7490, 21420
5571, -227, 80, 1007, -5880, -3570, 7350
5591, -149, 81, 931, -12460, -22610, 17080
5611, -34, 142, 965, -10570, -140, 25690
5631, -67, 123, 1080, 1330, 49770, 11760
5651, -146, 123, 1133, 20160, 70070, -4550
5671, -173, 98, 1098, 23380, 33250, -5040
5691, -226, 137, 999, 16660, -7000, -140
5711, -131, 167, 1001, 19740, -23940, 14840
5731, -167, 172, 1046, 24640, -2170, 30310
5751, -165, 194, 1042, 22330, 26250, 33110
5771, -214, 191, 1223, 6790, 23450, 21420
5791, -249, 150, 1125, -25060, 3850, 10990
5811, -188, 124, 945, -58240, -32130, 7980
5831, -61, 92, 947, -39200, -42280, 6300
5851, -112, 177, 1106, -5320, -18270, -1400
5871, -239, 122, 1264, 13720, 17010, -9660
5891, -316, 128, 1163, -12810, 10920, -9380
5911, -211, 132, 1012, -41510, -24850, -17850
5931, -87, 130, 984, -44520, -44030, -24010
5951, -85, 154, 1176, -15750, -14350, -16800
5971, -274, 246, 1198, 14420, 23730, 3500
5991, -347, 165, 1160, 47180, 6720, 19600
6011, -250, 132, 1126, 36680, -40810, 21980
6031, -177, 148, 1048, 2100, -67410, 2310
6051, -136, 166, 1161, -4970, -45570, -13160
6071, -206, 217, 1322, 10640, -24920, -6720
6091, -254, 192, 1431, 22610, -25200, 4690
6111, -221, 190, 1479, 6510, -28630, 14910
6131, -153, 164, 1473, -25830, -37450, 7840
6151, -187, 166, 1467, -30240, -49420, 840
6171, -224, 155, 1467, -14560, -49770, -70
6191, -246, 146, 1473, -8050, -38360, -1680
6211, -218, 137, 1466, -15680, -26460, -8260
6231, -129, 131, 1437, -13930, -34930, -20720
6251, -105, 153, 1403, 11690, -37660, -16520
6271, -86, 172, 1393, 28560, -33180, -7350
6291, -80, 164, 1394, 19320, -18130, -3430
6311, -74, 155, 1333, 7350, 2520, -4480
6331, -47, 158, 1320, 3850, 10850, -7000
6351, -12, 153, 1337, 8890, 11760, -7630
6371, 8, 159, 1324, 19110, 4340, -13790
6391, 14, 179, 1292, 24360, 4550, -25900
6411, -27, 167, 1224, 26250, 12040, -28070
6431, 9, 160, 1203, 21980, 22260, -18830
6451, 37, 151, 1245, 11690, 32550, -17360
6471, 59, 167, 1349, 1680, 46060, -21350
6491, 17, 187, 1283, -10220, 46900, -25060
6511, -29, 141, 977, -20510, 15680, -26740
6531, -17, 112, 900, -8610, -19110, -19670
6551, 9, 114, 1167, 25060, -10150, -8260
6571, 52, 175, 1202, 38360, 18830, -5180
6591, -36, 128, 813, -5040, 9940, -13860
6611, -78, 91, 694, -53410, -14140, -22120
6631, 47, 77, 922, -16100, -1540, -28840
6651, -1, 61, 983, 56000, -2450, -29120
6671, -55, 111, 822, 35630, -27650, -21840
6691, -145, 69, 716, -44520, -36890, -12110
6711, -172, 136, 724, -47110, 2800, -13930
6731, 4, 76, 928, 9030, 20930, -10290
6751, 95, 34, 919, 9030, 18410, -630
