T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
6439, 187, -906, 101, 10150, -53620, 21000
6459, 189, -1003, -120, -11130, -33740, 3710
6479, 203, -1063, -39, -12810, 12250, -1960
6499, 149, -1032, 39, -3150, 30030, 7210
6519, 137, -973, 62, -3360, 3010, 20510
6539, 149, -928, 58, -3150, -20090, 19530
6559, 152, -1048, -65, -5180, -14000, 11130
6579, 106, -1055, -7, -7140, 560, 20860
6599, 95, -988, 61, -70, 9870, 21210
6619, -84, -1246, -23, -17080, 11900, 17010
6639, 198, -1157, -60, -30800, 28210, -15960
6659, 207, -1059, -146, 4830, 28070, -95900
6679, 373, -958, -58, -11900, 44520, -156660
6699, 389, -150, 489, -35420, 80640, -195160
6719, 190, -1132, 117, 13090, 89460, -193200
6739, 424, -955, 13, 68460, 13510, 2240
6759, 298, -896, 18, 7420, 3710, 13090
6779, 272, -941, 89, -7840, -4900, 12880
6799, 312, -972, 97, 5110, -20090, 42140
6819, 392, -1043, -39, -770, -23730, 28630
6839, 323, -971, -116, -19530, -10220, -11900
6859, 317, -988, -2, -6930, -3080, 12390
6879, 193, -909, 80, 14070, -2660, 22540
6899, 258, -978, -77, 8540, 5600, 26740
6919, 384, -1046, 37, 4620, 26530, 13650
6939, 332, -981, -68, 9940, 13020, 14770
6959, 212, -740, 159, -17010, -5880, 13510
6979, 350, -1023, 76, -22400, -19950, 7070
6999, 303, -1001, -59, 7350, -15330, 37520
7019, 173, -997, -132, -20230, -16660, 60060
7039, 235, -918, -150, -5250, -25480, 73080
7059, 104, -899, -95, 15680, 37170, 55300
7079, 86, -927, -149, -23240, 148330, 66570
7099, 101, -942, -183, -90580, 167300, 49140
7119, 152, -969, -236, -122290, 191590, 14770
7139, 470, -1458, -258, -117460, 210700, 8330
7159, 295, -1040, 12, -4550, 252630, 13720
7179, 261, -817, 113, 178220, 351120, -7630
7199, 234, -758, 163, 165270, 384720, -9100
7219, 136, -806, 95, 42980, 430220, 32620
7239, 39, -1122, 85, -146790, 471520, 68390
