T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
5775, -385, -940, -189, -96180, -50890, -73640
5795, -421, -1030, -245, -80850, -41930, -50820
5815, -327, -853, -186, -20790, -52920, -26950
5835, -296, -776, -146, 41930, -33950, -18900
5855, -367, -864, -177, 73990, -57680, 48510
5875, -398, -956, -209, 45850, -44520, 93520
5895, -360, -1023, -286, 14980, 7280, 66500
5915, -480, -1064, -223, -13790, 74760, 19390
5935, -398, -950, -191, -20020, 126700, -23730
5955, -293, -789, -123, 48370, 86170, -43330
5975, -328, -814, -143, 95830, 29120, 2170
5995, -389, -892, -175, 37520, 34020, 71890
6015, -426, -956, -193, -20580, 61950, 95270
6035, -455, -1018, -209, -27510, 72870, 71050
6055, -421, -973, -193, -4130, 66360, 30100
6075, -335, -862, -137, 53480, 31850, -6510
6095, -330, -844, -137, 83650, 9030, -19390
6115, -385, -904, -175, 13370, 37240, 11410
6135, -424, -950, -191, -55300, 54530, 60970
6155, -433, -965, -192, -45430, 28490, 80780
6175, -416, -950, -185, -1680, -2520, 57190
6195, -372, -903, -155, 37590, -24920, 17920
6215, -364, -903, -155, -13650, 12670, -28210
6235, -388, -930, -173, -62440, 26390, -770
6255, -403, -936, -180, -40250, -20300, 45500
6275, -413, -934, -184, 1330, -66920, 61180
6295, -400, -916, -177, 13510, -72030, 33110
6315, -379, -896, -164, -2310, -49280, -10640
6335, -393, -929, -175, -41860, -17570, -36750
6355, -395, -940, -182, -55790, -14910, -36400
6375, -376, -906, -169, -17290, -59640, -12460
6395, -389, -911, -174, 10990, -100380, 19180
6415, -400, -922, -181, -7630, -95410, 26040
6435, -394, -915, -177, -40390, -62510, -1400
6455, -400, -922, -183, -60340, -37800, -31920
6475, -387, -906, -178, -45570, -46620, -44030
6495, -363, -885, -166, -1050, -81830, -41930
6515, -373, -907, -168, 16170, -100660, -28840
6535, -398, -942, -184, -17150, -84280, -11340
6555, -404, -938, -187, -53900, -57330, -8750
6575, -388, -900, -182, -57260, -46130, -23100
6595, -368, -863, -172, -28630, -58660, -35980
6615, -349, -845, -162, 6230, -79520, -39900
6635, -358, -873, -165, 10220, -77910, -39760
6655, -390, -929, -185, -20580, -52010, -34300
6675, -405, -949, -193, -43120, -32620, -26180
6695, -389, -920, -183, -30940, -34790, -25410
6715, -367, -885, -174, -490, -46620, -31640
6735, -364, -886, -172, 19110, -52640, -33740
6755, -390, -940, -187, 9240, -38360, -31430
6775, -415, -992, -200, -16870, -10920, -29890
6795, -418, -1001, -202, -20580, -210, -26880
6815, -393, -954, -185, 4550, -12180, -21910
6835, -365, -891, -168, 26670, -20860, -20370
6855, -364, -876, -169, 22400, -11130, -17570
6875, -382, -899, -180, -3290, 11480, -9310
6895, -394, -926, -187, -21140, 29190, -3080
6915, -392, -935, -186, 23660, 14560, -11760
6935, -383, -934, -178, 34300, 15190, -16590
6955, -361, -892, -167, 15680, 34650, -15750
6975, -350, -849, -161, -13300, 55650, -2310
6995, -370, -869, -171, -24640, 58940, 20370
7015, -410, -956, -193, -7070, 45710, 31990
7035, -435, -1019, -202, 22260, 34440, 19110
7055, -415, -1002, -191, 34930, 40740, -7700
7075, -364, -900, -164, 18200, 62720, -23450
7095, -326, -798, -149, -9870, 79590, -9450
7115, -331, -778, -152, -19250, 72450, 26880
7135, -370, -840, -169, -3640, 49280, 56770
7155, -422, -957, -197, 23240, 31430, 55230
7175, -446, -1035, -202, 41510, 35070, 18270
7195, -383, -940, -170, 40740, 55580, -28560
7215, -313, -784, -136, 22470, 72310, -41650
7235, -285, -693, -127, 5600, 65870, -6090
7255, -308, -710, -138, 2450, 40740, 48230
7275, -402, -889, -183, 15610, 13300, 81760
7295, -517, -1142, -232, 38220, -2450, 71540
7315, -550, -1291, -239, 59850, 210, 17430
7335, -432, -1118, -183, 62230, 15890, -44800
7355, -332, -867, -139, 29190, 28280, -48370
7375, -306, -713, -131, -16800, 15750, 25690
7395, -313, -676, -133, -38150, -15330, 106610
7415, -343, -712, -150, -30170, -43050, 137760
7435, -411, -851, -182, -7420, -55160, 112000
7455, -548, -1184, -243, 18060, -49980, 42070
7475, -566, -1416, -238, 42630, -34090, -54530
7495, -404, -1146, -166, 52220, -18550, -134050
7515, -316, -803, -133, 9100, -22190, -95270
7535, -307, -662, -132, -54600, -57750, 51730
7555, -341, -672, -149, -88060, -89740, 152600
7575, -397, -778, -173, -85540, -99190, 154420
7595, -490, -995, -218, -54530, -94990, 84140
7615, -527, -1195, -227, -20720, -77350, -25550
