AccX [mg],AccY [mg],AccZ [mg],State
213,-584,-226,1
205,-621,-244,1
175,-622,-207,1
192,-580,-192,1
257,-640,-249,1
320,-765,-261,1
320,-852,-178,1
283,-810,-32,1
372,-715,-219,1
397,-641,-359,1
314,-497,-232,1
206,-435,-90,1
145,-517,10,1
141,-720,16,1
253,-1007,-241,1
415,-1041,-460,1
500,-904,-314,1
545,-925,-206,1
589,-1378,-271,1
603,-1998,-992,1
346,-1912,-758,1
273,-1147,-197,1
353,-911,-67,1
551,-1343,-586,1
857,-1998,-1204,1
725,-1938,-589,1
572,-1587,-570,1
378,-1450,-853,1
236,-1328,-715,1
383,-1429,-217,1
752,-1601,-421,1
647,-1622,-879,1
274,-1329,-741,1
126,-1047,-425,1
198,-1225,-432,1
378,-1640,-560,1
524,-1696,-640,1
416,-1311,-391,1
273,-911,-287,1
222,-759,-381,1
211,-761,-476,1
213,-775,-488,1
176,-719,-315,1
116,-752,-191,1
91,-750,-187,1
107,-635,-195,1
100,-508,-151,1
82,-452,-124,1
70,-457,-98,1
84,-484,-112,1
101,-505,-128,1
111,-523,-125,1
121,-616,-126,1
179,-846,-188,1
253,-1156,-241,1
401,-1376,-186,1
603,-1261,-120,1
584,-1270,-243,1
482,-1486,-383,1
312,-1495,-341,1
322,-1258,-228,1
479,-1254,-231,1
640,-1451,-255,1
764,-1889,-424,1
662,-1998,-573,1
434,-1556,-178,1
410,-1220,-179,1
522,-1262,-448,1
575,-1498,-572,1
511,-1556,-346,1
474,-1540,-266,1
537,-1489,-422,1
574,-1431,-466,1
458,-1472,-468,1
288,-1326,-378,1
243,-1153,-331,1
315,-1042,-420,1
381,-1007,-506,1
274,-991,-362,1
142,-968,-251,1
153,-929,-334,1
228,-903,-428,1
255,-843,-462,1
208,-685,-345,1
115,-534,-187,1
61,-489,-185,1
50,-508,-285,1
73,-549,-359,1
89,-549,-349,1
113,-526,-299,1
142,-547,-260,1
186,-625,-241,1
225,-780,-299,1
247,-944,-375,1
308,-978,-389,1
387,-924,-292,1
402,-941,-186,1
387,-1070,-230,1
381,-1225,-325,1
436,-1273,-354,1
511,-1309,-313,1
585,-1333,-263,1
635,-1525,-303,1
677,-1602,-352,1
575,-1852,-452,1
701,-1755,-517,1
876,-1757,-513,1
753,-1601,-393,1
572,-1719,-435,1
433,-1824,-426,1
590,-1520,-230,1
755,-1408,-328,1
683,-1429,-554,1
430,-1328,-397,1
375,-1272,-401,1
377,-1043,-306,1
374,-906,-292,1
297,-921,-352,1
257,-885,-336,1
208,-706,-164,1
205,-661,-196,1
