AccX [mg],AccY [mg],AccZ [mg],State
13,51,986,1
5,44,986,1
-12,56,1000,1
-9,57,1009,1
-8,63,1005,1
-13,73,973,1
-9,61,1001,1
-22,70,1007,1
-73,118,1010,1
-120,162,964,1
-101,126,879,1
-73,194,852,1
-27,158,802,1
-56,132,642,1
-113,211,617,1
-143,168,667,1
-140,73,778,1
-48,50,891,1
68,-20,766,1
-4,-136,723,1
-11,-18,835,1
-2,-132,828,1
-139,-152,918,1
-89,-175,990,1
49,-240,1004,1
54,-392,918,1
-46,-292,895,1
-95,-134,945,1
-89,-199,906,1
-38,-270,959,1
-120,-531,977,1
-207,-662,873,1
-38,-470,821,1
-22,-311,701,1
-75,-548,778,1
-202,-772,848,1
-240,-833,667,1
-220,-331,96,1
-526,-572,-253,1
-1022,-1300,-488,1
-1970,-1998,-939,1
-1012,-1207,-232,1
-169,-1029,-69,1
-154,-894,-222,1
-379,-683,-158,1
-434,-563,-154,1
-419,-546,-150,1
-388,-568,-153,1
-555,-864,-219,1
-956,-1465,-420,1
-1161,-1998,-650,1
-593,-1996,-256,1
-603,-1619,-470,1
-777,-1144,-302,1
-683,-996,-292,1
-458,-776,-243,1
-383,-876,-219,1
-353,-1011,-236,1
-663,-1423,-416,1
-588,-1310,-270,1
-724,-1430,-322,1
-639,-1281,-321,1
-481,-1068,-302,1
-304,-780,-193,1
-315,-738,-166,1
-365,-722,-164,1
-426,-720,-200,1
-438,-678,-219,1
-489,-746,-274,1
-490,-876,-264,1
-376,-1109,-197,1
-310,-1457,-232,1
-685,-1635,-361,1
-620,-1168,-276,1
-451,-845,-207,1
-360,-697,-186,1
-250,-561,-146,1
-149,-454,-129,1
-70,-381,-83,1
-22,-334,-39,1
-70,-359,-37,1
-186,-461,-87,1
-275,-577,-121,1
-408,-774,-183,1
-582,-1086,-264,1
-753,-1465,-333,1
-700,-1636,-307,1
-612,-1508,-289,1
-484,-1167,-202,1
-435,-928,-162,1
-562,-966,-237,1
-588,-1011,-240,1
-665,-1199,-264,1
-731,-1531,-330,1
-757,-1852,-333,1
-797,-1893,-302,1
-914,-1749,-403,1
-886,-1521,-400,1
-731,-1259,-346,1
-557,-1226,-247,1
-571,-1519,-220,1
-919,-1998,-437,1
-995,-1984,-455,1
-907,-1691,-433,1
-550,-1181,-270,1
-388,-1015,-186,1
-440,-1090,-222,1
-549,-1181,-265,1
-607,-1210,-272,1
-586,-1168,-263,1
-450,-990,-194,1
-344,-853,-149,1
-316,-766,-144,1
-307,-675,-137,1
-277,-579,-116,1
-255,-508,-105,1
-240,-457,-95,1
-220,-410,-81,1
-189,-372,-62,1
-165,-338,-46,1
-154,-322,-41,1
-146,-315,-38,1
-144,-322,-41,1
-141,-333,-42,1
-155,-370,-51,1
-185,-429,-60,1
-244,-554,-87,1
-305,-719,-112,1
-409,-965,-144,1
-631,-1416,-243,1
-867,-1881,-368,1
-742,-1676,-289,1
-576,-1332,-236,1
-485,-1130,-206,1
-509,-1120,-214,1
-680,-1391,-300,1
-842,-1732,-362,1
-978,-1998,-449,1
-961,-1998,-464,1
-794,-1854,-404,1
-764,-1664,-399,1
-796,-1649,-414,1
-861,-1762,-447,1
-877,-1871,-456,1
-883,-1944,-473,1
-848,-1858,-473,1
-766,-1680,-441,1
-643,-1451,-377,1
-534,-1252,-316,1
-513,-1187,-302,1
-506,-1187,-314,1
-539,-1217,-314,1
-549,-1161,-302,1
-475,-1057,-274,1
-308,-875,-182,1
-258,-802,-182,1
-246,-725,-181,1
-257,-656,-180,1
-274,-593,-174,1
-282,-553,-176,1
-273,-514,-170,1
-246,-456,-157,1
-220,-410,-140,1
-199,-377,-120,1
-211,-388,-125,1
-242,-421,-144,1
-266,-448,-156,1
-263,-443,-145,1
-293,-485,-155,1
-338,-549,-178,1
-439,-689,-238,1
