AccX [mg],AccY [mg],AccZ [mg],State
-1090,-1476,1919,0
-1044,-1268,1714,0
-565,-738,1641,0
-125,-247,1382,0
-11,7,1145,0
83,256,863,0
569,314,855,0
320,823,1086,0
135,244,481,0
175,336,996,0
269,411,887,0
243,280,836,0
383,214,977,0
121,80,1044,0
-53,364,1376,0
177,419,1484,0
318,352,1735,0
287,329,1998,0
136,310,1998,0
147,78,1998,0
-15,-44,1998,0
-126,-22,1971,0
-88,27,1701,0
-109,3,1455,0
-88,6,1221,0
-102,-92,922,0
-194,125,571,0
-327,133,591,0
-475,225,668,0
-261,142,531,0
-48,192,517,0
118,362,393,0
78,163,46,0
-282,164,-103,0
-511,139,-95,0
-563,96,-23,0
-618,88,47,0
-592,96,56,0
-538,119,43,0
-403,135,-36,0
-356,176,-122,0
-393,175,-227,0
-370,86,-251,0
-466,-47,-242,0
-393,-195,-219,0
-258,-96,-223,0
-82,-118,-192,0
175,-212,-141,0
390,-225,-56,0
573,-193,121,0
756,-200,167,0
993,-353,127,0
1190,-326,527,0
1250,-233,1033,0
1443,-15,868,0
1713,-162,498,0
1993,-341,452,0
1803,-222,845,0
1928,-306,973,0
1995,-376,861,0
1995,-519,693,0
1995,-517,646,0
1995,-638,508,0
1995,-504,645,0
1995,-648,691,0
1994,-915,798,0
1823,-1068,945,0
1875,-1237,884,0
1690,-1111,594,0
1879,-938,579,0
1895,-958,586,0
1769,-1039,582,0
1725,-1108,380,0
1651,-1065,409,0
1743,-902,405,0
1807,-766,508,0
1782,-609,631,0
1887,-519,623,0
1995,-498,580,0
1995,-393,683,0
1995,-317,682,0
1995,-340,538,0
1973,-437,136,0
1995,-559,-317,0
1913,-373,-514,0
1577,-470,-624,0
1304,-470,-751,0
1211,-537,-737,0
1104,-460,-525,0
770,-552,-310,0
343,-679,-211,0
1,-682,-180,0
-333,-592,-261,0
-516,-547,-323,0
-469,-523,-306,0
-409,-575,-142,0
-415,-661,42,0
-670,-751,358,0
-1187,-700,651,0
-1409,-611,558,0
-1279,-534,493,0
-1192,-393,748,0
-1109,-191,984,0
-822,-77,949,0
-711,-113,1070,0
-585,-143,1343,0
-410,-150,1591,0
22,-67,1907,0
479,-8,1998,0
722,170,1998,0
869,-115,1998,0
1189,-411,1998,0
1484,-343,1998,0
1995,0,1998,0
1995,423,1998,0
1995,341,1998,0
1995,-116,1384,0
1995,-327,746,0
1995,-473,523,0
1995,-838,127,0
1850,-1009,-61,0
1503,-1123,-71,0
1468,-1328,-92,0
1721,-1554,-279,0
1869,-1722,-603,0
1536,-1584,-747,0
1256,-1525,-657,0
1194,-1396,-809,0
1293,-1234,-1132,0
1610,-887,-1272,0
1962,-707,-1327,0
1903,-307,-1100,0
1837,2,-768,0
1995,166,-474,0
1995,340,-224,0
1995,378,-280,0
1958,495,-508,0
1858,457,-584,0
1893,429,-786,0
1777,314,-912,0
1658,187,-1051,0
1530,94,-1120,0
1507,-6,-1094,0
1301,-96,-978,0
1135,-101,-768,0
1162,-96,-623,0
1275,-86,-652,0
1312,-124,-565,0
1083,-59,-365,0
864,50,-259,0
558,91,-278,0
446,0,-284,0
430,-57,-285,0
419,-78,-354,0
329,-102,-441,0
344,-237,-580,0
414,-357,-770,0
439,-347,-854,0
358,-504,-926,0
417,-559,-886,0
483,-531,-718,0
422,-502,-623,0
370,-436,-502,0
244,-381,-290,0
342,-424,-157,0
540,-483,-126,0
667,-668,29,0
557,-719,329,0
250,-727,392,0
5,-591,497,0
-103,-313,661,0
-133,-222,734,0
-190,-254,883,0
-758,-61,1641,0
-1232,13,1998,0
-1481,189,1998,0
-1735,370,1998,0
-1746,257,1998,0
-1645,374,1468,0
-1176,329,876,0
-887,132,751,0
-1019,167,858,0
-639,136,772,0
-106,-209,658,0
160,-445,652,0
788,-246,518,0
1426,-217,653,0
1902,-152,930,0
1813,-48,1328,0
1995,-153,1813,0
1995,-65,1803,0
1995,61,1959,0
1544,-44,1998,0
1026,-251,1998,0
740,-379,1901,0
966,-349,1714,0
919,-73,1888,0
403,247,1998,0
-132,578,1998,0
-467,670,1998,0
-264,924,1998,0
84,852,1998,0
545,629,1998,0
1324,683,1998,0
1652,744,1909,0
1358,469,1651,0
1255,383,1388,0
1474,343,1469,0
1544,351,1592,0
1515,156,1341,0
1472,-77,914,0
1393,-161,605,0
1281,-103,553,0
1089,-129,657,0
897,-146,647,0
751,-237,528,0
656,-374,437,0
610,-533,320,0
615,-760,244,0
658,-890,296,0
885,-843,269,0
1034,-774,267,0
1115,-767,439,0
917,-713,430,0
701,-737,225,0
444,-784,180,0
314,-882,248,0
325,-907,659,0
347,-756,987,0
258,-688,984,0
74,-610,732,0
-163,-335,559,0
-268,-158,573,0
-335,6,601,0
-563,136,627,0
-811,34,560,0
-861,-117,505,0
-980,89,756,0
-1162,52,1103,0
-1045,-10,1115,0
-1220,300,962,0
-1413,482,1046,0
-1283,408,1108,0
-1406,539,1175,0
-1686,673,1937,0
-1634,690,1998,0
-1192,351,1998,0
-512,27,1998,0
339,-184,1998,0
905,-115,1998,0
1415,-47,1998,0
1902,9,1613,0
1995,8,1022,0
1995,-190,574,0
1995,-543,233,0
1995,-623,131,0
1995,-813,-285,0
1995,-1271,-1047,0
1815,-1218,-1307,0
1526,-1184,-989,0
1250,-1197,-772,0
1016,-1248,-650,0
712,-1460,-616,0
851,-1424,-721,0
1400,-1326,-767,0
1785,-1123,-949,0
1671,-1072,-499,0
1616,-983,50,0
1738,-786,501,0
1995,-567,500,0
1995,-335,604,0
1995,-313,587,0
1937,-551,588,0
1844,-693,393,0
1961,-933,336,0
1995,-1417,197,0
1995,-1137,-191,0
1995,-1325,-239,0
1995,-1472,143,0
1995,-1401,181,0
1939,-1258,282,0
1942,-1118,440,0
1995,-1005,623,0
1879,-904,833,0
1611,-905,1007,0
1372,-837,990,0
1378,-740,862,0
1381,-637,689,0
1385,-584,480,0
1415,-593,384,0
1313,-620,376,0
1026,-653,374,0
766,-610,338,0
577,-597,254,0
511,-601,183,0
453,-549,212,0
413,-493,269,0
366,-456,302,0
240,-413,256,0
101,-555,179,0
153,-586,263,0
194,-673,365,0
16,-789,385,0
-121,-773,258,0
-279,-691,200,0
-523,-594,322,0
-730,-497,539,0
-1061,-217,536,0
-1589,100,429,0
-1914,414,239,0
-1836,626,-43,0
-1482,641,-320,0
-1109,550,-634,0
-750,747,-874,0
-383,887,-757,0
-260,1044,-191,0
-584,1052,426,0
-890,1019,949,0
-1304,920,1508,0
-1755,761,1994,0
-1998,680,1998,0
-1998,764,1998,0
-1998,803,1998,0
-1564,896,1998,0
-1060,900,1561,0
-741,980,1166,0
-450,943,891,0
-200,863,760,0
-76,824,822,0
77,670,967,0
