AccX [mg],AccY [mg],AccZ [mg],State
4,7,1169,0
-76,-41,987,0
-323,-52,902,0
-283,8,1074,0
-122,-30,1188,0
14,-73,1324,0
-50,-171,1118,0
-251,-169,963,0
-352,-137,880,0
-256,-72,922,0
40,6,1364,0
-39,28,1491,0
-373,-299,650,0
-611,-380,248,0
-304,-218,756,0
68,-216,1253,0
130,-342,1064,0
212,-407,1075,0
-152,-237,874,0
-337,-4,1038,0
-205,-101,1017,0
167,-361,1172,0
72,-350,1057,0
-392,-16,768,0
-529,38,632,0
-96,-23,1260,0
162,-225,1256,0
47,-362,919,0
-146,-324,729,0
-19,-286,962,0
42,-138,1124,0
51,-168,1131,0
134,-278,1123,0
150,-300,1022,0
67,-194,1081,0
-33,-165,898,0
68,-191,799,0
282,-260,1056,0
184,-118,1246,0
138,-149,1131,0
53,-178,803,0
43,-125,696,0
139,-37,1110,0
149,-30,1229,0
109,-54,1131,0
69,-64,1013,0
-34,7,932,0
22,-17,1032,0
54,-12,976,0
150,14,1234,0
163,-92,1153,0
119,-100,1005,0
108,-57,856,0
166,-43,1044,0
208,-63,1123,0
176,5,1262,0
94,74,1126,0
54,26,889,0
150,-51,903,0
211,-96,891,0
155,-58,942,0
123,33,1069,0
98,91,1090,0
79,79,1067,0
139,-16,910,0
194,-112,869,0
196,-98,830,0
115,47,1014,0
56,125,1144,0
23,86,992,0
183,-6,872,0
220,42,958,0
199,53,991,0
70,152,1015,0
63,155,928,0
106,188,1010,0
110,211,1039,0
185,154,1092,0
85,163,935,0
18,226,1004,0
57,206,1026,0
124,186,1070,0
180,155,989,0
63,192,1031,0
39,130,969,0
128,32,903,0
243,5,1009,0
201,5,1038,0
24,93,1035,0
26,94,977,0
128,-1,969,0
139,-37,990,0
101,-10,965,0
78,72,1084,0
-58,68,1071,0
-50,38,1025,0
65,45,1167,0
160,20,1055,0
-15,-11,988,0
-257,66,1020,0
-229,84,1053,0
21,13,1089,0
88,-10,1022,0
-20,-53,920,0
-126,-36,990,0
-111,3,1122,0
-9,-26,1049,0
185,-158,998,0
231,-236,1041,0
60,-179,998,0
-87,-89,956,0
-120,-47,936,0
-63,-96,969,0
78,-131,1092,0
79,-138,1237,0
-37,-95,1105,0
-156,-62,1002,0
-150,-59,927,0
-99,-49,992,0
-4,-95,1118,0
-1,-100,1145,0
-96,-85,1101,0
-171,-144,883,0
-192,-114,803,0
-25,-82,1059,0
-106,-6,1254,0
-240,-20,1080,0
-267,-115,947,0
-199,-189,884,0
-79,-268,808,0
-22,-232,1081,0
-104,-168,1277,0
-221,-160,1046,0
-229,-180,753,0
71,-327,878,0
12,-200,928,0
-362,80,1255,0
-709,104,1135,0
-589,8,783,0
-136,-240,723,0
98,-376,790,0
-13,-310,1027,0
-182,-165,1168,0
-336,41,1241,0
-47,-159,1076,0
358,-492,900,0
183,-466,902,0
-181,-277,856,0
-210,-243,775,0
118,-200,1219,0
448,-444,1206,0
218,-476,766,0
-152,-249,634,0
-87,-161,1077,0
334,-336,1342,0
320,-366,1051,0
144,-353,776,0
36,-247,826,0
49,-168,1094,0
167,-156,1200,0
181,-180,1151,0
83,-170,875,0
51,-157,857,0
72,-114,1024,0
56,-56,1160,0
-12,-83,889,0
43,-101,839,0
75,-45,999,0
46,0,1184,0
79,-36,1074,0
117,-73,985,0
50,-74,894,0
32,-101,898,0
128,-120,959,0
102,-61,1010,0
46,-26,1022,0
31,-10,927,0
236,-61,1013,0
219,3,1250,0
108,-3,1089,0
128,-63,871,0
186,-54,1013,0
134,5,1086,0
121,-43,996,0
192,-82,927,0
168,18,1148,0
20,83,1129,0
45,7,893,0
254,-71,988,0
226,-15,1110,0
-10,98,1071,0
29,29,976,0
146,47,1047,0
191,95,1267,0
79,85,1088,0
91,-9,776,0
223,-57,909,0
207,13,954,0
156,79,1019,0
176,37,924,0
140,32,774,0
170,63,910,0
175,92,969,0
200,92,938,0
217,115,1072,0
152,147,1053,0
116,102,901,0
110,130,1003,0
201,110,1034,0
233,82,1089,0
33,144,910,0
-41,198,923,0
44,230,1146,0
197,93,1110,0
238,19,1055,0
17,90,861,0
-101,189,1041,0
29,140,1112,0
122,73,1099,0
69,34,975,0
-16,79,1090,0
-93,69,1036,0
6,30,1108,0
120,34,1172,0
121,43,1061,0
-47,57,921,0
-146,134,985,0
-51,171,1210,0
3,165,1273,0
37,30,990,0
-52,-28,849,0
-46,-116,883,0
-58,-60,1015,0
-20,-35,1039,0
5,-88,904,0
-47,-98,903,0
-120,-25,987,0
-130,-12,913,0
9,42,928,0
88,69,1018,0
-75,33,900,0
-215,11,792,0
-214,20,974,0
-83,15,1094,0
45,-94,1084,0
0,-240,948,0
-131,-248,1082,0
-226,-175,1077,0
-83,-186,1167,0
-21,-112,1337,0
-52,-192,1257,0
-171,-250,1130,0
-243,-274,960,0
-119,-335,912,0
0,-296,1102,0
75,-348,1220,0
-183,-300,981,0
-266,-317,726,0
-2,-257,1196,0
72,-283,1313,0
1,-371,965,0
-258,-251,764,0
-305,-111,925,0
-9,-152,1270,0
103,-265,1162,0
-41,-290,823,0
-212,-150,802,0
-161,-30,1065,0
74,-60,1286,0
97,-266,956,0
-22,-328,634,0
-154,-202,720,0
58,-191,1002,0
291,-235,1233,0
120,-263,823,0
-26,-166,783,0
-36,-124,875,0
136,-166,995,0
137,-118,1111,0
88,-81,1080,0
81,-168,914,0
171,-235,936,0
186,-153,1069,0
116,-156,1042,0
19,-152,896,0
40,-117,966,0
44,-98,1108,0
41,-85,1134,0
27,-122,1019,0
56,-180,977,0
23,-154,1015,0
5,-144,1032,0
36,-137,1056,0
136,-165,1074,0
120,-134,1089,0
68,-108,1083,0
3,-73,946,0
181,-174,966,0
141,-155,1013,0
57,-103,1070,0
-21,-130,905,0
