AccX [mg],AccY [mg],AccZ [mg],State
212,-5,1200,0
132,-12,1050,0
126,-19,1000,0
126,-3,1017,0
282,-71,1013,0
283,-64,1019,0
230,-47,1017,0
156,-74,820,0
180,-59,894,0
204,-20,994,0
152,-23,1024,0
77,38,1064,0
98,14,1020,0
151,-36,963,0
201,-45,1100,0
142,-72,972,0
172,-56,1011,0
98,-63,886,0
278,-96,1069,0
233,-17,1107,0
209,6,1034,0
-111,131,859,0
-96,180,1029,0
272,-76,1111,0
15,-89,702,0
28,17,989,0
-109,70,1020,0
126,-17,1103,0
275,-96,1106,0
40,43,1060,0
3,33,1037,0
-39,-28,866,0
190,-9,1189,0
118,-41,1080,0
50,-40,1031,0
-210,67,871,0
-30,86,1058,0
371,-84,1323,0
35,-68,954,0
107,-118,944,0
-41,19,977,0
17,98,1136,0
207,-41,1174,0
-33,-83,880,0
-96,-51,921,0
-86,-25,986,0
87,-78,1049,0
-12,-57,951,0
-24,-23,1052,0
-9,-68,990,0
-24,-103,873,0
38,-97,981,0
68,-91,1042,0
-14,-87,959,0
64,-118,993,0
31,-137,947,0
-89,-22,986,0
-106,11,951,0
-48,-42,972,0
110,-91,1073,0
-14,-45,974,0
-7,-25,1022,0
-23,-19,1058,0
-36,-41,1013,0
-4,-93,944,0
87,-52,1099,0
94,-36,1133,0
93,-107,1062,0
-121,-61,977,0
-157,-43,1015,0
-227,6,1106,0
-150,-47,1122,0
-288,2,1014,0
-373,12,940,0
-257,-15,993,0
-134,-47,1038,0
-22,-109,1031,0
-110,-61,1023,0
-92,-76,1015,0
-87,-109,965,0
-65,-86,1040,0
-83,-27,1112,0
-100,-28,1084,0
-140,-31,990,0
-67,-82,933,0
19,-73,1070,0
-76,-55,1010,0
-83,-28,1122,0
-240,-21,901,0
-58,-114,892,0
105,-151,1006,0
61,-75,1194,0
-130,-68,963,0
-181,-77,823,0
-16,-70,979,0
197,-120,1171,0
63,-98,1167,0
-147,-77,930,0
-193,9,887,0
79,-132,861,0
144,-11,1350,0
212,-130,1180,0
-18,-73,871,0
-440,140,600,0
-246,319,1540,0
19,17,1228,0
271,-306,917,0
-36,-188,769,0
-358,87,892,0
-318,181,1188,0
94,-39,1162,0
132,-168,961,0
-105,-116,761,0
-251,78,962,0
-39,84,1225,0
72,-22,1131,0
67,-111,912,0
-113,-36,710,0
-70,130,1203,0
182,-26,1160,0
201,-86,1053,0
-28,-58,810,0
-235,114,991,0
-8,92,1179,0
195,-33,1151,0
225,-75,1115,0
28,-71,867,0
-104,64,954,0
-51,128,1235,0
99,48,1252,0
143,-60,1040,0
68,-130,749,0
-7,-36,758,0
115,17,1165,0
104,-4,1060,0
222,-41,1167,0
161,-83,821,0
164,-37,937,0
66,30,1013,0
175,6,1047,0
184,-12,1103,0
187,-21,1105,0
118,-11,1008,0
253,-88,936,0
381,-110,1048,0
376,-67,1205,0
218,-40,1015,0
282,-101,887,0
277,-128,746,0
205,-28,910,0
214,-16,1048,0
255,-46,1026,0
308,-88,988,0
197,-87,844,0
189,-61,941,0
144,0,1016,0
233,-42,1005,0
175,-52,916,0
11,-34,806,0
97,-27,1024,0
173,-6,1210,0
206,-45,1115,0
139,-134,841,0
17,-43,850,0
78,14,1093,0
75,41,1228,0
147,-26,1032,0
-47,60,991,0
-109,35,891,0
-107,68,952,0
235,-27,1215,0
38,57,1061,0
13,82,1115,0
-76,40,885,0
104,0,1019,0
373,21,1463,0
6,66,948,0
55,-6,959,0
-130,45,812,0
334,9,1152,0
591,-124,1313,0
15,87,1003,0
79,-48,883,0
-96,70,982,0
48,67,1104,0
316,-46,1109,0
202,-69,1031,0
-107,42,895,0
88,-20,972,0
292,-115,886,0
293,-77,1051,0
203,-101,908,0
156,-53,947,0
47,-62,984,0
-141,12,1089,0
-310,57,1085,0
-504,138,1161,0
-525,133,1175,0
-403,46,1113,0
-378,16,986,0
-277,-24,962,0
-219,-58,924,0
-52,-89,1075,0
30,-143,974,0
-31,-95,1016,0
-134,-56,928,0
-87,-70,1019,0
-59,-72,1015,0
100,-104,1199,0
-129,-9,1038,0
-132,-17,958,0
-102,-26,885,0
63,-45,1156,0
67,-104,1069,0
-46,-56,1058,0
-263,48,818,0
172,-127,1036,0
191,-163,1094,0
167,-168,1098,0
-80,-62,941,0
-186,37,991,0
107,-59,1138,0
335,-289,970,0
132,-149,1233,0
-396,111,981,0
-191,89,1016,0
376,-352,761,0
507,-439,842,0
-63,-25,1192,0
-133,-95,785,0
125,-74,1210,0
259,-277,859,0
482,-363,1019,0
-284,68,957,0
-87,12,1026,0
16,22,1151,0
325,-254,918,0
48,-107,988,0
-504,169,786,0
-177,79,1038,0
79,-45,1066,0
284,-197,1016,0
-115,78,1125,0
-393,197,858,0
-166,228,1342,0
170,-71,1023,0
104,-70,1014,0
-191,125,926,0
-270,219,887,0
113,59,1082,0
218,-115,783,0
91,23,1016,0
106,-51,819,0
107,-87,609,0
8,84,864,0
-25,103,647,0
332,42,1083,0
583,-88,1351,0
720,-124,1689,0
463,-102,1370,0
323,-241,770,0
259,-278,509,0
338,-165,843,0
424,-35,1189,0
270,104,1192,0
234,150,1215,0
299,94,1146,0
247,33,884,0
272,7,932,0
178,90,1077,0
231,81,1138,0
215,50,1018,0
235,-35,878,0
110,-50,801,0
-26,-1,844,0
61,0,927,0
155,-14,1095,0
-104,85,1002,0
-144,60,957,0
-154,86,967,0
69,52,1218,0
80,-61,1014,0
-74,-74,840,0
-181,-12,856,0
56,38,1233,0
156,-33,1246,0
-176,-49,866,0
-274,10,896,0
-161,26,1003,0
169,-19,1406,0
-60,-67,1090,0
-323,-16,946,0
-429,49,932,0
-224,-9,1044,0
-144,17,1223,0
-112,-57,1069,0
-122,-120,869,0
-123,-65,927,0
53,-77,1158,0
-9,-31,1125,0
164,-118,1115,0
67,-149,886,0
-22,-102,901,0
59,-48,1142,0
73,-70,1047,0
119,-118,995,0
64,-129,918,0
52,-112,912,0
79,-54,1094,0
18,-36,1038,0
75,-97,964,0
39,-82,925,0
35,-25,1071,0
39,-23,1108,0
56,-60,1032,0
55,-93,991,0
88,-125,956,0
86,-78,1062,0
124,-103,1077,0
80,-124,1007,0
72,-134,986,0
81,-156,958,0
75,-124,1044,0
-21,-97,1021,0
37,-145,996,0
64,-183,968,0
79,-202,1013,0
14,-181,1032,0
-20,-127,1151,0
-15,-149,1100,0
62,-219,1030,0
68,-267,965,0
17,-252,943,0
-55,-162,1108,0
-20,-206,984,0
47,-263,951,0
-27,-266,870,0
-63,-236,953,0
-99,-159,1121,0
-158,-139,1024,0
-80,-186,900,0
120,-197,1006,0
208,-182,987,0
107,-55,1092,0
59,44,1116,0
106,64,1074,0
71,41,944,0
-3,110,1109,0
13,86,1011,0
205,24,1090,0
91,53,981,0
12,48,897,0
-4,75,1071,0
0,79,1042,0
143,18,1022,0
91,-7,921,0
110,-42,878,0
-6,78,972,0
-21,82,1027,0
47,53,1037,0
40,22,1010,0
112,70,1063,0
69,138,1034,0
78,149,1026,0
15,135,914,0
4,184,1057,0
-13,206,1051,0
-15,208,1048,0
47,151,1014,0
70,119,1028,0
99,125,1113,0
73,162,1114,0
84,142,1019,0
77,88,977,0
66,81,1007,0
68,110,1072,0
160,32,950,0
164,-12,953,0
54,7,966,0
57,18,1088,0
57,-12,1026,0
32,-59,924,0
70,-118,863,0
64,-102,892,0
1,-18,999,0
0,-8,1086,0
49,-46,1040,0
134,-63,989,0
129,-57,1023,0
38,14,1093,0
85,-35,1078,0
68,-75,1016,0
31,-56,1041,0
135,-81,1154,0
-40,-57,921,0
-40,-54,1013,0
56,-84,1082,0
231,-157,1066,0
415,-258,1047,0
52,-98,1032,0
-507,127,945,0
-196,2,985,0
155,-144,1036,0
123,-163,971,0
-341,3,1042,0
-501,20,894,0
-140,-193,827,0
283,-354,1002,0
77,-312,1032,0
-193,-206,1071,0
-147,-270,957,0
41,-381,828,0
170,-462,912,0
-39,-404,949,0
-88,-415,1018,0
60,-560,993,0
200,-690,903,0
149,-738,915,0
-34,-644,905,0
-68,-569,924,0
10,-487,1053,0
199,-505,1083,0
-51,-363,1072,0
-102,-329,1050,0
-114,-269,1030,0
-51,-265,924,0
159,-326,974,0
17,-240,979,0
8,-178,1116,0
24,-147,1173,0
-62,-146,973,0
-98,-129,929,0
-22,-132,1066,0
58,-127,1202,0
-10,-141,1053,0
-45,-152,823,0
-163,-74,888,0
-11,-62,1076,0
48,-39,1197,0
70,-51,1074,0
-108,-54,866,0
-307,-7,739,0
-44,-95,845,0
160,-85,1230,0
239,-150,1123,0
91,-156,979,0
-219,-58,772,0
-169,-27,909,0
200,-62,1231,0
394,-188,1217,0
138,-124,1020,0
-330,71,978,0
-366,53,867,0
-153,1,1104,0
-50,-107,877,0
-68,-91,928,0
-57,-4,1149,0
-91,23,1110,0
-20,-66,931,0
166,-176,949,0
105,-110,1046,0
-131,30,1064,0
-344,141,969,0
-126,18,898,0
212,-140,916,0
225,-144,1026,0
-68,53,1130,0
-275,122,862,0
26,38,952,0
151,3,1075,0
289,-17,1219,0
182,26,1000,0
-148,220,858,0
38,191,1000,0
155,183,1144,0
130,221,1134,0
253,132,1001,0
159,157,968,0
29,201,995,0
-76,233,1028,0
43,156,1075,0
178,65,1049,0
111,51,987,0
-103,173,1060,0
23,97,1020,0
144,49,1034,0
130,12,1094,0
-40,61,1043,0
-24,35,968,0
62,-15,943,0
100,-46,968,0
1,22,1085,0
-27,11,1031,0
83,-25,1027,0
99,-93,892,0
131,-106,937,0
126,-57,1111,0
41,-13,1079,0
51,-32,1043,0
128,-69,1059,0
214,-186,900,0
182,-178,987,0
29,-74,1079,0
4,-73,993,0
144,-158,877,0
190,-124,1127,0
3,-33,1243,0
-108,-68,995,0
-35,-147,884,0
62,-170,866,0
181,-194,1106,0
70,-107,1282,0
-65,-94,1010,0
-96,-97,797,0
-36,-117,932,0
101,-127,1170,0
19,-89,1190,0
-72,-86,961,0
-273,-55,741,0
-54,-152,849,0
86,-244,998,0
-21,-209,1065,0
-243,-144,977,0
-202,-289,765,0
208,-590,733,0
282,-692,911,0
293,-759,989,0
236,-782,926,0
235,-729,1001,0
114,-616,1071,0
10,-536,1075,0
-54,-470,1041,0
30,-435,1104,0
142,-436,1085,0
0,-340,1117,0
-136,-266,1057,0
-20,-316,1066,0
140,-338,1097,0
246,-331,1075,0
20,-224,984,0
-115,-170,971,0
-176,-95,1084,0
204,-156,1206,0
207,-208,983,0
-101,-104,845,0
-244,11,1067,0
5,-50,1062,0
154,-99,1213,0
-103,-92,818,0
-16,-140,833,0
-216,-5,949,0
190,-81,1331,0
249,-203,946,0
-135,-165,606,0
-183,-67,861,0
296,-114,1374,0
98,-102,1022,0
48,-144,864,0
-25,-90,907,0
-51,-37,918,0
-49,21,1140,0
-24,-70,941,0
43,-93,899,0
-19,-25,950,0
-82,11,1023,0
66,-85,928,0
226,-168,850,0
136,-74,902,0
52,32,1003,0
-5,190,1162,0
-16,242,1194,0
28,238,1199,0
34,229,1052,0
78,216,1059,0
144,164,1044,0
171,115,993,0
110,110,1016,0
27,114,989,0
-46,113,1028,0
36,62,1063,0
104,15,1062,0
86,-3,958,0
43,5,1029,0
-13,27,1050,0
35,-12,1024,0
48,3,1030,0
59,-57,921,0
-21,-15,1026,0
-27,-15,1035,0
-3,-4,1054,0
61,-49,1009,0
33,-80,952,0
-20,-74,997,0
33,-79,1069,0
44,-142,913,0
45,-145,857,0
44,-142,944,0
-139,-44,1089,0
-78,-112,938,0
63,-144,1066,0
