AccX [mg],AccY [mg],AccZ [mg],State
136,-16,1396,0
118,-13,1371,0
32,9,1311,0
49,17,1335,0
79,50,1276,0
248,2,1320,0
231,60,1354,0
65,105,1296,0
-53,104,1167,0
50,98,1162,0
353,80,1227,0
333,101,1270,0
139,88,1208,0
-94,97,965,0
24,120,984,0
202,66,1181,0
197,-20,1202,0
1,-9,1070,0
-193,19,915,0
-1,8,984,0
227,2,1090,0
218,-12,1177,0
17,6,975,0
-86,-30,852,0
88,-45,938,0
221,-43,1039,0
110,-13,945,0
123,-12,1018,0
26,32,899,0
17,19,863,0
30,31,899,0
6,56,905,0
38,47,876,0
-3,25,944,0
-136,-13,995,0
-150,9,945,0
-33,37,955,0
-45,0,903,0
-11,21,883,0
-140,49,809,0
-36,42,806,0
30,37,800,0
103,43,807,0
45,-27,768,0
-28,-45,732,0
-87,37,628,0
-25,38,574,0
29,-26,569,0
96,-11,526,0
112,25,586,0
-18,89,556,0
-186,148,434,0
-241,141,393,0
-254,119,509,0
-289,107,664,0
-262,123,760,0
-204,119,741,0
-219,137,740,0
-309,154,698,0
-270,163,751,0
-227,81,869,0
-224,44,885,0
-139,58,948,0
-246,204,835,0
-366,156,736,0
-238,37,886,0
-6,-8,994,0
-3,132,1042,0
-163,186,996,0
-236,65,898,0
-141,14,842,0
-81,171,904,0
-32,215,1158,0
-210,147,1024,0
-201,69,870,0
-25,126,898,0
-19,195,1089,0
-153,169,1229,0
-227,80,1007,0
-149,81,931,0
-34,142,965,0
-67,123,1080,0
-146,123,1133,0
-173,98,1098,0
-226,137,999,0
-131,167,1001,0
-167,172,1046,0
-165,194,1042,0
-214,191,1223,0
-249,150,1125,0
-188,124,945,0
-61,92,947,0
-112,177,1106,0
-239,122,1264,0
-316,128,1163,0
-211,132,1012,0
-87,130,984,0
-85,154,1176,0
-274,246,1198,0
-347,165,1160,0
-250,132,1126,0
-177,148,1048,0
-136,166,1161,0
-206,217,1322,0
-254,192,1431,0
-221,190,1479,0
-153,164,1473,0
-187,166,1467,0
-224,155,1467,0
-246,146,1473,0
-218,137,1466,0
-129,131,1437,0
-105,153,1403,0
-86,172,1393,0
-80,164,1394,0
-74,155,1333,0
-47,158,1320,0
-12,153,1337,0
8,159,1324,0
14,179,1292,0
-27,167,1224,0
9,160,1203,0
37,151,1245,0
59,167,1349,0
17,187,1283,0
-29,141,977,0
-17,112,900,0
9,114,1167,0
52,175,1202,0
-36,128,813,0
-78,91,694,0
47,77,922,0
-1,61,983,0
-55,111,822,0
-145,69,716,0
-172,136,724,0
4,76,928,0
95,34,919,0
-1,44,888,0
-144,81,826,0
-103,39,932,0
72,-4,1020,0
80,-38,1002,0
-94,5,909,0
-117,76,934,0
-50,-51,987,0
-26,-30,962,0
-59,14,963,0
-158,47,905,0
-155,121,915,0
-15,94,959,0
5,-15,848,0
-52,0,721,0
-166,25,577,0
-96,30,545,0
-84,11,531,0
-107,1,465,0
-32,5,457,0
-38,-11,441,0
-146,-6,395,0
-234,-3,430,0
-199,1,506,0
-138,-22,603,0
-121,-32,684,0
-210,55,620,0
-266,42,650,0
-233,55,740,0
-131,64,779,0
-52,11,884,0
-123,-33,818,0
-144,27,790,0
-123,105,814,0
-187,19,866,0
-119,-89,980,0
-87,5,963,0
-68,70,925,0
-124,78,904,0
-169,-11,848,0
-81,11,892,0
-7,-14,1037,0
-55,-31,1138,0
-159,-25,929,0
-80,7,837,0
1,17,805,0
63,-137,1087,0
3,-132,1087,0
-53,-97,937,0
65,-53,794,0
130,-61,944,0
45,-99,1050,0
10,-95,1044,0
53,-84,962,0
-15,-77,952,0
-70,-38,909,0
60,-46,1029,0
231,-226,1248,0
203,-191,1459,0
103,-141,1447,0
80,-68,1342,0
120,-89,1410,0
154,-98,1523,0
171,-143,1694,0
124,-104,1670,0
89,-67,1581,0
77,-27,1416,0
59,-10,1290,0
45,-25,1259,0
28,-37,1197,0
31,-65,1179,0
32,-68,1089,0
74,-73,1095,0
82,-82,1037,0
69,-112,1028,0
32,-140,1017,0
57,-159,1060,0
50,-133,997,0
50,-136,981,0
46,-185,949,0
49,-262,975,0
1,-319,983,0
38,-386,952,0
82,-430,898,0
62,-512,831,0
87,-529,830,0
22,-618,816,0
-5,-674,749,0
26,-646,666,0
135,-676,642,0
107,-776,593,0
