AccX [mg],AccY [mg],AccZ [mg],State
-426,-956,-193,0
-455,-1018,-209,0
-421,-973,-193,0
-335,-862,-137,0
-330,-844,-137,0
-385,-904,-175,0
-424,-950,-191,0
-433,-965,-192,0
-416,-950,-185,0
-372,-903,-155,0
-364,-903,-155,0
-388,-930,-173,0
-403,-936,-180,0
-413,-934,-184,0
-400,-916,-177,0
-379,-896,-164,0
-393,-929,-175,0
-395,-940,-182,0
-376,-906,-169,0
-389,-911,-174,0
-400,-922,-181,0
-394,-915,-177,0
-400,-922,-183,0
-387,-906,-178,0
-363,-885,-166,0
-373,-907,-168,0
-398,-942,-184,0
-404,-938,-187,0
-388,-900,-182,0
-368,-863,-172,0
-349,-845,-162,0
-358,-873,-165,0
-390,-929,-185,0
-405,-949,-193,0
-389,-920,-183,0
-367,-885,-174,0
-364,-886,-172,0
-390,-940,-187,0
-415,-992,-200,0
-418,-1001,-202,0
-393,-954,-185,0
-365,-891,-168,0
-364,-876,-169,0
-382,-899,-180,0
-394,-926,-187,0
-392,-935,-186,0
-383,-934,-178,0
-361,-892,-167,0
-350,-849,-161,0
-370,-869,-171,0
-410,-956,-193,0
-435,-1019,-202,0
-415,-1002,-191,0
-364,-900,-164,0
-326,-798,-149,0
-331,-778,-152,0
-370,-840,-169,0
-422,-957,-197,0
-446,-1035,-202,0
-383,-940,-170,0
-313,-784,-136,0
-285,-693,-127,0
-308,-710,-138,0
-402,-889,-183,0
-517,-1142,-232,0
-550,-1291,-239,0
-432,-1118,-183,0
-332,-867,-139,0
-306,-713,-131,0
-313,-676,-133,0
-343,-712,-150,0
-411,-851,-182,0
-548,-1184,-243,0
-566,-1416,-238,0
-404,-1146,-166,0
-316,-803,-133,0
-307,-662,-132,0
-341,-672,-149,0
-397,-778,-173,0
-490,-995,-218,0
-527,-1195,-227,0
-383,-1140,-164,0
-316,-900,-144,0
-326,-756,-147,0
-351,-729,-156,0
-432,-858,-193,0
-546,-1079,-243,0
-570,-1247,-253,0
-399,-1137,-183,0
-282,-871,-128,0
-293,-729,-132,0
-341,-730,-151,0
-434,-849,-197,0
-520,-997,-239,0
-485,-1025,-211,0
-371,-1000,-169,0
-291,-918,-132,0
-313,-866,-148,0
-366,-849,-172,0
-465,-950,-219,0
-490,-992,-223,0
-487,-1031,-217,0
-361,-926,-157,0
-319,-906,-152,0
-305,-838,-141,0
-377,-876,-175,0
-459,-949,-207,0
-436,-931,-197,0
-427,-951,-187,0
-407,-938,-191,0
-346,-882,-152,0
-328,-869,-147,0
-350,-872,-175,0
-404,-928,-174,0
-476,-1028,-232,0
-433,-962,-182,0
-372,-913,-176,0
-312,-842,-137,0
-333,-856,-164,0
-347,-863,-158,0
-388,-911,-181,0
-452,-974,-204,0
-451,-983,-214,0
-356,-884,-154,0
-342,-870,-153,0
-357,-884,-158,0
-367,-881,-162,0
-410,-926,-178,0
-457,-985,-210,0
-403,-918,-174,0
-356,-878,-151,0
-366,-901,-156,0
-394,-947,-173,0
-421,-981,-183,0
-427,-972,-190,0
-404,-923,-176,0
-389,-905,-167,0
-382,-912,-163,0
-393,-938,-170,0
-421,-978,-184,0
-406,-947,-176,0
-385,-894,-165,0
-390,-888,-171,0
-385,-887,-168,0
-369,-868,-159,0
-371,-865,-161,0
-374,-871,-166,0
-380,-887,-166,0
-405,-936,-181,0
-420,-964,-192,0
-397,-941,-180,0
-384,-926,-171,0
-391,-929,-176,0
-397,-930,-181,0
-403,-937,-185,0
-403,-933,-187,0
-385,-914,-176,0
-380,-917,-173,0
-386,-932,-175,0
-392,-930,-183,0
-390,-919,-182,0
-389,-914,-181,0
-393,-931,-182,0
-398,-957,-187,0
-396,-963,-184,0
-394,-952,-183,0
-386,-923,-180,0
-376,-890,-174,0
-381,-893,-174,0
-396,-922,-183,0
-396,-940,-182,0
-392,-951,-181,0
-397,-965,-182,0
-396,-957,-182,0
-403,-952,-186,0
-411,-960,-191,0
-404,-958,-186,0
-388,-935,-174,0
-372,-897,-167,0
-368,-868,-162,0
-382,-886,-172,0
-402,-928,-182,0
-402,-935,-181,0
-377,-900,-166,0
-366,-879,-163,0
-376,-892,-164,0
-395,-923,-174,0
-405,-935,-178,0
-389,-906,-169,0
-366,-858,-158,0
-352,-824,-150,0
-352,-818,-151,0
-372,-852,-161,0
-397,-906,-175,0
-411,-955,-180,0
-413,-985,-181,0
-397,-963,-174,0
-375,-898,-161,0
-370,-858,-161,0
-382,-863,-167,0
-404,-908,-178,0
-421,-971,-187,0
-415,-992,-182,0
-387,-959,-170,0
-375,-919,-163,0
-392,-910,-175,0
-410,-920,-185,0
-414,-928,-187,0
-406,-931,-183,0
-387,-933,-172,0
-376,-937,-167,0
-384,-933,-172,0
-397,-922,-180,0
-403,-909,-183,0
-397,-901,-180,0
-386,-908,-177,0
-381,-925,-174,0
-381,-941,-173,0
-392,-944,-179,0
-390,-914,-180,0
-380,-873,-174,0
-375,-863,-171,0
-384,-889,-175,0
-385,-923,-176,0
-372,-914,-171,0
-362,-875,-164,0
-369,-865,-169,0
-398,-910,-183,0
-426,-973,-198,0
-423,-1003,-197,0
-394,-979,-182,0
-363,-913,-165,0
-359,-859,-164,0
-378,-860,-175,0
-409,-909,-187,0
-429,-973,-199,0
-418,-1002,-189,0
-380,-973,-171,0
-363,-914,-162,0
-370,-881,-168,0
-388,-875,-177,0
-407,-903,-186,0
-415,-943,-188,0
-407,-977,-182,0
-385,-980,-171,0
-371,-934,-164,0
-387,-905,-171,0
-401,-894,-177,0
-412,-906,-183,0
-415,-939,-184,0
-402,-968,-177,0
-385,-976,-168,0
-383,-956,-167,0
-391,-915,-171,0
-386,-857,-171,0
-370,-811,-164,0
-353,-786,-156,0
-348,-804,-152,0
-369,-892,-163,0
-415,-1015,-185,0
-460,-1110,-207,0
-460,-1087,-206,0
-415,-970,-184,0
-369,-859,-165,0
-356,-820,-157,0
-364,-837,-163,0
-393,-906,-176,0
-421,-983,-192,0
-407,-978,-183,0
-380,-929,-171,0
-377,-905,-170,0
-391,-911,-177,0
-399,-913,-181,0
-395,-911,-181,0
-388,-915,-176,0
-380,-922,-172,0
-378,-919,-172,0
-382,-914,-176,0
-389,-911,-179,0
-401,-924,-184,0
-403,-942,-185,0
-392,-940,-182,0
-374,-920,-171,0
-375,-910,-171,0
-386,-920,-177,0
-401,-933,-186,0
-403,-935,-185,0
-393,-921,-178,0
-373,-903,-167,0
-371,-905,-167,0
-388,-924,-175,0
-400,-936,-182,0
-403,-934,-182,0
-393,-917,-179,0
-369,-881,-164,0
-358,-861,-156,0
-367,-870,-162,0
