AccX [mg],AccY [mg],AccZ [mg],State
198,-745,-108,0
189,-754,-78,0
232,-782,-115,0
304,-794,-173,0
371,-822,-233,0
425,-883,-296,0
431,-967,-296,0
392,-1102,-247,0
332,-1183,-136,0
284,-989,-50,0
304,-803,-154,0
326,-723,-264,0
330,-692,-301,0
310,-692,-268,0
282,-789,-195,0
270,-953,-94,0
292,-1080,-54,0
344,-979,-130,0
377,-826,-248,0
367,-757,-293,0
329,-735,-288,0
292,-751,-238,0
272,-853,-187,0
262,-999,-67,0
313,-1078,-34,0
446,-1123,-232,0
563,-1156,-409,0
531,-1077,-386,0
421,-974,-248,0
320,-966,-158,0
248,-940,-95,0
218,-847,-93,0
249,-767,-142,0
338,-845,-248,0
478,-993,-371,0
558,-1115,-383,0
455,-1206,-163,0
366,-1245,-108,0
328,-1114,-178,0
308,-925,-220,0
314,-764,-232,0
318,-697,-223,0
323,-734,-219,0
337,-847,-201,0
354,-1023,-168,0
338,-1215,-133,0
390,-1218,-232,0
447,-1055,-294,0
425,-899,-263,0
339,-723,-180,0
264,-665,-141,0
221,-745,-150,0
223,-874,-149,0
265,-978,-149,0
350,-1059,-211,0
437,-1086,-273,0
523,-1021,-317,0
463,-899,-236,0
324,-835,-144,0
234,-810,-106,0
194,-806,-107,0
191,-839,-174,0
268,-904,-266,0
391,-945,-275,0
524,-998,-234,0
504,-1118,-193,0
428,-1075,-163,0
336,-1006,-197,0
285,-925,-184,0
266,-828,-208,0
235,-715,-181,0
208,-658,-146,0
236,-648,-146,0
299,-698,-189,0
342,-760,-196,0
335,-858,-160,0
342,-1029,-163,0
383,-1172,-203,0
416,-1237,-289,0
431,-1079,-295,0
389,-856,-211,0
326,-771,-162,0
298,-774,-161,0
288,-813,-160,0
267,-870,-152,0
274,-910,-157,0
348,-956,-233,0
427,-1017,-300,0
449,-1045,-276,0
430,-1007,-201,0
373,-963,-148,0
324,-943,-162,0
311,-898,-195,0
302,-898,-224,0
302,-919,-222,0
340,-924,-222,0
385,-915,-209,0
412,-940,-173,0
410,-967,-208,0
332,-907,-159,0
277,-872,-174,0
271,-863,-230,0
296,-878,-243,0
318,-883,-188,0
363,-912,-163,0
404,-942,-137,0
420,-995,-210,0
389,-978,-259,0
327,-929,-230,0
273,-889,-189,0
276,-869,-183,0
307,-840,-165,0
336,-820,-168,0
354,-795,-155,0
363,-839,-181,0
377,-984,-264,0
380,-1144,-291,0
363,-1130,-216,0
347,-969,-135,0
353,-835,-159,0
343,-786,-216,0
323,-790,-218,0
297,-812,-182,0
288,-862,-160,0
321,-980,-201,0
393,-1082,-261,0
437,-1092,-228,0
413,-998,-152,0
374,-906,-183,0
340,-846,-236,0
313,-838,-251,0
282,-836,-192,0
265,-856,-117,0
299,-927,-139,0
378,-993,-237,0
436,-998,-273,0
421,-930,-206,0
368,-889,-159,0
326,-928,-213,0
303,-960,-245,0
282,-910,-188,0
278,-833,-122,0
321,-820,-148,0
382,-896,-244,0
421,-981,-290,0
397,-1006,-214,0
344,-987,-130,0
335,-980,-193,0
338,-962,-254,0
320,-892,-224,0
308,-825,-152,0
319,-825,-150,0
